ID,name,basis,catalogNumber,collectionCode,collectionID,coordinateUncertaintyInMeters,lat,long,date
8bab431c-1383-4828-9044-f2612e49944b,Shortia galacifolia,PreservedSpecimen,125892,Herb,,,,,3/21/53
b30404f1-518a-4032-a558-1310d078033d,Shortia galacifolia,PreservedSpecimen,1724,,3858a568-5677-4954-8d69-4c684a767b01,,,,8/6/39
0570d2d8-eea9-49a9-a25a-e0644cc3bb13,Shortia galacifolia,PreservedSpecimen,NCU00042364,,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,1933,35.910144,-79.048622,3/13/38
bb75d848-80a3-4d21-ad73-2cb200e0a622,Shortia galacifolia,PreservedSpecimen,NCU00042350,,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,,,,8/24/22
d7a68a12-f6b8-4ceb-9ef4-a101f671a0ac,Shortia galacifolia,PreservedSpecimen,PBRU00040705,BRU,65888b1e-0a64-4307-95a2-7bfbdb917590,,,,1889-03-00
3be37723-9586-48e9-bfad-51d9de0f3374,Shortia galacifolia,PreservedSpecimen,NCU00042366,,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,,,,4/15/65
8b147068-b232-442c-8b7e-1b0235e53fc2,Shortia galacifolia,PreservedSpecimen,1726,,3858a568-5677-4954-8d69-4c684a767b01,,,,3/23/39
4a7686e0-1623-46ac-8a71-11a89ed8da41,Shortia galacifolia,PreservedSpecimen,CM164221,,a3883acd-bc7d-40f2-a6e4-372a3435e5d1,,,,1879-00-00
f366f2f0-b7e0-4bee-8a88-adea64973475,Shortia galacifolia,PreservedSpecimen,NCU00042355,,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,,,,4/4/40
f20ea817-a303-4132-998d-faffb1c45d76,Shortia galacifolia,PreservedSpecimen,123447,Herb,,,,,3/24/76
7cd61c5f-38ce-4cd7-8070-3e02a78b88ce,Shortia galacifolia,PreservedSpecimen,17254,General Collection,7a60dbb2-41cf-44ce-83de-5cf6f5a942ae,,,,4/24/89
bd9b816f-0e84-4a60-af51-795fc8014499,Shortia galacifolia,PreservedSpecimen,NCU00042363,,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,128,35.891945,-79.019195,3/18/70
137f2a53-0652-4c99-8974-1d01ff3a9f54,Shortia galacifolia,PreservedSpecimen,271325,Herb,,,,,4/13/03
05f74d80-6097-4458-8445-9e9fc2d3176e,Shortia galacifolia,PreservedSpecimen,3946838,NY,http://biocol.org/urn:lsid:biocol.org:col:15556,2289,40.856767,-73.875413,4/22/42
