"statistic","auc.train","cbi.train","auc.val","auc.diff","cbi.val","or.mtp","or.10p"
"emp.mean",0.875710225409836,NA,0.854758528431013,0.0638489236893102,NA,0,0.136475409836066
"emp.sd",NA,NA,0.0596153812361147,0.0332516944785029,NA,0,0.0794631160575809
"null.mean",0.617147010245902,NA,0.874118674165052,0.274431677621816,NA,0.00165983606557377,0.0136844262295082
"null.sd",0.00396960036077239,NA,0.0105767275671193,0.0143017051007974,NA,0.00339936670571585,0.00281237222395688
"zscore",65.1358302258982,NA,-1.83044761351565,-14.72431101385,NA,-0.488278026252021,43.6609999773772
"pvalue",0,NA,0.966408483265853,2.25016433380066e-49,NA,0.312676461837054,1
