coreid,ac:accessURI,idigbio:dateModified,idigbio:dataQualityScore,idigbio:etag,idigbio:flags,dcterms:format,idigbio:hasSpecimen,ac:licenseLogoURL,idigbio:mediaType,dcterms:modified,idigbio:recordIds,idigbio:records,idigbio:recordsets,dcterms:rights,ac:tag,dc:type,idigbio:uuid,idigbio:version,xmpRights:WebStatement,exif:PixelXDimension,exif:PixelYDimension
f366f2f0-b7e0-4bee-8a88-adea64973475,https://bisque.cyverse.org/image_service/image/00-acmrMXcLayvJrQeNMuGvnd/resize:4000/format:jpeg,2019-07-14T01:11:31.096168+00:00,0.45454545454545453,eaf595cb6f66fabaa2fec6560940ce101cad74bf,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,http://i.creativecommons.org/l/by-nc/3.0/88x31.png,images,,"[""urn:uuid:30d101fa-3b5f-4acb-9775-d98d79cc42c8"", ""4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\media\\https://bisque.cyverse.org/image_service/image/00-acmrmxclayvjrqenmugvnd/resize:4000/format:jpeg""]","[""f366f2f0-b7e0-4bee-8a88-adea64973475""]",4e3043a6-d48a-4a35-b5fb-f67d50cbc158,BY-NC,,,e186eb47-f06e-41d3-a1d2-3f200255f8a0,,http://creativecommons.org/licenses/by-nc/3.0/,,
7cd61c5f-38ce-4cd7-8070-3e02a78b88ce,http://assets1.specifycloud.org/fileget?coll=emoryherbarium&type=O&filename=286ae2e0-5405-45f2-8869-558de7dc9524.jpg&downloadname=F%3A\Herbarium+Images\Edited+Images+folder+4\GEO-GC-002785-0.jpg&token=null,2018-07-27T09:35:47.712202+00:00,0.45454545454545453,741715230d6d0f65db063062f9a7ed13dbffe524,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,http://i.creativecommons.org/l/by-nc/3.0/88x31.png,images,,"[""042dbdba-a449-4291-8777-577a5a4045de\\media\\http://assets1.specifycloud.org/fileget?coll=emoryherbarium&type=o&filename=286ae2e0-5405-45f2-8869-558de7dc9524.jpg&downloadname=f%3a\\herbarium+images\\edited+images+folder+4\\geo-gc-002785-0.jpg&token=null"", ""urn:uuid:c0b5f2e4-8965-4b7c-a0bb-57791196eb7b""]","[""7cd61c5f-38ce-4cd7-8070-3e02a78b88ce""]",042dbdba-a449-4291-8777-577a5a4045de,BY-NC,,,af2ed489-3ef2-443c-960a-e2af74e76bac,,http://creativecommons.org/licenses/by-nc/3.0/,,
bd9b816f-0e84-4a60-af51-795fc8014499,https://bisque.cyverse.org/image_service/image/00-UU5Hh2pqwTtuLBhLVJn92d/resize:4000/format:jpeg,2019-07-14T01:11:31.096168+00:00,0.45454545454545453,365d344252670bce68396b492aff94bca63eb7f1,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,http://i.creativecommons.org/l/by-nc/3.0/88x31.png,images,,"[""urn:uuid:8bd95e16-aeb8-4c75-ac55-75ddc63730d3"", ""4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\media\\https://bisque.cyverse.org/image_service/image/00-uu5hh2pqwttulbhlvjn92d/resize:4000/format:jpeg""]","[""bd9b816f-0e84-4a60-af51-795fc8014499""]",4e3043a6-d48a-4a35-b5fb-f67d50cbc158,BY-NC,,,5db77b7d-2a96-470c-ad3c-00d83983d98f,,http://creativecommons.org/licenses/by-nc/3.0/,,
4d4a0b43-6d3c-48ab-b8cb-f62894d04463,http://collections.nmnh.si.edu/media/index.php?irn=13283200,2019-05-06T21:42:08.251442+00:00,0.45454545454545453,7a4072549938d9eec06e17d1f5ba3116ba51ef3a,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,,images,,"[""a6eee223-cf3b-4079-8bb2-b77dad8cae9d\\media\\http://collections.nmnh.si.edu/media/index.php?irn=13283200""]","[""4d4a0b43-6d3c-48ab-b8cb-f62894d04463""]",a6eee223-cf3b-4079-8bb2-b77dad8cae9d,,,image,09fe7ce3-5261-4e73-b861-0c0c9f3f1662,,,9057,6889
43e34479-f6c8-45aa-bec9-436d2f2255ec,https://bisque.cyverse.org/image_service/image/00-5QDYn9kHvSYu8wgS9BNp6S/resize:4000/format:jpeg,2019-07-14T01:11:31.096168+00:00,0.45454545454545453,9d71dad41c6014d71573bffbd75f9ac647862dec,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,http://i.creativecommons.org/l/by-nc/3.0/88x31.png,images,,"[""4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\media\\https://bisque.cyverse.org/image_service/image/00-5qdyn9khvsyu8wgs9bnp6s/resize:4000/format:jpeg"", ""urn:uuid:aa2f5b3f-db68-43d3-b6fc-8e89637b3b51""]","[""43e34479-f6c8-45aa-bec9-436d2f2255ec""]",4e3043a6-d48a-4a35-b5fb-f67d50cbc158,BY-NC,,,dd2ef5a9-a3c3-4ada-ba65-e2f393c68c19,,http://creativecommons.org/licenses/by-nc/3.0/,,
3323b5a1-2807-44e4-8564-b5ada9d3ac2b,http://mediaphoto.mnhn.fr/media/1441377539514uhCE2ComPw5mB08M,2016-05-04T09:52:03.417244+00:00,0.45454545454545453,488d29db18ea5542938542fb7e8ada06a91bae24,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,https://i.creativecommons.org/l/by/4.0/88x31.png,images,,"[""616857b7-f952-44ef-9b6f-576dc1e65b51\\media\\http://mediaphoto.mnhn.fr/media/1441377539514uhce2compw5mb08m""]","[""3323b5a1-2807-44e4-8564-b5ada9d3ac2b"", ""4bf4b4dd-ffad-4419-9465-8c4fb8505080""]",616857b7-f952-44ef-9b6f-576dc1e65b51,BY,,,bfef7bf2-a2c7-4648-8c7f-2d4538017e69,,http://creativecommons.org/licenses/by/4.0/,,
3323b5a1-2807-44e4-8564-b5ada9d3ac2b,http://mediaphoto.mnhn.fr/media/1441377539497g117yFj1RipnV7hW,2016-05-04T09:52:03.417244+00:00,0.45454545454545453,553422137d257cae0aafd3924f5d86f2ed0f8e64,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,https://i.creativecommons.org/l/by/4.0/88x31.png,images,,"[""616857b7-f952-44ef-9b6f-576dc1e65b51\\media\\http://mediaphoto.mnhn.fr/media/1441377539497g117yfj1ripnv7hw""]","[""3323b5a1-2807-44e4-8564-b5ada9d3ac2b"", ""f640ad76-a3b5-4235-9405-c75a5f058b6f""]",616857b7-f952-44ef-9b6f-576dc1e65b51,BY,,,9c5084ac-cf05-401b-b080-c72b8b5cb1e9,,http://creativecommons.org/licenses/by/4.0/,,
6c285169-9629-4471-a2e8-88b4d31bf830,https://bisque.cyverse.org/image_service/image/00-kXNqdG7W9yUP6UpZWdbPJj/resize:4000/format:jpeg,2019-03-16T11:14:01.311823+00:00,0.45454545454545453,63ad97f25564da340ef46f195dac8496acdd16e2,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,http://i.creativecommons.org/l/by-nc/3.0/88x31.png,images,,"[""6258d160-a7aa-4937-bce3-3538eebd374f\\media\\https://bisque.cyverse.org/image_service/image/00-kxnqdg7w9yup6upzwdbpjj/resize:4000/format:jpeg"", ""urn:uuid:6955f81b-e15f-49ef-969e-58c7eba68bde""]","[""6c285169-9629-4471-a2e8-88b4d31bf830""]",6258d160-a7aa-4937-bce3-3538eebd374f,BY-NC,,,6099e7c0-6c19-4238-b13a-c8440bb5fc3c,,http://creativecommons.org/licenses/by-nc/3.0/,,
8ac23160-b944-48a5-8873-efdbe248b1f7,http://assets1.specifycloud.org/fileget?coll=emoryherbarium&type=O&filename=454dd52b-af4b-427d-ac3e-6263a3353bf1.jpg&downloadname=F%3A\Herbarium+Images\Edited+Images+folder+4\GEO-GC-002785-0.jpg&token=null,2018-07-27T09:35:47.712202+00:00,0.45454545454545453,573d6765bbd541bf2e0c24372cde0caf92abde9e,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,http://i.creativecommons.org/l/by-nc/3.0/88x31.png,images,,"[""042dbdba-a449-4291-8777-577a5a4045de\\media\\http://assets1.specifycloud.org/fileget?coll=emoryherbarium&type=o&filename=454dd52b-af4b-427d-ac3e-6263a3353bf1.jpg&downloadname=f%3a\\herbarium+images\\edited+images+folder+4\\geo-gc-002785-0.jpg&token=null"", ""urn:uuid:399c73f9-9de1-4c2a-9d80-247e806ff7c4""]","[""8ac23160-b944-48a5-8873-efdbe248b1f7""]",042dbdba-a449-4291-8777-577a5a4045de,BY-NC,,,cf3e57d4-3c91-4c57-a66d-a8035843798e,,http://creativecommons.org/licenses/by-nc/3.0/,,
9aa85968-601a-42fd-827e-649cf0136ca8,http://collections.nmnh.si.edu/media/index.php?irn=13290000,2019-05-06T21:42:08.251442+00:00,0.45454545454545453,3eef9f10ca47894b87f8ebbdbfcc9bf9c3b99d77,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,,images,,"[""a6eee223-cf3b-4079-8bb2-b77dad8cae9d\\media\\http://collections.nmnh.si.edu/media/index.php?irn=13290000""]","[""9aa85968-601a-42fd-827e-649cf0136ca8""]",a6eee223-cf3b-4079-8bb2-b77dad8cae9d,,,image,372cd2c0-4205-4385-adb4-08ec175d4181,,,9090,6913
f1d0716f-ab7f-412e-9147-851a6e9008a4,http://storage.idigbio.org/vt/vplants/UVMVT259/UVMVT259188_lg.jpg,2018-08-24T10:25:32.978645+00:00,0.45454545454545453,47fcff70dead196efebe689e19b2c32fab752043,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,http://i.creativecommons.org/l/by-nc/3.0/88x31.png,images,,"[""3027c437-cdb3-4072-9410-5a46ec3b1fd5\\media\\http://storage.idigbio.org/vt/vplants/uvmvt259/uvmvt259188_lg.jpg"", ""urn:uuid:c7fbaa5c-fe39-4161-9af9-0199ec33962e""]","[""f1d0716f-ab7f-412e-9147-851a6e9008a4""]",3027c437-cdb3-4072-9410-5a46ec3b1fd5,BY-NC,,,6403ba66-982f-46b9-b9f7-8c464e2db41b,,http://creativecommons.org/licenses/by-nc/3.0/,,
137f2a53-0652-4c99-8974-1d01ff3a9f54,https://cdn.plantatlas.org/img/specimens/USF/271325.jpg,2019-05-06T20:56:27.067349+00:00,0.5454545454545454,82ca2babf11a44ef689e92704d7c7589dece1351,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,https://i.creativecommons.org/l/by-nc-sa/4.0/88x31.png,images,,"[""f1cf8457-237e-487a-9d13-5de7d81b9de4\\media\\https://cdn.plantatlas.org/img/specimens/usf/271325.jpg""]","[""137f2a53-0652-4c99-8974-1d01ff3a9f54""]",f1cf8457-237e-487a-9d13-5de7d81b9de4,BY-NC-SA,,stillimage,2b8714e3-1302-42df-9e35-0488d5ab7776,,http://creativecommons.org/licenses/by-nc-sa/4.0/,,
2bb292f8-ef49-4225-9a91-8c543e2574b0,http://assets1.specifycloud.org/fileget?coll=emoryherbarium&type=O&filename=a8156ee5-ad50-42d3-a01e-3ae9189d5ed4.jpg&downloadname=F%3A\Herbarium+Images\Edited+Images+folder+4\GEO-GC-002785-0.jpg&token=null,2018-07-27T09:35:47.712202+00:00,0.45454545454545453,d0615e3c9cadae00528b0c77a466ab6ac6c1af1c,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,http://i.creativecommons.org/l/by-nc/3.0/88x31.png,images,,"[""urn:uuid:bb21b6d7-4acd-4632-b12c-c908652bd0d9"", ""042dbdba-a449-4291-8777-577a5a4045de\\media\\http://assets1.specifycloud.org/fileget?coll=emoryherbarium&type=o&filename=a8156ee5-ad50-42d3-a01e-3ae9189d5ed4.jpg&downloadname=f%3a\\herbarium+images\\edited+images+folder+4\\geo-gc-002785-0.jpg&token=null""]","[""2bb292f8-ef49-4225-9a91-8c543e2574b0""]",042dbdba-a449-4291-8777-577a5a4045de,BY-NC,,,f783f83d-7b2a-48e4-8d48-810a9788e0f5,,http://creativecommons.org/licenses/by-nc/3.0/,,
05f74d80-6097-4458-8445-9e9fc2d3176e,http://sweetgum.nybg.org/images3/3351/206/03946838.jpg,2019-08-08T17:11:19.811687+00:00,0.5454545454545454,5a393ddcdd840b814bae9f72e7741e0f6787ff3f,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,https://i.creativecommons.org/l/by/4.0/88x31.png,images,,"[""36d35b23-113e-4633-90ec-19d265a3b5f6\\media\\5258bb40-701f-4d8a-b86a-27e451c5d28b""]","[""05f74d80-6097-4458-8445-9e9fc2d3176e""]",36d35b23-113e-4633-90ec-19d265a3b5f6,BY,,stillimage,07504834-b4c7-4100-91a3-fd1dc759e250,,http://creativecommons.org/licenses/by/4.0/,,
