coreid,Iptc4xmpExt:CountryName,Iptc4xmpExt:LocationCreated,Iptc4xmpExt:ProvinceState,Iptc4xmpExt:WorldRegion,ac:IDofContainingCollection,ac:accessURI,ac:associatedSpecimenReference,ac:attributionLogoURL,ac:bestQualityAccessURI,ac:bestQualityFormat,ac:caption,ac:captureDevice,ac:comments,ac:derivedFrom,ac:digitizationDate,ac:fundingAttribution,ac:furtherInformationURL,ac:goodQualityAccessURI,ac:hasServiceAccessPoint,ac:hashFunction,ac:hashValue,ac:licenseLogoURL,ac:metadataCreator,ac:metadataLanguage,ac:metadataLanguageLiteral,ac:metadataProvider,ac:metadataProviderLiteral,ac:physicalSetting,ac:provider,ac:providerID,ac:providerLiteral,ac:providerManagedID,ac:resourceCreationTechnique,ac:serviceExpectation,ac:subjectCategoryVocabulary,ac:subjectOrientation,ac:subjectPart,ac:subtype,ac:subtypeLiteral,ac:tag,ac:taxonCount,ac:taxonCoverage,ac:thumbnailAccessURI,ac:variant,ac:variantDescription,ac:variantLiteral,dc:creator,dc:format,dc:language,dc:rights,dc:source,dc:type,dcterms:accessRights,dcterms:audience,dcterms:available,dcterms:created,dcterms:creator,dcterms:description,dcterms:format,dcterms:identifier,dcterms:language,dcterms:license,dcterms:modified,dcterms:publisher,dcterms:references,dcterms:rights,dcterms:rightsHolder,dcterms:source,dcterms:title,dcterms:type,dwc:Identification,dwc:associatedTaxa,dwc:basisOfRecord,dwc:catalogNumber,dwc:collectionCode,dwc:collectionID,dwc:coordinateUncertaintyInMeters,dwc:country,dwc:county,dwc:datasetID,dwc:dateIdentified,dwc:day,dwc:decimalLatitude,dwc:decimalLongitude,dwc:eventDate,dwc:family,dwc:genus,dwc:geodeticDatum,dwc:georeferencedBy,dwc:habitat,dwc:identificationQualifier,dwc:identifiedBy,dwc:institutionCode,dwc:kingdom,dwc:locality,dwc:minimumElevationInMeters,dwc:month,dwc:municipality,dwc:occurrenceID,dwc:occurrenceRemarks,dwc:order,dwc:otherCatalogNumbers,dwc:phylum,dwc:recordNumber,dwc:recordedBy,dwc:scientificName,dwc:scientificNameAuthorship,dwc:specificEpithet,dwc:startDayOfYear,dwc:stateProvince,dwc:taxonID,dwc:verbatimElevation,dwc:year,exif:PixelXDimension,exif:PixelYDimension,idigbio:OriginalFileName,idigbio:associatedRecordReference,idigbio:associatedRecordsetReference,idigbio:mediaStatus,idigbio:mediaStatusDate,idigbio:recordId,photoshop:Credit,symbiota:recordEnteredBy,xmp:CreateDate,xmp:MetadataDate,xmpRights:Owner,xmpRights:UsageTerms,xmpRights:WebStatement
d04c80cd-c448-47ba-9a38-3b42d6a60384,,,,,,http://storage.idigbio.org/vt/vplants/UVMVT259/UVMVT259203_lg.jpg,http://nansh.org/portal/collections/individual/index.php?occid=16631651,,,,,,,,,,,http://storage.idigbio.org/vt/vplants/UVMVT259/UVMVT259203.jpg,,,,,,en,,,,,,,,urn:uuid:2eb56ae9-24e8-45a0-95c4-cf5f7de3c589,,,,,,Photograph,,,,,http://storage.idigbio.org/vt/vplants/UVMVT259/UVMVT259203_tn.jpg,,,,,,,,,,,,,,,,image/jpeg,http://storage.idigbio.org/vt/vplants/UVMVT259/UVMVT259203_lg.jpg,,,,,,,,,,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-04 06:21:23,University of Vermont,CC BY-NC (Attribution-Non-Commercial),http://creativecommons.org/licenses/by-nc/3.0/
2834ab27-2c52-4af5-ad11-e3888d6aab10,,,,,,http://collections.nmnh.si.edu/media/index.php?irn=13292821,,,,,,,,,,,,,,,,,,,,,,,,,"Smithsonian Institution, NMNH, Botany",,,,Specimen/Object,,,,,,,,,,,,Conveyor Belt,image/jpeg,,,"US National Herbarium, Department of Botany, NMNH, Smithsonian Institution",image,,,,,,Barcode 00593913,,http://collections.nmnh.si.edu/media/index.php?irn=13292821,,,,,,,,,00593913.tif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6906,9044,,,,,,,,,,,,,https://www.si.edu/Termsofuse
29e98f98-8e0f-4b23-9bb6-9381120b9a6f,,,,,,https://bisque.cyverse.org/image_service/image/00-JhXyiriVce3UTWrQEjQi8R/resize:4000/format:jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=15880990,,,,,,,,,,,https://bisque.cyverse.org/image_service/image/00-JhXyiriVce3UTWrQEjQi8R/resize:1250/format:jpeg,,,,,,en,,,,,,,,urn:uuid:cbdbeebd-5f4f-4820-971c-3a02adc8b286,,,,,,Photograph,,,,,"https://bisque.cyverse.org/image_service/image/00-JhXyiriVce3UTWrQEjQi8R/thumbnail:200,200",,,,,,,,,,,,,,,,image/jpeg,https://bisque.cyverse.org/image_service/image/00-JhXyiriVce3UTWrQEjQi8R/resize:4000/format:jpeg,,,,,,,,,,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-11-19 07:52:17,Duke University (DUKE),CC BY-NC (Attribution-Non-Commercial),http://creativecommons.org/licenses/by-nc/3.0/
aa223326-7a40-4b39-8e2f-0403e2da97aa,,,,,,http://collections.nmnh.si.edu/media/index.php?irn=13280990,,,,,,,,,,,,,,,,,,,,,,,,,"Smithsonian Institution, NMNH, Botany",,,,Specimen/Object,,,,,,,,,,,,Conveyor Belt,image/jpeg,,,"US National Herbarium, Department of Botany, NMNH, Smithsonian Institution",image,,,,,,Barcode 00593917,,http://collections.nmnh.si.edu/media/index.php?irn=13280990,,,,,,,,,00593917.tif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6911,8989,,,,,,,,,,,,,https://www.si.edu/Termsofuse
048907d3-06a5-4046-a035-e094b5576b6c,,,,,,https://bisque.cyverse.org/image_service/image/00-tyG7iLmj3Jtisspe9C3PYL?resize=4000&format=jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=6692899,,,,,,,,,,,https://bisque.cyverse.org/image_service/image/00-tyG7iLmj3Jtisspe9C3PYL?resize=1250&format=jpeg,,,,,,en,,,,,,,,urn:uuid:24ef8bfd-81e4-4179-8daa-a1f7d92be9b4,,,,,,Photograph,,,,,"https://bisque.cyverse.org/image_service/image/00-tyG7iLmj3Jtisspe9C3PYL?thumbnail=200,200",,,,,,,,,,,,,,,,image/jpeg,https://bisque.cyverse.org/image_service/image/00-tyG7iLmj3Jtisspe9C3PYL?resize=4000&format=jpeg,,,,,,,,,,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-11-16 14:45:54,The Florida State University,CC BY-NC (Attribution-Non-Commercial),http://creativecommons.org/licenses/by-nc/3.0/
c395f348-cdec-4e14-962c-7c4436a8281f,,,,,,https://bisque.cyverse.org/image_service/image/00-6YpTJy3kYpVDP3bW8BVivW/resize:4000/format:jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=17084866,,,,,,,,,,,https://bisque.cyverse.org/image_service/image/00-6YpTJy3kYpVDP3bW8BVivW/resize:1250/format:jpeg,,,,,,en,,,,,,,,urn:uuid:c1bca829-2f1c-4eba-8c9f-713e0741b438,,,,,,Photograph,,,,,"https://bisque.cyverse.org/image_service/image/00-6YpTJy3kYpVDP3bW8BVivW/thumbnail:200,200",,,,,,,,,,,,,,,,image/jpeg,https://bisque.cyverse.org/image_service/image/00-6YpTJy3kYpVDP3bW8BVivW/resize:4000/format:jpeg,,,,,,,,,,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-25 06:28:09,University of Georgia Herbarium (GA),CC BY-NC (Attribution-Non-Commercial),http://creativecommons.org/licenses/by-nc/3.0/
7ef95faa-a92d-442d-a142-188b7718ae3c,,,,,,http://collections.nmnh.si.edu/media/index.php?irn=13278304,,,,,,,,,,,,,,,,,,,,,,,,,"Smithsonian Institution, NMNH, Botany",,,,Specimen/Object,,,,,,,,,,,,Conveyor Belt,image/jpeg,,,"US National Herbarium, Department of Botany, NMNH, Smithsonian Institution",image,,,,,,Barcode 00593921,,http://collections.nmnh.si.edu/media/index.php?irn=13278304,,,,,,,,,00593921.tif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6863,8997,,,,,,,,,,,,,https://www.si.edu/Termsofuse
cde20bfb-f8cd-444f-98a2-c437c2083f78,,,,,,https://bisque.cyverse.org/image_service/image/00-7m4M6euuRMNgn4JDskXKvG/resize:4000/format:jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=20387036,,,,,,,,,,,https://bisque.cyverse.org/image_service/image/00-7m4M6euuRMNgn4JDskXKvG/resize:1250/format:jpeg,,,,,,en,,,,,,,,urn:uuid:6b80d0a6-6e67-4602-936f-9cc330f0c21e,,,,,,Photograph,,,,,"https://bisque.cyverse.org/image_service/image/00-7m4M6euuRMNgn4JDskXKvG/thumbnail:200,200",,,,,,,,,,,,,,,,image/jpeg,https://bisque.cyverse.org/image_service/image/00-7m4M6euuRMNgn4JDskXKvG/resize:4000/format:jpeg,,,,,,,,,,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-15 12:09:18,"Appalachian State University, I. W. Carpenter, Jr. Herbarium (BOON)",CC0 1.0 (Public-domain),http://creativecommons.org/publicdomain/zero/1.0/
f0e7179d-bc62-4995-a472-47cb15c619da,,,,,,https://bisque.cyverse.org/image_service/image/00-DVagEi79h3Sg769M6YsYSD/resize:4000/format:jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=15880989,,,,,,,,,,,https://bisque.cyverse.org/image_service/image/00-DVagEi79h3Sg769M6YsYSD/resize:1250/format:jpeg,,,,,,en,,,,,,,,urn:uuid:ceb11102-6286-407e-8c10-6f14f1fa0a08,,,,,,Photograph,,,,,"https://bisque.cyverse.org/image_service/image/00-DVagEi79h3Sg769M6YsYSD/thumbnail:200,200",,,,,,,,,,,,,,,,image/jpeg,https://bisque.cyverse.org/image_service/image/00-DVagEi79h3Sg769M6YsYSD/resize:4000/format:jpeg,,,,,,,,,,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-11-19 07:52:17,Duke University (DUKE),CC BY-NC (Attribution-Non-Commercial),http://creativecommons.org/licenses/by-nc/3.0/
7c2c578b-0e0c-4a96-b0f9-f18521274b97,,,,,,http://collections.nmnh.si.edu/media/index.php?irn=13283388,,,,,,,,,,,,,,,,,,,,,,,,,"Smithsonian Institution, NMNH, Botany",,,,Specimen/Object,,,,,,,,,,,,Conveyor Belt,image/jpeg,,,"US National Herbarium, Department of Botany, NMNH, Smithsonian Institution",image,,,,,,Barcode 00593928,,http://collections.nmnh.si.edu/media/index.php?irn=13283388,,,,,,,,,00593928.tif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6848,8961,,,,,,,,,,,,,https://www.si.edu/Termsofuse
