Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,bio_14 contribution,bio_15 contribution,bio_18 contribution,bio_3 contribution,bio_7 contribution,bio_8 contribution,bio_9 contribution,elev contribution,bio_14 permutation importance,bio_15 permutation importance,bio_18 permutation importance,bio_3 permutation importance,bio_7 permutation importance,bio_8 permutation importance,bio_9 permutation importance,elev permutation importance,Training gain without bio_14,Training gain without bio_15,Training gain without bio_18,Training gain without bio_3,Training gain without bio_7,Training gain without bio_8,Training gain without bio_9,Training gain without elev,Training gain with only bio_14,Training gain with only bio_15,Training gain with only bio_18,Training gain with only bio_3,Training gain with only bio_7,Training gain with only bio_8,Training gain with only bio_9,Training gain with only elev,Test gain without bio_14,Test gain without bio_15,Test gain without bio_18,Test gain without bio_3,Test gain without bio_7,Test gain without bio_8,Test gain without bio_9,Test gain without elev,Test gain with only bio_14,Test gain with only bio_15,Test gain with only bio_18,Test gain with only bio_3,Test gain with only bio_7,Test gain with only bio_8,Test gain with only bio_9,Test gain with only elev,AUC without bio_14,AUC without bio_15,AUC without bio_18,AUC without bio_3,AUC without bio_7,AUC without bio_8,AUC without bio_9,AUC without elev,AUC with only bio_14,AUC with only bio_15,AUC with only bio_18,AUC with only bio_3,AUC with only bio_7,AUC with only bio_8,AUC with only bio_9,AUC with only elev,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Galax_urceolata_0,54,0.8141,1.0144,380,0.8333,18,0.6650,0.7667,0.0596,10054,14.5747,8.2433,13.7984,4.6642,9.5643,1.9705,2.9955,44.1891,7.5540,8.5119,13.5850,16.2901,36.1048,6.3037,1.7351,9.9154,0.7947,0.7689,0.7926,0.7779,0.7640,0.8035,0.8082,0.7813,0.3808,0.1569,0.1958,0.1370,0.2937,0.1122,0.0556,0.4448,0.7607,0.7119,0.6696,0.6658,0.6416,0.6605,0.6652,0.6858,0.5955,0.0825,0.3084,0.0267,0.4477,0.2254,0.1340,0.6220,0.7717,0.7594,0.7595,0.7774,0.7748,0.7621,0.7794,0.7631,0.7071,0.6269,0.7111,0.5530,0.7148,0.6745,0.6508,0.7533,8.4018,0.2248,1.0000,0.0484,0.8356,0.0185,0.0556,1.791E-1,5.0000,0.1324,0.6629,0.0370,0.0556,6.207E-3,10.0000,0.1794,0.5440,0.0741,0.1111,2.15E-3,0.0262,0.0131,0.9868,0.0000,0.0000,7.869E-1,10.1049,0.1804,0.5418,0.0926,0.1111,2.032E-3,34.0492,0.3159,0.2222,0.2222,0.3889,4.255E-4,35.0601,0.3224,0.2126,0.2222,0.3889,2.818E-4,19.8230,0.2464,0.3833,0.1667,0.3889,4.234E-2,53.4346,0.4778,0.0831,0.4259,0.4444,3.652E-7,1.8122,0.0773,0.7811,0.0185,0.0556,7.078E-2,15.7091,0.2212,0.4430,0.1667,0.2222,4.118E-3
Galax_urceolata_1,54,0.7625,0.9295,380,0.8269,18,0.7460,0.7825,0.0652,10053,21.3067,9.0209,11.3670,6.5256,14.2199,3.5342,4.1748,29.8508,1.1673,22.3026,14.7720,14.9756,40.9510,5.2984,0.5331,0.0000,0.7486,0.7276,0.7351,0.7154,0.6992,0.7419,0.7576,0.7488,0.3945,0.1431,0.1855,0.1301,0.2719,0.1366,0.0899,0.3842,0.8527,0.7514,0.8297,0.7878,0.7388,0.7984,0.7416,0.6855,0.5632,0.1277,0.3007,0.0497,0.4987,0.1458,0.0489,0.7980,0.7866,0.7777,0.7849,0.7923,0.7929,0.7840,0.7796,0.7730,0.7086,0.6108,0.7366,0.5450,0.7395,0.6547,0.6141,0.8000,8.4536,0.2367,1.0000,0.0524,0.8566,0.0185,0.0000,6.161E-2,5.0000,0.1393,0.6812,0.0556,0.1111,4.282E-2,10.0000,0.1840,0.5620,0.0741,0.1667,1.547E-2,0.0595,0.0174,0.9793,0.0000,0.0000,6.864E-1,14.2974,0.2113,0.4802,0.0926,0.2222,1.001E-2,31.1279,0.3164,0.2592,0.2593,0.3333,3.343E-4,25.9904,0.2873,0.3146,0.1667,0.2222,7.13E-5,29.3243,0.3069,0.2778,0.2222,0.2778,1.14E-4,52.3611,0.4592,0.0976,0.4259,0.3889,1.264E-7,1.5714,0.0713,0.8157,0.0185,0.0556,1.295E-1,15.0913,0.2162,0.4666,0.1296,0.2222,7.331E-3
Galax_urceolata_2,54,0.8472,1.0807,420,0.8412,18,0.5690,0.7646,0.0689,10053,33.2132,4.0236,15.8711,2.1676,5.6310,1.6563,10.9240,26.5130,8.4911,28.6066,24.6797,8.8491,18.8120,0.8501,8.7223,0.9890,0.8356,0.7938,0.8056,0.8320,0.8093,0.8401,0.8242,0.8287,0.4893,0.1516,0.2623,0.1054,0.3308,0.1510,0.1728,0.4556,0.6000,0.5883,0.6087,0.4912,0.4541,0.5518,0.6446,0.4752,0.2496,0.0984,0.0987,0.1287,0.3437,0.0819,-0.2273,0.5797,0.7713,0.7892,0.7761,0.7536,0.7526,0.7640,0.7852,0.7380,0.7320,0.6226,0.6559,0.6292,0.7102,0.6579,0.5005,0.7860,8.3688,0.2195,1.0000,0.0507,0.8816,0.0185,0.0000,1.035E-1,5.0000,0.1189,0.6829,0.0185,0.1111,4.417E-2,10.0000,0.1699,0.5565,0.0370,0.2222,4.608E-2,0.2347,0.0342,0.9540,0.0000,0.0000,4.288E-1,18.6113,0.2246,0.4075,0.0926,0.2222,1.589E-3,30.5779,0.2846,0.2563,0.2593,0.2778,4.565E-5,28.8767,0.2766,0.2750,0.2037,0.2778,1.017E-4,28.6290,0.2754,0.2778,0.2037,0.2778,1.14E-4,36.6630,0.3208,0.1959,0.3333,0.2778,1.965E-6,7.4139,0.1466,0.6156,0.0185,0.2222,1.187E-1,17.2114,0.2182,0.4287,0.0926,0.2222,2.843E-3
Galax_urceolata_3,54,0.7702,0.9563,300,0.8365,18,0.9337,0.7837,0.0700,10053,20.6366,2.7959,8.5517,2.8917,23.9580,1.1077,3.8062,36.2523,3.6394,3.1053,12.4718,11.1617,46.2606,1.1412,9.9849,12.2351,0.7610,0.7527,0.7566,0.7496,0.6901,0.7663,0.7507,0.7376,0.4191,0.1030,0.2106,0.0937,0.3482,0.1488,0.0877,0.4645,0.8919,0.8786,0.9100,0.8805,0.9640,0.9512,0.9438,0.9246,0.5209,0.2458,0.2624,0.1591,0.2933,0.1239,0.0595,0.5674,0.7859,0.7746,0.7781,0.7804,0.8093,0.7973,0.7902,0.7653,0.7127,0.6828,0.7268,0.6688,0.6618,0.6321,0.6034,0.7393,8.4450,0.2347,1.0000,0.0496,0.8644,0.0000,0.0556,2.776E-1,5.0000,0.1322,0.6798,0.0370,0.1111,4.174E-2,10.0000,0.1773,0.5539,0.0370,0.1667,1.302E-2,1.6100,0.0663,0.8184,0.0000,0.0556,1.354E-1,14.4708,0.2110,0.4677,0.0926,0.1667,1.632E-3,30.2854,0.3146,0.2592,0.2593,0.3333,3.343E-4,34.8739,0.3461,0.2161,0.2778,0.3333,5.085E-5,23.6505,0.2710,0.3333,0.1852,0.3333,3.919E-3,52.2550,0.4835,0.0992,0.4444,0.3333,9.455E-9,1.6100,0.0663,0.8184,0.0000,0.0556,1.354E-1,14.7717,0.2132,0.4626,0.1111,0.1667,1.421E-3
Galax_urceolata_4,54,0.9513,1.1899,680,0.8610,18,0.0563,0.6529,0.0771,10053,17.3253,6.4228,9.1992,1.9397,6.1760,4.1952,7.5214,47.2205,4.4669,24.6419,13.1488,12.8938,20.4170,3.5578,18.6049,2.2689,0.9373,0.8999,0.9327,0.9244,0.9101,0.9332,0.9210,0.9322,0.5196,0.2272,0.1970,0.0803,0.3134,0.2188,0.1238,0.5881,0.1081,0.2061,0.0428,0.0232,-0.0357,0.1310,0.1330,0.0909,0.1604,-0.3258,0.3018,0.1951,0.3850,-0.1579,-0.1118,0.1692,0.6514,0.6931,0.6508,0.6315,0.6286,0.6638,0.6713,0.6367,0.6123,0.4787,0.7281,0.6940,0.7465,0.5337,0.5779,0.6379,8.2642,0.1954,1.0000,0.0463,0.8687,0.0000,0.1111,5.727E-1,5.0000,0.0911,0.6580,0.0370,0.2222,2.083E-1,10.0000,0.1347,0.5023,0.0926,0.3889,2.466E-1,1.4670,0.0539,0.8345,0.0000,0.1111,4.077E-1,10.1856,0.1363,0.4978,0.0926,0.3889,2.344E-1,29.1976,0.2965,0.2200,0.2222,0.5000,8.262E-3,27.5759,0.2832,0.2354,0.1667,0.5000,1.301E-2,15.5786,0.1869,0.3889,0.1111,0.3889,4.71E-2,55.0126,0.5177,0.0633,0.4444,0.6111,6.921E-5,4.0406,0.0818,0.6973,0.0185,0.2222,3.237E-1,15.7452,0.1883,0.3862,0.1111,0.3889,4.469E-2
Galax_urceolata (average),54.0000,0.8291,1.0342,432.0000,0.8398,18.0000,0.5940,0.7501,0.0682,10053.2000,21.4113,6.1013,11.7575,3.6378,11.9098,2.4928,5.8844,36.8051,5.0637,17.4337,15.7315,12.8341,32.5091,3.4302,7.9161,5.0817,0.8154,0.7886,0.8045,0.7999,0.7745,0.8170,0.8123,0.8057,0.4407,0.1564,0.2102,0.1093,0.3116,0.1535,0.1060,0.4674,0.6427,0.6273,0.6122,0.5697,0.5526,0.6186,0.6256,0.5724,0.4179,0.0457,0.2544,0.1119,0.3937,0.0838,-0.0193,0.5473,0.7534,0.7588,0.7499,0.7470,0.7516,0.7542,0.7611,0.7352,0.6945,0.6044,0.7117,0.6180,0.7146,0.6306,0.5893,0.7433,8.3867,0.2222,1.0000,0.0495,0.8614,0.0111,0.0445,0.2389,5.0000,0.1228,0.6730,0.0370,0.1222,0.0686,10.0000,0.1691,0.5437,0.0630,0.2111,0.0647,0.6795,0.0370,0.9146,0.0000,0.0333,0.4890,13.5340,0.1927,0.4790,0.0926,0.2222,0.0499,31.0476,0.3056,0.2434,0.2445,0.3667,0.0019,30.4754,0.3031,0.2507,0.2074,0.3444,0.0027,23.4011,0.2573,0.3322,0.1778,0.3333,0.0187,49.9453,0.4518,0.1078,0.4148,0.4111,0.0000,3.2896,0.0887,0.7456,0.0148,0.1222,0.1556,15.7057,0.2114,0.4374,0.1222,0.2444,0.0121
