X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-82.73,35.23,train,8.687582357613551E-4,78.35839750275211,0.7713130362077764
-84.33,36.83,train,1.1396222873571726E-4,30.419769452030824,0.30672873433252007
-79.37,35.15,train,3.435380109796151E-5,8.286543157658313,0.11767727192139443
-81.9,35.73,train,3.8807112307904064E-4,62.05521341680868,0.6010552583741918
-83.58,36.66,train,1.3953041992270526E-4,36.42322414652927,0.3513655826566766
-82.01,35.94,train,5.600921044421916E-4,69.59705158161879,0.6849849759290367
-84.58,34.19,train,1.017590352615104E-4,27.58332918627048,0.28318506941928856
-83.02,34.88,train,4.838933321327936E-4,66.7848360552184,0.6526118555152619
-83.19,35.06,train,0.005013259981881853,98.57980590869516,0.9511313928905142
-81.46,36.4,train,7.206647223126539E-4,74.92502996375418,0.7366927557858991
-82.73,35.02,train,0.0012464490594893513,85.26087360815669,0.8287408174195363
-84.34,36.84,train,1.1208151463780138E-4,30.00316886546132,0.30320158813889075
-84.01,35.56,train,1.960296035137484E-4,46.766013701801974,0.4321562735192804
-83.38,33.9,train,7.441702053826886E-5,20.110821286991396,0.22415065176417676
-82.38,35.69,train,0.003165814868305842,95.5989630902451,0.9247592940018465
-81.27,35.24,train,3.430468236372631E-4,59.82360560602652,0.5711494157412232
-83.12,34.97,train,0.0011349210400021384,83.03480919448884,0.815024333930613
-83.36,37.7,train,7.653327712714013E-5,20.87516738150181,0.22906486379504512
-81.81,36.12,train,0.0012062288548014342,84.63012522968941,0.8240352260841927
-76.69,36.44,train,3.6257854425222904E-5,8.89891623768402,0.12339470371964888
-80.33,37.67,train,1.0856119150528845E-4,29.232012056829902,0.2965020814232943
-83.95,36.0,train,7.044794770130662E-5,18.86492831030556,0.21476298729172708
-82.22,35.75,train,0.0011586506587237127,83.58251202228135,0.8181236924544822
-80.47,36.34,train,2.76564751345121E-4,55.01968789374714,0.5177725856223884
-80.52,37.37,train,2.281548606157426E-4,50.683171001668846,0.4697121134258493
-78.78,37.64,train,2.2951709066428143E-5,4.0435579400927715,0.0818154527457103
-77.06,38.9,train,1.4668468428844602E-5,1.483145949006819,0.05387926461039453
-82.29,35.6,train,0.001139788596824274,83.35068978676935,0.8156686739495691
-83.75,36.11,train,1.1591724878718262E-4,30.721637674438824,0.31035758177375344
-80.28,36.4,train,4.111571229943241E-4,63.310294514945824,0.614827573545115
-83.19,35.04,train,0.014201940804013954,100.0,0.9821862310473266
-83.44,35.03,train,8.423524838144847E-4,77.73074708867615,0.7658230089908481
-84.63,34.32,train,2.3045117442385013E-4,50.9811590832675,0.4722072635539073
-83.58,35.65,train,4.977815271801959E-4,67.4940743128409,0.6589990005848088
-81.11,36.0,train,2.6500788744952326E-4,54.09448168487691,0.5071082508116743
-80.26,36.39,train,3.083496304690869E-4,57.65047644767463,0.544856482423049
-84.71,34.76,train,3.389224294982543E-4,59.673867690096046,0.56818420874836
-83.8,34.85,train,5.588677840960946E-4,69.54000413043569,0.6845125881020951
-84.33,36.84,train,1.1682257013792495E-4,30.891260006197342,0.31202517301264454
-83.47,35.67,train,0.0012834894656797268,85.62066251966624,0.832857124861393
-84.05,36.55,train,1.8494202779025963E-4,45.26053310799125,0.41792866282352953
-81.89,35.91,train,9.249329814644921E-4,79.4457389925796,0.7821767206956591
-83.46,34.74,train,0.0011345288158888989,83.00941748056877,0.8149722173201663
-79.2,38.99,train,1.0425299355771558E-4,28.109134814016475,0.2881257846236302
-81.91,35.73,train,3.873292289618952E-4,61.99613303946892,0.6005963171540105
-76.89,35.81,train,3.9546507419100854E-5,9.84181119902124,0.13309718652646482
-83.58,35.17,train,0.0036118863405649143,97.28725237095851,0.9334330340571154
-82.08,36.18,train,3.9408108855666955E-4,62.50467993061015,0.6047345474258959
-81.04,36.4,train,2.7341989786276586E-4,54.805932852629766,0.514916579908106
