Predictor variable,Categorical,Sample average
bio_14,false,93.9074074074074
bio_15,false,12.770992049464473
bio_18,false,369.037037037037
bio_3,false,38.70032211586281
bio_7,false,32.314814779493545
bio_8,false,14.351851889380702
bio_9,false,11.865123366040212
elev,false,596.0
