"uuid","occurrenceid","catalognumber","family","genus","scientificname","country","stateprovince","geopoint.lon","geopoint.lat","data.dwc:eventDate","data.dwc:year","data.dwc:month","data.dwc:day","collector","recordset"
"0370a872-1de8-4817-8250-7bd873002cf8","f5b767de-b4c8-4ce2-af2a-f3c4388cceae","ucht046392","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,"2023",NA,NA,"joey shaw; meredith woodward, julia prins, aster ayer, kaitlyn henderson, rylee barwell, stefen fuqua","120d557c-c5be-474d-98f0-1ba00ae16b40"
"03fd5be9-fb32-48f2-a480-a59b986e116a","0b0721a9-3d8c-4213-8d0f-91d47371bf10","31234100396157","diapensiaceae","galax","galax urceolata","united states","georgia",NA,NA,"1996-07-17","1996","7","17","t.j. weckman, h.m. weckman, j. c. weckman, j. e. rozeman","20360fae-574a-4d63-b9f6-47b1cc07fd22"
"0419c82c-29a2-4e5f-8d1e-20abe1cc38cf","6d9d999f-4aa6-4117-9746-8c942c4eb122",NA,"diapensiaceae","galax","galax urceolata","united states","tennessee",NA,NA,NA,"1999",NA,NA,"loy r. phillippe","f0174bc9-0cca-450e-a941-655d80040139"
"042e26be-a582-43a6-b685-10f584fda5d6","e7658987-847d-468c-bcf4-05fa77caac0f","cm255463","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,"1974",NA,NA,"boufford, d.e.","db6c3db9-1e6d-4def-af29-33aa0339bfa9"
"045f7dec-f930-4ee7-8adb-9bf392d327bc","12eed7c9-74cd-42fa-bbfb-5a65978b6f03","ncu00326346","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,"1958",NA,NA,"radford, a. e.","4e3043a6-d48a-4a35-b5fb-f67d50cbc158"
"046f4ddf-c380-464a-afdf-a48f178e714b","722950a2-c91d-4a89-b9ac-f51a0130dea0","ksp032244","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,"1959",NA,NA,"t.m. sperry","664bd710-8791-4dba-a3b6-000a1b140951"
"04d49f3c-f50f-4426-a966-0650b68819aa","9f72ee10-81f3-49ad-bd02-3b15ac7f1f37","duke10095586","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,"1913",NA,NA,"dellinger, s. c.","6258d160-a7aa-4937-bce3-3538eebd374f"
"04da8136-13cd-4054-9046-0da690c918ee","939284f0-0f68-4991-8fec-396dac35842c","duke10095623","diapensiaceae","galax","galax urceolata","united states","georgia",NA,NA,NA,NA,NA,NA,NA,"6258d160-a7aa-4937-bce3-3538eebd374f"
"04fc4108-b1db-4033-b1ca-f5139d2d813b","63614aec-fff6-4307-afd3-c2ba2fe95f49","clems0042894","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,"1977",NA,NA,"a. d. cochran","264c48ec-8636-451f-a7e0-74131bc6f84c"
"0511828f-c731-420f-bc36-14d4c2252459","78f00246-85e1-4b02-8819-2ad6f5cfda67","duke10095600","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,NA,NA,NA,NA,"6258d160-a7aa-4937-bce3-3538eebd374f"
"051fe058-f828-4fb4-889c-3b3a0ab20c08","urn:catalog:uconn:conn:conn00108010","conn00108010","diapensiaceae","galax","galax urceolata","united states","tennessee",-83.50888,35.60055,"1989-10-16","1989","10","16","leslie j. mehrhoff","e70af26a-fb9e-43ab-96a0-d62a2df37e6d"
"053186e7-65b2-4ced-978e-d6eac74bf574","5bdda0c0-ff6d-11e2-9beb-001c23ce290f","usch0025715","diapensiaceae","galax","galax urceolata","united states","south carolina",NA,NA,"2006-06-08","2006","6","8","pittman, albert; darr, ann; boyle, kathy","83ad8494-136b-485a-87d4-8ce01dd6a8de"
"054f49c9-3c43-4aa4-ba77-2eff308bb6a6","6a145fae-98e4-4308-86b4-0a4fb5caf559","ncu00326364","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,NA,NA,NA,"melvin, lionel","4e3043a6-d48a-4a35-b5fb-f67d50cbc158"
