"name","lat","long"
"Galax urceolata",34.3,-85.43
"Galax urceolata",35.34,-82.73
"Galax urceolata",35.14,-82.74
"Galax urceolata",36.64,-81.67
"Galax urceolata",34.02,-84.36
"Galax urceolata",34.97,-84.57
"Galax urceolata",34.9,-83.3
"Galax urceolata",34.84,-84.43
"Galax urceolata",34.92,-83.42
"Galax urceolata",35.66,-83.71
"Galax urceolata",35.89,-82.82
"Galax urceolata",35.68,-83.46
"Galax urceolata",35.46,-82.64
"Galax urceolata",34.69,-83.41
"Galax urceolata",35.91,-81.89
"Galax urceolata",36.4,-80.26
"Galax urceolata",36.61,-83.68
"Galax urceolata",36.87,-83.37
"Galax urceolata",37.39,-80.05
"Galax urceolata",35.09,-82.95
"Galax urceolata",35.47,-83.43
"Galax urceolata",37.18,-82.58
"Galax urceolata",35.69,-83.4
"Galax urceolata",35.59,-83.86
"Galax urceolata",35.79,-83.21
"Galax urceolata",36.57,-80.74
"Galax urceolata",37.42,-79.79
"Galax urceolata",35.63,-83.73
"Galax urceolata",35.24,-81.28
"Galax urceolata",35.12,-82.45
"Galax urceolata",36.39,-80.27
"Galax urceolata",36.25,-81.31
"Galax urceolata",35.68,-83.59
"Galax urceolata",34.88,-83.35
"Galax urceolata",35.25,-82.31
"Galax urceolata",35.14,-83.09
"Galax urceolata",35.29,-82.78
"Galax urceolata",35.36,-82.9
"Galax urceolata",35.48,-83.32
"Galax urceolata",36.7,-81.36
"Galax urceolata",36.12,-81.78
"Galax urceolata",35.6,-83.39
"Galax urceolata",36.03,-81.79
"Galax urceolata",34.78,-84.39
"Galax urceolata",36.5,-82.62
"Galax urceolata",34.84,-84.59
"Galax urceolata",35.87,-81.88
"Galax urceolata",35.24,-82.51
"Galax urceolata",35.2,-82.25
"Galax urceolata",35.8,-83.41
"Galax urceolata",35.61,-83.83
"Galax urceolata",35.47,-83.57
"Galax urceolata",37.79,-79.7
"Galax urceolata",35.49,-83.17
"Galax urceolata",34.14,-78.01
"Galax urceolata",35.83,-83.18
"Galax urceolata",35.18,-84.44
"Galax urceolata",35.05,-83.18
"Galax urceolata",34.7,-85.49
"Galax urceolata",34.7,-84.3
"Galax urceolata",35.47,-82.34
"Galax urceolata",35.17,-83.15
"Galax urceolata",35.6,-82.53
"Galax urceolata",36.85,-84.34
"Galax urceolata",36.16,-81.55
"Galax urceolata",35.57,-83.24
"Galax urceolata",35.52,-83.1
"Galax urceolata",35.11,-82.61
"Galax urceolata",34.7,-83.84
"Galax urceolata",37.29,-80.42
"Galax urceolata",35.73,-82.04
"Galax urceolata",34.97,-83.12
"Galax urceolata",34.84,-82.95
"Galax urceolata",35.69,-83.48
"Galax urceolata",35.65,-82.29
"Galax urceolata",37.33,-80.1
"Galax urceolata",37.46,-80.34
"Galax urceolata",34.77,-83.92
"Galax urceolata",36.17,-81.53
"Galax urceolata",37.57,-79.59
"Galax urceolata",35.82,-81.89
"Galax urceolata",36.6,-83.67
"Galax urceolata",38.06,-81.08
"Galax urceolata",35.84,-81.94
"Galax urceolata",35.76,-83.21
"Galax urceolata",35.67,-83.67
"Galax urceolata",33.94,-84.44
"Galax urceolata",35.24,-84.52
"Galax urceolata",36.09,-81.84
"Galax urceolata",35.59,-82.78
"Galax urceolata",35.76,-83.16
"Galax urceolata",35.11,-83.59
"Galax urceolata",36.08,-81.79
"Galax urceolata",35.22,-82.61
"Galax urceolata",37.71,-79.89
"Galax urceolata",35.08,-83.13
"Galax urceolata",37.25,-78.77
"Galax urceolata",36.17,-81.78
"Galax urceolata",35.9,-81.97
"Galax urceolata",35.76,-82.23
"Galax urceolata",35.67,-83.48
"Galax urceolata",36.66,-80.44
"Galax urceolata",35.64,-82.29
"Galax urceolata",35.14,-83.13
"Galax urceolata",36.18,-81.75
"Galax urceolata",35.31,-82.88
"Galax urceolata",35.4,-83.19
"Galax urceolata",35.42,-82.75
"Galax urceolata",34.73,-83.9
"Galax urceolata",35.03,-83.46
"Galax urceolata",36.01,-82.61
"Galax urceolata",37.98,-80.95
"Galax urceolata",34.87,-83.58
"Galax urceolata",35.37,-82.92
"Galax urceolata",34.82,-83.72
"Galax urceolata",35.05,-83.19
"Galax urceolata",35.67,-83.49
"Galax urceolata",36.14,-81.64
"Galax urceolata",35.67,-83.66
"Galax urceolata",35.42,-82.53
"Galax urceolata",35.46,-82.69
"Galax urceolata",37.37,-80.74
"Galax urceolata",35.74,-83.22
"Galax urceolata",35.64,-83.71
"Galax urceolata",35.89,-82.13
"Galax urceolata",36.05,-81.78
"Galax urceolata",35.86,-81.91
"Galax urceolata",37.51,-79.67
"Galax urceolata",36.4,-81.46
"Galax urceolata",35.64,-82.3
"Galax urceolata",33.71,-85.64
"Galax urceolata",37.33,-80.75
"Galax urceolata",35.86,-81.95
"Galax urceolata",34.79,-83.71
"Galax urceolata",35.45,-83.69
"Galax urceolata",37.39,-80.19
"Galax urceolata",35.68,-83.43
"Galax urceolata",35.38,-82.75
"Galax urceolata",35.4,-82.77
"Galax urceolata",37.38,-80.52
"Galax urceolata",35.45,-82.43
