"species","longitude","latitude"
"Galax urceolata",-83.3,35.54
"Galax urceolata",-82.42,36.04
"Galax urceolata",-76.9,34.94
"Galax urceolata",-83.43,34.91
"Galax urceolata",-80.69,36.61
"Galax urceolata",-81.51,36.16
"Galax urceolata",-84.23,36.33
"Galax urceolata",-84.08,34.58
"Galax urceolata",-80.7,36.7
"Galax urceolata",-82.89,35.05
"Galax urceolata",-83.59,34.85
"Galax urceolata",-80.96,36.52
"Galax urceolata",-83.47,35.04
"Galax urceolata",-83.79,34.26
"Galax urceolata",-81.79,36.11
"Galax urceolata",-84.49,35.29
"Galax urceolata",-84.69,33.74
"Galax urceolata",-83.56,35.19
"Galax urceolata",-80.09,37.24
"Galax urceolata",-81.51,35.97
"Galax urceolata",-83.56,35.06
"Galax urceolata",-84.54,35.17
"Galax urceolata",-82.23,35.64
"Galax urceolata",-82.6,35.08
"Galax urceolata",-82.61,35.07
"Galax urceolata",-83.12,35.7
"Galax urceolata",-82.75,35.16
"Galax urceolata",-84.08,36.56
"Galax urceolata",-83.78,35.62
"Galax urceolata",-83.91,35.65
"Galax urceolata",-82.18,35.69
"Galax urceolata",-83.63,35.7
"Galax urceolata",-84.28,34.5
"Galax urceolata",-81.55,35.77
"Galax urceolata",-82.48,35.59
"Galax urceolata",-82.71,35.03
"Galax urceolata",-79.94,37.08
"Galax urceolata",-82.58,35.46
"Galax urceolata",-84.77,34.17
"Galax urceolata",-82.68,36.07
"Galax urceolata",-80.49,36.91
"Galax urceolata",-82.33,35.59
"Galax urceolata",-83.94,35.36
"Galax urceolata",-83.72,35.8
"Galax urceolata",-82.32,35.46
"Galax urceolata",-81.62,36.71
"Galax urceolata",-83.67,34.93
"Galax urceolata",-83.45,35.64
"Galax urceolata",-82.86,35.66
"Galax urceolata",-82.71,36.79
"Galax urceolata",-84.3,34.87
"Galax urceolata",-79.87,36.75
"Galax urceolata",-82.85,34.96
"Galax urceolata",-83.11,35.73
"Galax urceolata",-82.5,35.2
"Galax urceolata",-82.66,35.11
"Galax urceolata",-83.92,35.61
"Galax urceolata",-84.47,34.84
"Galax urceolata",-82.37,36.34
"Galax urceolata",-83.13,35.74
"Galax urceolata",-83.38,35.71
"Galax urceolata",-80.02,37.64
"Galax urceolata",-83.37,35.58
"Galax urceolata",-83.38,35.58
"Galax urceolata",-80.27,36.41
"Galax urceolata",-81.38,36.23
"Galax urceolata",-79.54,37.51
"Galax urceolata",-81.63,35.54
"Galax urceolata",-82.6,35.22
"Galax urceolata",-81.53,36.87
"Galax urceolata",-82.53,35.43
"Galax urceolata",-82.29,35.21
"Galax urceolata",-82.74,35.14
"Galax urceolata",-78.01,34.14
"Galax urceolata",-85.6,33.72
"Galax urceolata",-81.86,35.74
"Galax urceolata",-79.13,36.07
"Galax urceolata",-83.41,35.8
"Galax urceolata",-81.58,36.18
"Galax urceolata",-83.11,34.87
"Galax urceolata",-85.1,33.59
"Galax urceolata",-80.07,36.79
"Galax urceolata",-83.48,35.69
"Galax urceolata",-83.51,35.63
"Galax urceolata",-81.67,36.64
"Galax urceolata",-84.02,34.75
"Galax urceolata",-83.42,34.92
"Galax urceolata",-82.4,34.95
"Galax urceolata",-84.57,34.97
"Galax urceolata",-83.1,35.52
"Galax urceolata",-80.16,37.38
"Galax urceolata",-83.83,35.61
"Galax urceolata",-84.44,35.18
"Galax urceolata",-79.7,37.79
"Galax urceolata",-83.3,34.9
"Galax urceolata",-82.25,35.2
"Galax urceolata",-83.21,35.79
"Galax urceolata",-84.43,34.84
"Galax urceolata",-79.91,37.69
"Galax urceolata",-82.45,35.12
"Galax urceolata",-83.18,35.83
"Galax urceolata",-82.61,35.11
"Galax urceolata",-83.41,34.69
"Galax urceolata",-83.68,36.61
"Galax urceolata",-81.94,35.74
"Galax urceolata",-81.93,35.72
"Galax urceolata",-81.92,35.76
"Galax urceolata",-81.89,35.75
"Galax urceolata",-81.89,35.74
"Galax urceolata",-81.83,35.77
"Galax urceolata",-83.57,35.47
"Galax urceolata",-82.58,37.18
"Galax urceolata",-83.18,35.05
"Galax urceolata",-80.05,37.39
"Galax urceolata",-80.42,37.29
"Galax urceolata",-82.31,35.25
"Galax urceolata",-81.79,36.03
"Galax urceolata",-83.67,36.6
"Galax urceolata",-85.49,34.7
"Galax urceolata",-84.39,34.78
"Galax urceolata",-84.34,36.85
"Galax urceolata",-83.09,35.14
"Galax urceolata",-81.89,35.82
"Galax urceolata",-83.35,34.88
"Galax urceolata",-81.06,37.83
"Galax urceolata",-83.32,35.48
"Galax urceolata",-80.34,37.46
"Galax urceolata",-79.59,37.57
"Galax urceolata",-82.12,36.44
"Galax urceolata",-82.9,35.36
"Galax urceolata",-84.59,34.84
"Galax urceolata",-84.52,35.24
"Galax urceolata",-81.36,36.7
"Galax urceolata",-83.67,35.67
"Galax urceolata",-80.06,37.57
"Galax urceolata",-80.1,37.33
"Galax urceolata",-82.35,36.27
"Galax urceolata",-81.55,36.16
"Galax urceolata",-83.05,35.01
"Galax urceolata",-82.61,35.21
"Galax urceolata",-81.46,36.21
"Galax urceolata",-82.95,34.95
"Galax urceolata",-81.92,35.79
"Galax urceolata",-83.4,34.69
"Galax urceolata",-84.64,34.83
"Galax urceolata",-81.87,35.8
"Galax urceolata",-83.72,34.66
"Galax urceolata",-81.66,36.12
"Galax urceolata",-84.46,35.08
"Galax urceolata",-82.35,35.47
"Galax urceolata",-82.61,35.22
"Galax urceolata",-80.19,37.38
"Galax urceolata",-82.75,35.24
"Galax urceolata",-84.2,34.65
"Galax urceolata",-82.7,35.45
"Galax urceolata",-82.67,35.34
"Galax urceolata",-80.74,37.37
"Galax urceolata",-83.71,34.99
"Galax urceolata",-83.11,35.44
"Galax urceolata",-83.71,35.64
"Galax urceolata",-83.11,35.43
"Galax urceolata",-83.11,35.42
"Galax urceolata",-82.63,35.24
"Galax urceolata",-82.71,35.25
"Galax urceolata",-80.56,37.35
"Galax urceolata",-82.75,35.38
"Galax urceolata",-80.19,37.39
"Galax urceolata",-83.34,35.88
"Galax urceolata",-83.58,35.71
"Galax urceolata",-78.77,37.25
"Galax urceolata",-81.79,36.08
"Galax urceolata",-83.13,35.14
"Galax urceolata",-82.82,35.29
"Galax urceolata",-79.67,37.51
"Galax urceolata",-81.09,38.05
"Galax urceolata",-83.83,35.52
"Galax urceolata",-80.44,36.66
"Galax urceolata",-80.54,37.36
"Galax urceolata",-82.56,35.79
"Galax urceolata",-81.74,36.19
"Galax urceolata",-82.53,35.42
"Galax urceolata",-83.58,34.87
"Galax urceolata",-83.31,35.56
"Galax urceolata",-82.5,35.25
"Galax urceolata",-80.11,37.48
"Galax urceolata",-83.49,35
"Galax urceolata",-83.69,35.45
"Galax urceolata",-80.75,37.33
"Galax urceolata",-82.77,35.4
"Galax urceolata",-82.82,35.15
"Galax urceolata",-82.88,35.31
"Galax urceolata",-82.88,35.3
"Galax urceolata",-83.18,35.08
"Galax urceolata",-83.48,35.65
"Galax urceolata",-83.9,34.73
"Galax urceolata",-83.74,34.8
"Galax urceolata",-83.71,34.79
"Galax urceolata",-85.64,33.71
"Galax urceolata",-82.79,35.35
"Galax urceolata",-80.95,37.98
"Galax urceolata",-83.21,35.75
"Galax urceolata",-80.54,37.43
"Galax urceolata",-85.48,33.92
"Galax urceolata",-80.5,37.26
"Galax urceolata",-84.41,34.77
"Galax urceolata",-82.64,35.46
"Galax urceolata",-82.61,35.19
"Galax urceolata",-83.87,35.5
"Galax urceolata",-80.1,37.38
"Galax urceolata",-82.38,35.56
"Galax urceolata",-83.2,35.04
"Galax urceolata",-84.32,36.85
"Galax urceolata",-82.21,35.83
"Galax urceolata",-82.8,35.36
"Galax urceolata",-82.51,35.37
"Galax urceolata",-79.92,35.61
"Galax urceolata",-83.19,35.59
"Galax urceolata",-81.17,37
"Galax urceolata",-81.87,36.07
"Galax urceolata",-84.2,34.76
"Galax urceolata",-82.69,35.03
"Galax urceolata",-83.28,35.04
"Galax urceolata",-83.68,35.63
"Galax urceolata",-81.75,36.12
"Galax urceolata",-84.19,34.66
"Galax urceolata",-80.49,37.43
"Galax urceolata",-83.1,35.55
"Galax urceolata",-82.83,35.89
"Galax urceolata",-81.41,35.66
"Galax urceolata",-82.12,36.3
"Galax urceolata",-83.11,34.82
"Galax urceolata",-83.24,35.08
"Galax urceolata",-83.95,35.5
"Galax urceolata",-83,35.49
"Galax urceolata",-81.49,35.9
"Galax urceolata",-81.93,35.82
"Galax urceolata",-85.07,34.53
"Galax urceolata",-82.49,35.27
"Galax urceolata",-82.6,36.04
"Galax urceolata",-82.6,36.03
"Galax urceolata",-80.05,37.57
"Galax urceolata",-81.86,35.96
"Galax urceolata",-82.95,34.96
"Galax urceolata",-82.88,35.2
"Galax urceolata",-82.76,35.43
"Galax urceolata",-83.56,35.04
"Galax urceolata",-80.24,35.6
"Galax urceolata",-82.8,37.08
"Galax urceolata",-82.34,35.61
"Galax urceolata",-83.03,35.04
"Galax urceolata",-82.18,35.75
"Galax urceolata",-81.89,35.88
"Galax urceolata",-82.7,35.03
"Galax urceolata",-82.19,35.73
"Galax urceolata",-83.37,35.62
"Galax urceolata",-81.81,36.1
"Galax urceolata",-83.25,35.82
"Galax urceolata",-82.2,35.82
"Galax urceolata",-81.29,36.22
"Galax urceolata",-84.32,34.52
"Galax urceolata",-84.31,34.51
"Galax urceolata",-80.79,37.02
"Galax urceolata",-83.93,34.76
"Galax urceolata",-80.45,37.23
"Galax urceolata",-80.44,37.27
"Galax urceolata",-80.46,37.27
"Galax urceolata",-82.57,35.62
"Galax urceolata",-83.54,35.7
"Galax urceolata",-81.84,35.95
"Galax urceolata",-84.23,34.58
"Galax urceolata",-81.87,36.16
"Galax urceolata",-79.83,37.89
"Galax urceolata",-83.26,35.54
"Galax urceolata",-82.59,35.08
"Galax urceolata",-82.56,35.08
"Galax urceolata",-84.11,35.4
"Galax urceolata",-83.8,34.85
"Galax urceolata",-83.31,34.82
"Galax urceolata",-82.86,35.22
"Galax urceolata",-82.87,35.21
"Galax urceolata",-81.15,36.4
"Galax urceolata",-82.51,35.56
"Galax urceolata",-83.44,34.71
"Galax urceolata",-84.71,34.77
"Galax urceolata",-84.17,34.74
"Galax urceolata",-82.09,36.16
"Galax urceolata",-82.51,35.51
"Galax urceolata",-82.34,36.27
"Galax urceolata",-81.63,35.61
"Galax urceolata",-82.78,35.97
"Galax urceolata",-81.71,36.19
"Galax urceolata",-82.28,35.49
"Galax urceolata",-82.7,36.04
"Galax urceolata",-82.65,35.45
"Galax urceolata",-82.22,35.75
"Galax urceolata",-83.27,34.97
"Galax urceolata",-82.87,35.09
"Galax urceolata",-80.06,36.78
"Galax urceolata",-84.05,36.45
"Galax urceolata",-83.38,35.03
"Galax urceolata",-82.41,36.1
"Galax urceolata",-83.27,35.03
"Galax urceolata",-81.95,35.95
"Galax urceolata",-81.77,36.08
"Galax urceolata",-82.74,35.18
"Galax urceolata",-80.29,37.48
"Galax urceolata",-83.27,35.58
"Galax urceolata",-83.11,35.45
"Galax urceolata",-83.72,34.68
"Galax urceolata",-82.25,35.35
"Galax urceolata",-82.49,35.63
"Galax urceolata",-83.51,34.5
"Galax urceolata",-85.73,33.56
"Galax urceolata",-82.76,35.27
"Galax urceolata",-85.5,34.69
"Galax urceolata",-81.73,36.08
"Galax urceolata",-82.95,35.02
"Galax urceolata",-83.1,34.88
"Galax urceolata",-80.12,36.8
"Galax urceolata",-82.26,35.39
"Galax urceolata",-83.07,35.06
"Galax urceolata",-84.68,34.9
"Galax urceolata",-83.29,35.04
"Galax urceolata",-84.36,35.16
"Galax urceolata",-84.83,32.84
"Galax urceolata",-84.37,34.99
"Galax urceolata",-83.79,34.71
"Galax urceolata",-81.53,36.17
"Galax urceolata",-84.43,34.61
"Galax urceolata",-82.52,35.59
"Galax urceolata",-82.24,35.62
"Galax urceolata",-82.49,35.49
"Galax urceolata",-81.27,35.23
"Galax urceolata",-80.32,36.72
"Galax urceolata",-82.24,35.47
"Galax urceolata",-82.09,36.42
"Galax urceolata",-83.31,35.75
"Galax urceolata",-83.31,34.76
"Galax urceolata",-83.35,36.86
"Galax urceolata",-84.22,36.33
"Galax urceolata",-81.46,36.73
"Galax urceolata",-85.59,34.55
"Galax urceolata",-83.82,34.33
"Galax urceolata",-83.48,34.5
"Galax urceolata",-83.48,34.75
"Galax urceolata",-81.78,36.16
"Galax urceolata",-80.06,37.39
"Galax urceolata",-82.77,35.3
"Galax urceolata",-81.78,36.17
"Galax urceolata",-83.91,35.59
"Galax urceolata",-83.78,35.61
"Galax urceolata",-83.52,35.7
"Galax urceolata",-82.22,35.63
"Galax urceolata",-82.81,35.05
"Galax urceolata",-83.53,35.16
"Galax urceolata",-84.82,32.84
"Galax urceolata",-83.13,35.89
"Galax urceolata",-84.3,34.5
"Galax urceolata",-82.48,35.5
"Galax urceolata",-83.73,34.75
"Galax urceolata",-83.58,35.29
"Galax urceolata",-82.7,35.18
"Galax urceolata",-79.81,35.25
"Galax urceolata",-82.54,35.35
"Galax urceolata",-80.34,37.21
"Galax urceolata",-83.22,35.76
"Galax urceolata",-80.94,36.5
"Galax urceolata",-83.38,35.57
"Galax urceolata",-84.06,34.66
"Galax urceolata",-83.81,34.79
"Galax urceolata",-82.74,35.15
"Galax urceolata",-84.74,34.17
"Galax urceolata",-79.38,37.59
"Galax urceolata",-83.11,34.94
"Galax urceolata",-82.97,34.95
"Galax urceolata",-80.72,36.38
"Galax urceolata",-81.63,35.6
"Galax urceolata",-82.62,36.52
"Galax urceolata",-82.88,34.94
"Galax urceolata",-81.73,36.63
"Galax urceolata",-82.45,35.31
"Galax urceolata",-83.68,34.8
"Galax urceolata",-80.45,37.28
"Galax urceolata",-81.92,35.93
"Galax urceolata",-80.25,36.41
"Galax urceolata",-83.53,35.08
"Galax urceolata",-80.56,36.99
"Galax urceolata",-83.23,35.09
"Galax urceolata",-80.79,37.3
"Galax urceolata",-83.13,35.55
"Galax urceolata",-84.62,35.11
"Galax urceolata",-83.97,34.74
"Galax urceolata",-85.01,34.77
"Galax urceolata",-82.49,35.61
"Galax urceolata",-82.46,35.67
"Galax urceolata",-82.63,36.91
"Galax urceolata",-84.7,34.76
"Galax urceolata",-83.43,34.69
"Galax urceolata",-81.87,35.82
"Galax urceolata",-85.81,33.47
"Galax urceolata",-80.94,35.65
"Galax urceolata",-79.47,37.64
"Galax urceolata",-78.5,38.38
"Galax urceolata",-83.41,34.81
"Galax urceolata",-81.13,37.14
"Galax urceolata",-84.28,36.9
"Galax urceolata",-83.66,35.62
"Galax urceolata",-82.45,35.61
"Galax urceolata",-83.13,35.08
"Galax urceolata",-83.72,35.63
"Galax urceolata",-83.1,34.94
"Galax urceolata",-83.09,34.94
"Galax urceolata",-84.19,34.64
"Galax urceolata",-83.5,35.41
"Galax urceolata",-82.9,35.95
"Galax urceolata",-82.38,35.62
"Galax urceolata",-83.1,34.86
"Galax urceolata",-81.48,36.22
"Galax urceolata",-80.85,37.25
"Galax urceolata",-84.13,34.87
"Galax urceolata",-83.88,35.47
"Galax urceolata",-83.71,34.76
"Galax urceolata",-82.27,35.49
"Galax urceolata",-83.31,35.59
"Galax urceolata",-82.41,35.48
"Galax urceolata",-82.36,36.26
"Galax urceolata",-82.93,35.53
"Galax urceolata",-81.22,36.14
"Galax urceolata",-84.14,34.25
"Galax urceolata",-81.77,36.1
"Galax urceolata",-82.33,35.28
"Galax urceolata",-82.62,36.51
"Galax urceolata",-83.64,35.7
"Galax urceolata",-83.72,35.66
"Galax urceolata",-81.79,36.12
"Galax urceolata",-82.81,34.98
"Galax urceolata",-78.93,35.99
"Galax urceolata",-83.65,35.68
"Galax urceolata",-82.72,35.16
"Galax urceolata",-83.27,35.09
"Galax urceolata",-83.29,34.81
"Galax urceolata",-84.44,33.94
"Galax urceolata",-83.27,35.75
"Galax urceolata",-84.33,35.3
"Galax urceolata",-84.42,34.86
"Galax urceolata",-83.79,35.67
"Galax urceolata",-83.92,34.73
"Galax urceolata",-76.95,34.99
"Galax urceolata",-82.94,34.95
"Galax urceolata",-79.99,37.39
"Galax urceolata",-80.44,37.46
"Galax urceolata",-85.83,33.42
"Galax urceolata",-84.29,35.23
"Galax urceolata",-83.73,36.74
"Galax urceolata",-82.36,36.27
"Galax urceolata",-83.6,35.67
"Galax urceolata",-83.11,35.62
"Galax urceolata",-83.07,34.85
"Galax urceolata",-81.58,35.68
"Galax urceolata",-82.62,35.09
"Galax urceolata",-79.76,37.46
"Galax urceolata",-84.35,34.52
"Galax urceolata",-81.86,35.8
"Galax urceolata",-81.75,35.64
"Galax urceolata",-85.81,33.42
"Galax urceolata",-80.25,36.4
"Galax urceolata",-84.66,34.94
"Galax urceolata",-85.82,33.44
"Galax urceolata",-81.83,36.03
"Galax urceolata",-83.67,35.35
"Galax urceolata",-83.65,35.71
"Galax urceolata",-83.36,35.7
"Galax urceolata",-82.35,35.24
"Galax urceolata",-84.32,34.47
"Galax urceolata",-84.22,34.59
"Galax urceolata",-81.04,36.38
"Galax urceolata",-84.92,33.53
"Galax urceolata",-83.38,36.86
"Galax urceolata",-79.89,37.71
"Galax urceolata",-84.19,35.44
"Galax urceolata",-84.47,35.06
"Galax urceolata",-84.31,34.48
"Galax urceolata",-81.8,36.15
"Galax urceolata",-83.55,35.61
"Galax urceolata",-82.28,35.26
"Galax urceolata",-82.22,35.7
"Galax urceolata",-82.62,35.48
"Galax urceolata",-80.11,37.47
"Galax urceolata",-84.59,34.83
"Galax urceolata",-83.11,35
"Galax urceolata",-83.21,35.02
"Galax urceolata",-80.11,36.79
"Galax urceolata",-82.34,35.27
"Galax urceolata",-79.92,37.67
"Galax urceolata",-83.33,34.91
"Galax urceolata",-83.33,35.7
"Galax urceolata",-82.95,35.1
"Galax urceolata",-82.76,35.98
"Galax urceolata",-84.11,34.42
"Galax urceolata",-83.86,35.59
"Galax urceolata",-84.29,34.5
"Galax urceolata",-83.22,35.04
"Galax urceolata",-80.79,34.93
"Galax urceolata",-82.95,34.83
"Galax urceolata",-76.51,38.32
"Galax urceolata",-85.58,34.58
"Galax urceolata",-83.71,34.69
"Galax urceolata",-84.61,34.65
"Galax urceolata",-83.9,34.78
"Galax urceolata",-82.25,35.43
"Galax urceolata",-81.82,36.14
"Galax urceolata",-83.64,35.69
"Galax urceolata",-82.77,35
"Galax urceolata",-83.61,35.08
"Galax urceolata",-83.11,34.98
"Galax urceolata",-83.1,34.99
"Galax urceolata",-84.55,35.19
"Galax urceolata",-82.14,36.28
"Galax urceolata",-82.26,35.64
"Galax urceolata",-84.44,35.1
"Galax urceolata",-83.58,35.72
"Galax urceolata",-82.57,35.22
"Galax urceolata",-83.09,35.4
"Galax urceolata",-81.18,37
"Galax urceolata",-83.55,34.8
"Galax urceolata",-81.31,35.21
"Galax urceolata",-83.29,35.4
"Galax urceolata",-81.3,35.21
"Galax urceolata",-83.47,35.7
"Galax urceolata",-83.33,35.71
"Galax urceolata",-82.86,34.74
"Galax urceolata",-82.92,35.09
"Galax urceolata",-83.84,35.59
"Galax urceolata",-82.08,35.8
"Galax urceolata",-83.7,36.76
"Galax urceolata",-82.65,35.11
"Galax urceolata",-82.3,35.59
"Galax urceolata",-82.21,35.68
"Galax urceolata",-84.27,36.85
"Galax urceolata",-83.08,35.74
"Galax urceolata",-80.01,37.38
"Galax urceolata",-80.34,37.22
"Galax urceolata",-84.05,34.66
"Galax urceolata",-85.81,33.48
"Galax urceolata",-79.95,35.5
"Galax urceolata",-81.85,36.01
"Galax urceolata",-81.89,36.58
"Galax urceolata",-79.94,37.25
"Galax urceolata",-82.52,35.46
"Galax urceolata",-83.08,35.78
"Galax urceolata",-83.07,35.79
"Galax urceolata",-83.05,35.79
"Galax urceolata",-79.53,37.52
"Galax urceolata",-82.75,35.37
"Galax urceolata",-84.59,34.9
"Galax urceolata",-83.73,35.57
"Galax urceolata",-82.28,36.13
"Galax urceolata",-80.48,37.28
"Galax urceolata",-79.66,37.48
"Galax urceolata",-83.19,35.74
"Galax urceolata",-80.49,37.39
"Galax urceolata",-82.65,35.41
"Galax urceolata",-83.04,36.98
"Galax urceolata",-83.04,35.17
"Galax urceolata",-77.72,38.8
"Galax urceolata",-84.45,34.64
"Galax urceolata",-80.65,36.98
"Galax urceolata",-82.88,35.32
"Galax urceolata",-82.13,36.29
"Galax urceolata",-82.83,35.33
"Galax urceolata",-81.14,37.51
"Galax urceolata",-83.11,35.03
"Galax urceolata",-82.56,35.14
"Galax urceolata",-82.74,35.44
"Galax urceolata",-81.37,36.69
"Galax urceolata",-84.02,35.38
"Galax urceolata",-82.89,35.95
"Galax urceolata",-82.49,35.58
"Galax urceolata",-84.23,34.6
"Galax urceolata",-82.2,35.81
"Galax urceolata",-82.2,35.8
"Galax urceolata",-82.45,35.27
"Galax urceolata",-82.66,35.02
"Galax urceolata",-83.26,35.77
"Galax urceolata",-81.81,36.11
"Galax urceolata",-81.97,36.23
"Galax urceolata",-81.88,36.07
"Galax urceolata",-82.02,36.16
"Galax urceolata",-82.88,35.29
"Galax urceolata",-83.17,35.45
"Galax urceolata",-83.02,35.13
"Galax urceolata",-82.73,35.28
"Galax urceolata",-81.96,36.48
"Galax urceolata",-82.24,35.71
"Galax urceolata",-83.95,34.68
"Galax urceolata",-81.44,37.64
"Galax urceolata",-82.01,35.99
"Galax urceolata",-83.41,34.7
"Galax urceolata",-79.65,37.75
"Galax urceolata",-85.64,34.4
