"species","longitude","latitude"
"Galax urceolata",-82.98,36.99
"Galax urceolata",-82.97,35.09
"Galax urceolata",-80.56,37.37
"Galax urceolata",-81.99,35.71
"Galax urceolata",-81.15,37.51
"Galax urceolata",-82.81,34.95
"Galax urceolata",-82.43,35.5
"Galax urceolata",-81.89,35.66
"Galax urceolata",-83.28,36.53
"Galax urceolata",-83.2,35.03
"Galax urceolata",-81.74,36.24
"Galax urceolata",-79.82,37.39
"Galax urceolata",-82.7,35.25
"Galax urceolata",-82.45,35.43
"Galax urceolata",-83.25,35.08
"Galax urceolata",-85.62,34.49
"Galax urceolata",-81.08,38.05
"Galax urceolata",-83.73,35.64
"Galax urceolata",-83.49,35.37
"Galax urceolata",-85.7,34.3
"Galax urceolata",-81.63,35.59
"Galax urceolata",-82.36,35.35
"Galax urceolata",-81.91,36.04
"Galax urceolata",-80.1,36.79
"Galax urceolata",-84.18,34.67
"Galax urceolata",-82.79,35.91
"Galax urceolata",-80.54,36.64
"Galax urceolata",-83.41,34.74
"Galax urceolata",-81.47,35.24
"Galax urceolata",-82.6,35.52
"Galax urceolata",-82.96,35.13
"Galax urceolata",-82.61,35.92
"Galax urceolata",-80.75,37.37
"Galax urceolata",-81.7,36.2
"Galax urceolata",-80.76,37.37
"Galax urceolata",-78.76,35.84
"Galax urceolata",-82.38,36.23
"Galax urceolata",-84.25,34.55
"Galax urceolata",-83.46,35.67
"Galax urceolata",-83.51,35.03
"Galax urceolata",-82.37,35.75
"Galax urceolata",-82.79,35.27
"Galax urceolata",-81.11,37.14
"Galax urceolata",-81.4,37
"Galax urceolata",-82.41,35.7
"Galax urceolata",-82.12,36.8
"Galax urceolata",-81.48,36.72
"Galax urceolata",-83.04,35.16
"Galax urceolata",-82.62,35.11
"Galax urceolata",-83.24,35.07
"Galax urceolata",-82.94,35.1
"Galax urceolata",-82.48,35.23
"Galax urceolata",-80.53,37.35
"Galax urceolata",-84.06,35.03
"Galax urceolata",-84.17,34.67
"Galax urceolata",-83.92,34.71
"Galax urceolata",-83.68,35.7
"Galax urceolata",-83.68,35.69
"Galax urceolata",-82.63,35.17
"Galax urceolata",-81.05,36.91
"Galax urceolata",-81.06,36.91
"Galax urceolata",-81.04,36.91
"Galax urceolata",-83.09,35.62
"Galax urceolata",-81.09,36.47
"Galax urceolata",-83.89,35.33
"Galax urceolata",-83.8,35.32
"Galax urceolata",-83.35,35.34
"Galax urceolata",-82.62,35.12
"Galax urceolata",-80.78,37.02
"Galax urceolata",-83.41,34.9
"Galax urceolata",-84.23,34.59
"Galax urceolata",-81.76,36.17
"Galax urceolata",-82.23,35.81
"Galax urceolata",-83.79,34.79
"Galax urceolata",-82.23,35.76
"Galax urceolata",-82.84,35.18
"Galax urceolata",-83.4,34.74
"Galax urceolata",-83.62,35.62
"Galax urceolata",-83.82,34.72
"Galax urceolata",-83.73,34.71
"Galax urceolata",-83.54,35.46
"Galax urceolata",-83.21,35.07
"Galax urceolata",-81.92,35.92
"Galax urceolata",-82.77,37.09
"Galax urceolata",-81.51,36.55
"Galax urceolata",-82.79,35.06
"Galax urceolata",-82.16,35.8
"Galax urceolata",-83.1,34.87
"Galax urceolata",-84.36,34.02
"Galax urceolata",-80.5,37.39
"Galax urceolata",-81.89,35.92
"Galax urceolata",-83.91,34.71
"Galax urceolata",-82.29,35.42
"Galax urceolata",-84.6,35.14
"Galax urceolata",-83.94,34.75
"Galax urceolata",-82.63,35.16
"Galax urceolata",-81.2,37
"Galax urceolata",-84,34.68
"Galax urceolata",-83.45,35.16
"Galax urceolata",-84.25,34.56
"Galax urceolata",-82.57,35.17
"Galax urceolata",-82.21,35.69
"Galax urceolata",-83.66,34.72
"Galax urceolata",-83.3,35.08
"Galax urceolata",-83.55,35.15
"Galax urceolata",-83.32,35.58
"Galax urceolata",-82.05,35.76
"Galax urceolata",-82.84,35.32
"Galax urceolata",-82.8,35.91
"Galax urceolata",-83.29,35.07
"Galax urceolata",-82.58,36.1
"Galax urceolata",-79.89,36.67
"Galax urceolata",-84.65,35.18
"Galax urceolata",-82.09,35.84
"Galax urceolata",-81.97,36.2
"Galax urceolata",-81.9,36.05
"Galax urceolata",-84.18,34.64
"Galax urceolata",-80.96,36.94
"Galax urceolata",-82.45,35.35
"Galax urceolata",-82.45,36.1
"Galax urceolata",-82.73,35.59
"Galax urceolata",-81.83,36.08
"Galax urceolata",-82.6,36.51
"Galax urceolata",-81.73,36.16
"Galax urceolata",-83.7,34.79
"Galax urceolata",-81.67,36.04
"Galax urceolata",-82.45,35.4
"Galax urceolata",-81.85,36.34
"Galax urceolata",-83.72,34.82
"Galax urceolata",-80.28,36.4
"Galax urceolata",-83.61,35.61
"Galax urceolata",-82.77,35.25
"Galax urceolata",-83.21,34.97
"Galax urceolata",-79.95,37.23
"Galax urceolata",-83.86,34.73
"Galax urceolata",-82.28,35.68
"Galax urceolata",-82.23,35.27
"Galax urceolata",-84.3,33.88
"Galax urceolata",-83.65,35.69
"Galax urceolata",-84.09,34.61
"Galax urceolata",-77.89,35.24
"Galax urceolata",-83.69,35.32
"Galax urceolata",-85.6,34.54
"Galax urceolata",-82.68,35.1
"Galax urceolata",-80.3,37.36
"Galax urceolata",-81.61,35.64
"Galax urceolata",-84.19,34.88
"Galax urceolata",-79.96,37.8
"Galax urceolata",-80.03,36.78
"Galax urceolata",-81.96,36.87
"Galax urceolata",-82.34,35.28
"Galax urceolata",-81.8,36.16
"Galax urceolata",-83.46,35.68
"Galax urceolata",-83.74,35.64
"Galax urceolata",-81.79,36.05
"Galax urceolata",-82.78,35.29
"Galax urceolata",-84.27,34.46
"Galax urceolata",-83.37,36.87
"Galax urceolata",-84.65,34.87
"Galax urceolata",-82.72,35.18
"Galax urceolata",-82.75,36.92
"Galax urceolata",-82.21,35.82
"Galax urceolata",-82.35,35.2
"Galax urceolata",-82.55,35.17
"Galax urceolata",-81.7,35.92
"Galax urceolata",-82.22,35.71
"Galax urceolata",-82.79,35.89
"Galax urceolata",-81.39,36.68
"Galax urceolata",-83.1,35
"Galax urceolata",-86.03,35.16
"Galax urceolata",-82.45,35.24
"Galax urceolata",-83.72,35.68
"Galax urceolata",-84.28,34.46
"Galax urceolata",-83.12,34.81
"Galax urceolata",-82.35,35.64
"Galax urceolata",-80.05,37.56
"Galax urceolata",-82.69,35.13
"Galax urceolata",-81.51,36.18
"Galax urceolata",-82.65,35.2
"Galax urceolata",-83.92,34.49
"Galax urceolata",-82.13,36.43
"Galax urceolata",-81.86,36.07
"Galax urceolata",-84.61,34.97
"Galax urceolata",-85.39,34.65
"Galax urceolata",-83.42,34.93
"Galax urceolata",-83.99,35.6
"Galax urceolata",-82.67,35.3
"Galax urceolata",-83.87,34.45
"Galax urceolata",-82.56,35.2
"Galax urceolata",-82.19,35.48
"Galax urceolata",-82.52,35.47
"Galax urceolata",-76.82,34.91
"Galax urceolata",-82.33,35.65
"Galax urceolata",-81.37,35.77
"Galax urceolata",-83.15,35.21
"Galax urceolata",-78,34.14
"Galax urceolata",-82.32,35.28
"Galax urceolata",-82.61,35.48
"Galax urceolata",-82.08,36.83
"Galax urceolata",-79.99,37.2
"Galax urceolata",-82.36,35.49
"Galax urceolata",-84.74,34.18
"Galax urceolata",-82.65,35.53
"Galax urceolata",-81.82,36.59
"Galax urceolata",-78.2,35.73
"Galax urceolata",-84.64,34.9
"Galax urceolata",-85.07,34.67
"Galax urceolata",-81.51,36.76
"Galax urceolata",-82.64,36.51
"Galax urceolata",-84.73,34.17
"Galax urceolata",-82.76,35.24
"Galax urceolata",-82.61,37.17
"Galax urceolata",-84.44,35.32
"Galax urceolata",-84.43,35.33
"Galax urceolata",-84.65,34.61
"Galax urceolata",-82.58,35.08
"Galax urceolata",-84.36,34.69
"Galax urceolata",-84.45,34.81
"Galax urceolata",-84.7,34.77
"Galax urceolata",-82.18,35.79
"Galax urceolata",-83.46,35.06
"Galax urceolata",-83.12,35.33
"Galax urceolata",-84.66,34.36
"Galax urceolata",-82.03,36.07
"Galax urceolata",-85.05,34.7
"Galax urceolata",-81.59,36.19
"Galax urceolata",-83.87,35.61
"Galax urceolata",-83.49,35.67
"Galax urceolata",-84.48,35.13
"Galax urceolata",-79.92,37.38
"Galax urceolata",-82.66,35.46
"Galax urceolata",-82.26,35.57
"Galax urceolata",-82.44,35.61
"Galax urceolata",-83.43,34.81
"Galax urceolata",-81.97,35.75
"Galax urceolata",-80,37.35
"Galax urceolata",-85.06,34.64
"Galax urceolata",-82.87,35.86
"Galax urceolata",-82.99,35.07
"Galax urceolata",-82.95,34.99
"Galax urceolata",-83.38,34.87
"Galax urceolata",-77.4,37.2
"Galax urceolata",-82.76,35.29
"Galax urceolata",-83.2,34.9
"Galax urceolata",-82.31,35.48
"Galax urceolata",-83.11,35.78
"Galax urceolata",-80.33,37.35
"Galax urceolata",-82.51,35.59
"Galax urceolata",-82.72,35.24
"Galax urceolata",-82.6,35.19
"Galax urceolata",-79.95,35.48
"Galax urceolata",-81.51,36.17
"Galax urceolata",-82.75,35.28
"Galax urceolata",-84.57,34.82
"Galax urceolata",-82.85,35.88
"Galax urceolata",-82.73,35.25
"Galax urceolata",-82.46,35.52
"Galax urceolata",-82.15,35.77
"Galax urceolata",-81.69,35.92
"Galax urceolata",-83.48,35.68
"Galax urceolata",-84.61,35.15
"Galax urceolata",-83.6,35.33
"Galax urceolata",-83.45,35.48
"Galax urceolata",-83.46,35.63
"Galax urceolata",-83.56,35.67
"Galax urceolata",-82.45,35.5
"Galax urceolata",-82.38,35.54
"Galax urceolata",-82.75,35.43
"Galax urceolata",-82.81,35.06
"Galax urceolata",-81.37,36.32
"Galax urceolata",-80.07,37.23
"Galax urceolata",-80.42,37.2
"Galax urceolata",-84.24,34.58
"Galax urceolata",-82.62,35.18
"Galax urceolata",-81.78,36.63
"Galax urceolata",-83.57,35.68
"Galax urceolata",-84.07,35.32
"Galax urceolata",-82.75,35.87
"Galax urceolata",-83.97,35.59
"Galax urceolata",-81.07,36.9
"Galax urceolata",-83.07,34.98
"Galax urceolata",-83.47,35.18
"Galax urceolata",-82.81,35.67
"Galax urceolata",-83.62,35.63
"Galax urceolata",-82.81,35.37
"Galax urceolata",-79.43,37.59
"Galax urceolata",-83.51,35.06
"Galax urceolata",-82.63,35.48
"Galax urceolata",-83.01,35.03
"Galax urceolata",-82.34,35.76
"Galax urceolata",-83.06,35.15
"Galax urceolata",-83.27,35.1
"Galax urceolata",-83.61,35.65
"Galax urceolata",-81.68,36.19
"Galax urceolata",-83.91,35.62
"Galax urceolata",-83.41,35.7
"Galax urceolata",-83.86,35.36
"Galax urceolata",-83.73,34.8
"Galax urceolata",-82.64,35.16
"Galax urceolata",-83.2,35.11
"Galax urceolata",-81.68,36.23
"Galax urceolata",-82.94,35.06
"Galax urceolata",-84.3,36.91
"Galax urceolata",-83.01,35.16
"Galax urceolata",-83.41,34.91
"Galax urceolata",-83.57,35.67
"Galax urceolata",-83,35.16
"Galax urceolata",-81.92,35.94
"Galax urceolata",-81.85,36.1
"Galax urceolata",-83.58,35.15
"Galax urceolata",-83.1,35.11
"Galax urceolata",-82.71,35.16
"Galax urceolata",-83.14,35.08
"Galax urceolata",-82.85,35.4
"Galax urceolata",-82.21,35.81
"Galax urceolata",-83.12,35.46
"Galax urceolata",-82.76,35.37
"Galax urceolata",-83.63,34.89
"Galax urceolata",-79.71,37.44
"Galax urceolata",-82.69,35.27
"Galax urceolata",-83.29,35.08
"Galax urceolata",-83.16,35.76
"Galax urceolata",-81.42,36.75
"Galax urceolata",-82.61,36.01
"Galax urceolata",-83.19,35.76
"Galax urceolata",-83.81,34.86
"Galax urceolata",-82.6,36.52
"Galax urceolata",-82.78,35.06
"Galax urceolata",-82.62,35.21
"Galax urceolata",-83.5,35.08
"Galax urceolata",-82.35,35.55
"Galax urceolata",-82.49,35.62
"Galax urceolata",-82.45,35.67
"Galax urceolata",-82.34,35.75
"Galax urceolata",-84.22,34.58
"Galax urceolata",-84.33,36.84
"Galax urceolata",-81.7,36.15
"Galax urceolata",-81.78,36.12
"Galax urceolata",-83.17,35.08
"Galax urceolata",-80.59,37.37
"Galax urceolata",-83.57,35.25
"Galax urceolata",-82.13,35.89
"Galax urceolata",-82.87,35.32
"Galax urceolata",-83.46,35.66
"Galax urceolata",-81.73,36.18
"Galax urceolata",-80.33,37.34
"Galax urceolata",-80.11,36.8
"Galax urceolata",-80.96,36.43
"Galax urceolata",-76.17,36.89
"Galax urceolata",-82.59,36.06
"Galax urceolata",-84.7,32.86
"Galax urceolata",-82.28,36.27
"Galax urceolata",-81.82,35.98
"Galax urceolata",-79.89,37.34
"Galax urceolata",-82.87,35.33
"Galax urceolata",-80.46,37.25
"Galax urceolata",-83.31,34.97
"Galax urceolata",-83.86,35.6
"Galax urceolata",-84.08,35.15
"Galax urceolata",-83.15,35.08
"Galax urceolata",-82.49,35.46
"Galax urceolata",-84.46,35.06
"Galax urceolata",-81.86,36.05
"Galax urceolata",-84.29,34.45
"Galax urceolata",-82.52,35.85
"Galax urceolata",-80.48,37.45
"Galax urceolata",-83.42,34.53
"Galax urceolata",-81.84,35.83
"Galax urceolata",-83.21,35.08
"Galax urceolata",-83.58,35.27
"Galax urceolata",-82.86,34.73
"Galax urceolata",-83.53,35.09
"Galax urceolata",-83.84,35.48
"Galax urceolata",-81.92,35.95
"Galax urceolata",-80.91,36.55
"Galax urceolata",-84.71,34.76
"Galax urceolata",-82.26,35.77
"Galax urceolata",-77.69,38.88
"Galax urceolata",-81,36
"Galax urceolata",-81.54,36.84
"Galax urceolata",-82.31,35.64
"Galax urceolata",-82.3,35.64
"Galax urceolata",-83.6,35.41
"Galax urceolata",-83,35.11
"Galax urceolata",-82.56,35.12
"Galax urceolata",-81.95,36.86
"Galax urceolata",-82.54,35.62
"Galax urceolata",-80.55,37.43
"Galax urceolata",-82.03,36.39
"Galax urceolata",-82.01,36.16
"Galax urceolata",-81.77,36.66
"Galax urceolata",-83.72,35.47
"Galax urceolata",-80.58,37.41
"Galax urceolata",-82.75,35.41
"Galax urceolata",-82.26,35.62
"Galax urceolata",-83.84,34.72
"Galax urceolata",-83.21,35.34
"Galax urceolata",-82.77,35.36
"Galax urceolata",-82.73,35.03
"Galax urceolata",-79.94,37.23
"Galax urceolata",-85.69,34.29
"Galax urceolata",-82.79,35.3
"Galax urceolata",-82.77,35.43
"Galax urceolata",-83.32,34.79
"Galax urceolata",-82.4,35.6
"Galax urceolata",-84.59,34.7
"Galax urceolata",-82.59,36.98
"Galax urceolata",-83.99,35.37
"Galax urceolata",-83.79,34.7
"Galax urceolata",-83.94,34.76
"Galax urceolata",-82.87,35.38
"Galax urceolata",-82.75,36.83
"Galax urceolata",-81.89,36.05
"Galax urceolata",-81.42,35.66
"Galax urceolata",-80.86,36.56
"Galax urceolata",-82.25,35.6
"Galax urceolata",-82.38,35.7
"Galax urceolata",-80.84,36.47
"Galax urceolata",-85.16,34.71
"Galax urceolata",-84.75,34.18
"Galax urceolata",-82.91,35.29
"Galax urceolata",-83.33,35.57
"Galax urceolata",-79.86,37.4
"Galax urceolata",-81.82,36.12
"Galax urceolata",-83.27,35.77
"Galax urceolata",-82.56,36.05
"Galax urceolata",-82.69,35.54
"Galax urceolata",-82.45,35.29
"Galax urceolata",-76.1,36.88
"Galax urceolata",-82.29,35.67
"Galax urceolata",-81.98,36.2
"Galax urceolata",-83,35.17
"Galax urceolata",-82.94,35.31
"Galax urceolata",-82.18,35.63
"Galax urceolata",-82.78,35.07
"Galax urceolata",-81.82,36.09
"Galax urceolata",-82.28,35.7
"Galax urceolata",-82.34,35.47
"Galax urceolata",-83.64,35.68
"Galax urceolata",-81.8,36.1
"Galax urceolata",-81.15,37.78
"Galax urceolata",-81.08,38.06
"Galax urceolata",-81.81,36.15
"Galax urceolata",-81.89,35.89
"Galax urceolata",-83.38,33.9
"Galax urceolata",-80.54,33.8
"Galax urceolata",-84.68,34.31
"Galax urceolata",-82.32,35.87
"Galax urceolata",-83.92,34.77
"Galax urceolata",-81.66,36.18
"Galax urceolata",-80.74,36.57
"Galax urceolata",-83.29,34.8
"Galax urceolata",-83.09,35.05
"Galax urceolata",-81.81,36.09
"Galax urceolata",-83.25,35.78
"Galax urceolata",-78.76,35.73
"Galax urceolata",-80.69,36.64
"Galax urceolata",-83.08,35.08
"Galax urceolata",-82.81,35.36
"Galax urceolata",-83.93,34.74
"Galax urceolata",-82.55,35.51
"Galax urceolata",-82.22,35.64
"Galax urceolata",-80.09,37.23
"Galax urceolata",-81.88,35.92
"Galax urceolata",-84.13,34.57
"Galax urceolata",-84.21,34.59
"Galax urceolata",-81.53,36.88
"Galax urceolata",-83.63,35.65
"Galax urceolata",-83.4,35.67
"Galax urceolata",-82.1,36.17
"Galax urceolata",-83.97,34.56
"Galax urceolata",-79.96,37.39
"Galax urceolata",-82.19,35.79
"Galax urceolata",-82.31,35.81
"Galax urceolata",-83.15,36.95
"Galax urceolata",-82.63,35.11
"Galax urceolata",-76.16,36.89
"Galax urceolata",-84.3,34.78
"Galax urceolata",-84.41,34.86
"Galax urceolata",-84.42,34.85
"Galax urceolata",-83.86,35.1
"Galax urceolata",-83.28,35.32
"Galax urceolata",-83.91,34.76
"Galax urceolata",-82.61,35.2
"Galax urceolata",-82.32,35.65
"Galax urceolata",-83.4,35.69
"Galax urceolata",-82.79,35.28
"Galax urceolata",-81.89,35.9
"Galax urceolata",-83.31,35.58
"Galax urceolata",-83.31,35.51
"Galax urceolata",-82.77,37.08
"Galax urceolata",-83.52,35.65
"Galax urceolata",-86.35,32.98
"Galax urceolata",-83.24,35.62
"Galax urceolata",-83.64,35.66
"Galax urceolata",-83.35,35.7
"Galax urceolata",-81.27,35.88
"Galax urceolata",-82.71,35.27
"Galax urceolata",-83.93,34.73
"Galax urceolata",-83.27,35.76
"Galax urceolata",-79,35.98
"Galax urceolata",-82.29,35.65
"Galax urceolata",-83.23,34.89
"Galax urceolata",-84.3,36.86
"Galax urceolata",-81.07,36.4
"Galax urceolata",-84.3,34.81
"Galax urceolata",-83.8,35.62
"Galax urceolata",-82.86,35.27
"Galax urceolata",-82.86,35.28
"Galax urceolata",-81.22,37.37
"Galax urceolata",-82.04,35.73
"Galax urceolata",-82.13,36.27
"Galax urceolata",-82.66,36.11
"Galax urceolata",-83.23,34.88
"Galax urceolata",-83.13,34.8
"Galax urceolata",-83.07,35.07
"Galax urceolata",-79.42,37.62
"Galax urceolata",-82.15,36.28
"Galax urceolata",-81.93,35.93
"Galax urceolata",-84.29,34.46
"Galax urceolata",-82.43,35.71
"Galax urceolata",-83.34,35.7
"Galax urceolata",-82.39,34.95
"Galax urceolata",-82.45,36.86
"Galax urceolata",-85.81,33.49
"Galax urceolata",-81.23,37.77
"Galax urceolata",-82.43,35.52
"Galax urceolata",-82.19,35.86
"Galax urceolata",-84.29,36.95
"Galax urceolata",-82.62,35.19
"Galax urceolata",-81.53,36.16
"Galax urceolata",-82.63,35.47
"Galax urceolata",-82.57,36.05
"Galax urceolata",-80.4,37.3
"Galax urceolata",-82.69,35.25
"Galax urceolata",-83.1,35.12
"Galax urceolata",-82.67,35.45
"Galax urceolata",-82.15,35.82
"Galax urceolata",-82.7,36.03
"Galax urceolata",-83.04,35.79
"Galax urceolata",-81.97,35.9
"Galax urceolata",-83.3,34.98
"Galax urceolata",-84.3,34.86
"Galax urceolata",-84.43,34.73
"Galax urceolata",-83.15,34.68
"Galax urceolata",-83.67,35.71
"Galax urceolata",-82.54,35.29
"Galax urceolata",-84.16,34.01
"Galax urceolata",-83.2,35.05
"Galax urceolata",-83.65,35.3
"Galax urceolata",-82.67,35.35
"Galax urceolata",-83.54,35.65
"Galax urceolata",-83.47,35.67
"Galax urceolata",-83.58,35.3
"Galax urceolata",-80.71,36.6
"Galax urceolata",-80.27,36.42
"Galax urceolata",-82.57,35.61
"Galax urceolata",-83.91,35.4
"Galax urceolata",-81.85,35.82
"Galax urceolata",-81.89,35.91
"Galax urceolata",-85.82,33.48
"Galax urceolata",-81.88,35.91
"Galax urceolata",-83.6,35.07
"Galax urceolata",-84.27,34.81
"Galax urceolata",-82.1,36.84
"Galax urceolata",-83.17,35.63
"Galax urceolata",-80.09,36.76
"Galax urceolata",-83.58,35.28
"Galax urceolata",-82.85,35.59
"Galax urceolata",-80.51,37.37
"Galax urceolata",-83.07,35.67
"Galax urceolata",-83.48,35.67
"Galax urceolata",-83.3,34.82
"Galax urceolata",-83.62,35.09
"Galax urceolata",-82.41,35.76
"Galax urceolata",-82.4,35.71
"Galax urceolata",-82.13,36.18
"Galax urceolata",-80.96,36.48
"Galax urceolata",-83.47,35.56
"Galax urceolata",-80.1,36.8
"Galax urceolata",-80.56,37.43
"Galax urceolata",-80.18,34.55
"Galax urceolata",-82.49,35.59
"Galax urceolata",-83.03,35.66
"Galax urceolata",-82.2,35.77
"Galax urceolata",-81.72,36.22
"Galax urceolata",-81.84,36
"Galax urceolata",-81.98,36.87
"Galax urceolata",-81.86,36.08
"Galax urceolata",-81.72,36.12
"Galax urceolata",-83.13,35.02
"Galax urceolata",-84.24,34.57
"Galax urceolata",-83.98,34.7
"Galax urceolata",-83.81,34.72
"Galax urceolata",-81.93,35.94
"Galax urceolata",-83.96,34.74
"Galax urceolata",-80.28,36.38
"Galax urceolata",-82.83,35.32
"Galax urceolata",-78.21,35.73
"Galax urceolata",-82.76,35.42
"Galax urceolata",-83.04,35.12
"Galax urceolata",-80.52,37.37
"Galax urceolata",-82.28,35.64
"Galax urceolata",-84.32,34.48
"Galax urceolata",-80.16,37.37
"Galax urceolata",-83.12,34.97
"Galax urceolata",-81.91,35.9
"Galax urceolata",-82.64,35.17
"Galax urceolata",-82.64,35.47
"Galax urceolata",-82.26,35.21
"Galax urceolata",-82.34,35.49
"Galax urceolata",-83.46,35.03
"Galax urceolata",-83.87,35.6
"Galax urceolata",-82.64,35.43
"Galax urceolata",-83.69,35.64
"Galax urceolata",-83.13,34.79
"Galax urceolata",-82.97,35.4
"Galax urceolata",-81.73,36.17
"Galax urceolata",-82.8,35.31
"Galax urceolata",-83.4,34.75
"Galax urceolata",-83.77,34.69
"Galax urceolata",-82.86,35.32
"Galax urceolata",-82.61,36.51
"Galax urceolata",-83,35.02
"Galax urceolata",-80.49,37.19
"Galax urceolata",-83.02,35.03
"Galax urceolata",-82.82,35.89
"Galax urceolata",-83.62,35.08
"Galax urceolata",-82.28,35.71
"Galax urceolata",-82.28,35.78
"Galax urceolata",-82.05,35.69
"Galax urceolata",-82.96,35.09
"Galax urceolata",-81.09,37.78
"Galax urceolata",-82.66,35.34
"Galax urceolata",-82.28,35.67
"Galax urceolata",-82.1,36.16
"Galax urceolata",-82.34,35.48
"Galax urceolata",-83.97,35.39
"Galax urceolata",-82.25,35.54
"Galax urceolata",-84.95,33.89
"Galax urceolata",-83.35,35.17
"Galax urceolata",-83.58,35.66
"Galax urceolata",-84.46,35.07
"Galax urceolata",-82.3,35.66
"Galax urceolata",-81.94,35.94
"Galax urceolata",-82.73,35.27
"Galax urceolata",-83.93,35.36
"Galax urceolata",-81.67,35.57
"Galax urceolata",-81.47,36.41
"Galax urceolata",-81.91,35.91
"Galax urceolata",-83.45,34.91
"Galax urceolata",-83.96,34.88
"Galax urceolata",-84.15,34.24
"Galax urceolata",-82.43,35.35
"Galax urceolata",-79.01,36.04
"Galax urceolata",-84.33,36.85
"Galax urceolata",-81.8,36.63
"Galax urceolata",-83.44,35.64
"Galax urceolata",-81.93,35.95
"Galax urceolata",-81.66,36.11
"Galax urceolata",-84.25,34.57
"Galax urceolata",-79.4,37.6
"Galax urceolata",-81.85,36.76
"Galax urceolata",-82.31,35.65
"Galax urceolata",-81.51,36.88
"Galax urceolata",-79.9,37.71
"Galax urceolata",-82.64,35.08
"Galax urceolata",-84.66,34.82
"Galax urceolata",-83.92,35.64
"Galax urceolata",-82.94,35.84
"Galax urceolata",-80.49,37.27
"Galax urceolata",-83.84,36.6
"Galax urceolata",-84.71,34.78
"Galax urceolata",-84.65,34.89
"Galax urceolata",-83.28,35.53
"Galax urceolata",-84.18,35.32
"Galax urceolata",-81.14,37.78
"Galax urceolata",-83.72,34.73
"Galax urceolata",-85.27,34.45
"Galax urceolata",-83.78,34.82
"Galax urceolata",-81.18,35.82
"Galax urceolata",-83.46,35.75
"Galax urceolata",-85.63,34.37
"Galax urceolata",-83.49,35.68
"Galax urceolata",-79.11,36.08
"Galax urceolata",-83.92,34.74
"Galax urceolata",-83.85,35.59
"Galax urceolata",-83.73,35.65
"Galax urceolata",-83.72,35.67
"Galax urceolata",-80.47,37.28
"Galax urceolata",-83.7,35.63
"Galax urceolata",-84.69,34.89
"Galax urceolata",-85.61,34.51
"Galax urceolata",-83.53,35.66
"Galax urceolata",-85.63,34.38
"Galax urceolata",-83.18,35.74
"Galax urceolata",-83.38,35.73
"Galax urceolata",-85.67,34.33
"Galax urceolata",-82.73,35.16
"Galax urceolata",-83.55,35.65
"Galax urceolata",-83.21,35.77
"Galax urceolata",-84.22,34.6
"Galax urceolata",-84.14,34.24
"Galax urceolata",-83.66,35.67
"Galax urceolata",-83.77,35.6
"Galax urceolata",-83.37,35.61
"Galax urceolata",-83.36,35.59
"Galax urceolata",-83.74,36.73
"Galax urceolata",-82.31,35.66
"Galax urceolata",-83.94,34.74
"Galax urceolata",-83.21,35.76
"Galax urceolata",-82.74,35.4
"Galax urceolata",-83.68,34.73
"Galax urceolata",-82.31,35.59
"Galax urceolata",-82.31,35.58
"Galax urceolata",-82.69,35.14
"Galax urceolata",-81.73,36.21
"Galax urceolata",-82.77,35.37
"Galax urceolata",-82.19,35.82
"Galax urceolata",-81.84,36.09
"Galax urceolata",-82.64,36.4
"Galax urceolata",-82.77,35.31
"Galax urceolata",-82.12,36.27
"Galax urceolata",-83.06,35.62
"Galax urceolata",-82.29,35.66
"Galax urceolata",-83.3,34.97
"Galax urceolata",-83.08,35.61
"Galax urceolata",-83.1,35.6
"Galax urceolata",-83.16,35.2
"Galax urceolata",-83.47,35.68
"Galax urceolata",-79.01,35.98
"Galax urceolata",-84.1,35.4
"Galax urceolata",-82.88,35.34
"Galax urceolata",-82.79,35.31
"Galax urceolata",-83.51,35.08
"Galax urceolata",-80.29,36.4
"Galax urceolata",-83.54,35.69
"Galax urceolata",-82.51,35.24
"Galax urceolata",-80.29,37.43
"Galax urceolata",-82.62,35.2
"Galax urceolata",-83.34,34.89
"Galax urceolata",-82.48,35.52
"Galax urceolata",-82.52,35.24
"Galax urceolata",-83.91,34.64
"Galax urceolata",-83.14,35.76
"Galax urceolata",-83.15,35.76
"Galax urceolata",-84.65,34.86
"Galax urceolata",-79.21,35.63
"Galax urceolata",-83.74,36.74
"Galax urceolata",-83.74,35.6
"Galax urceolata",-83.71,35.62
"Galax urceolata",-83.45,35.47
"Galax urceolata",-82.25,35.82
"Galax urceolata",-82.3,35.65
"Galax urceolata",-82.95,35.09
"Galax urceolata",-82.84,35.36
"Galax urceolata",-81.2,33.83
"Galax urceolata",-78.91,35.47
"Galax urceolata",-83.05,35.63
"Galax urceolata",-83.71,35.66
"Galax urceolata",-83.43,35.47
"Galax urceolata",-78.78,35.72
"Galax urceolata",-83.63,35.68
"Galax urceolata",-83.64,35.67
"Galax urceolata",-82.99,36.97
"Galax urceolata",-82.6,35.17
"Galax urceolata",-83.42,34.7
"Galax urceolata",-85.61,34.5
"Galax urceolata",-82.29,35.64
"Galax urceolata",-80.9,37.19
"Galax urceolata",-83.03,35.17
"Galax urceolata",-83.17,35.54
"Galax urceolata",-82.61,35.5
"Galax urceolata",-85.63,34.5
"Galax urceolata",-82.34,36.12
"Galax urceolata",-83.73,35.63
"Galax urceolata",-83.67,35.61
"Galax urceolata",-81.8,36.14
