variable,x,y
bio_7,24.9,0.0
bio_7,24.926399999999997,0.0
bio_7,24.9528,0.0
bio_7,24.9792,0.0
bio_7,25.005599999999998,0.0
bio_7,25.032,0.0
bio_7,25.0584,0.0
bio_7,25.084799999999998,0.0
bio_7,25.1112,0.0
bio_7,25.1376,0.0
bio_7,25.163999999999998,0.0
bio_7,25.1904,0.0
bio_7,25.2168,0.0
bio_7,25.243199999999998,0.0
bio_7,25.269599999999997,0.0
bio_7,25.296,0.0
bio_7,25.3224,0.0
bio_7,25.348799999999997,0.0
bio_7,25.3752,0.0
bio_7,25.4016,0.0
bio_7,25.427999999999997,0.0
bio_7,25.4544,0.0
bio_7,25.4808,0.0
bio_7,25.507199999999997,0.0
bio_7,25.5336,0.0
bio_7,25.56,0.0
bio_7,25.586399999999998,0.0
bio_7,25.6128,0.0
bio_7,25.6392,0.0
bio_7,25.665599999999998,0.0
bio_7,25.692,0.0
bio_7,25.7184,0.0
bio_7,25.744799999999998,0.0
bio_7,25.7712,0.0
bio_7,25.7976,0.0
bio_7,25.823999999999998,0.0
bio_7,25.8504,0.0
bio_7,25.8768,0.0
bio_7,25.9032,0.0
bio_7,25.929599999999997,0.0
bio_7,25.956,0.0
bio_7,25.9824,0.0
bio_7,26.008799999999997,-0.004264354705810547
bio_7,26.0352,-0.017061948776245117
bio_7,26.0616,-0.029868602752685547
bio_7,26.087999999999997,-0.04268383979797363
bio_7,26.1144,-0.05550885200500488
bio_7,26.1408,-0.06834173202514648
bio_7,26.167199999999998,-0.08118343353271484
bio_7,26.1936,-0.09403395652770996
bio_7,26.22,-0.10689306259155273
bio_7,26.246399999999998,-0.11976194381713867
bio_7,26.2728,-0.13263869285583496
bio_7,26.2992,-0.145524263381958
bio_7,26.325599999999998,-0.1584186553955078
bio_7,26.352,-0.17132163047790527
bio_7,26.3784,-0.184234619140625
bio_7,26.404799999999998,-0.19715523719787598
bio_7,26.4312,-0.2100846767425537
bio_7,26.4576,-0.2230229377746582
bio_7,26.483999999999998,-0.23596978187561035
bio_7,26.510399999999997,-0.24892640113830566
bio_7,26.5368,-0.26189112663269043
bio_7,26.5632,-0.27486443519592285
bio_7,26.589599999999997,-0.2878464460372925
bio_7,26.616,-0.3008373975753784
bio_7,26.6424,-0.3138378858566284
bio_7,26.668799999999997,-0.3268463611602783
bio_7,26.6952,-0.33986353874206543
bio_7,26.7216,-0.3528895378112793
bio_7,26.747999999999998,-0.3659243583679199
bio_7,26.7744,-0.37896883487701416
bio_7,26.8008,-0.3920210599899292
bio_7,26.827199999999998,-0.40508222579956055
bio_7,26.8536,-0.4181520938873291
bio_7,26.88,-0.43123066425323486
bio_7,26.906399999999998,-0.44431912899017334
bio_7,26.9328,-0.4574153423309326
bio_7,26.9592,-0.4705202579498291
bio_7,26.985599999999998,-0.48363399505615234
bio_7,27.012,-0.49675655364990234
bio_7,27.0384,-0.5098888874053955
bio_7,27.064799999999998,-0.5230289697647095
bio_7,27.0912,-0.5361777544021606
bio_7,27.1176,-0.5493354797363281
bio_7,27.144,-0.5625019073486328
bio_7,27.1704,-0.5756779909133911
bio_7,27.1968,-0.5888619422912598
bio_7,27.2232,-0.6020547151565552
bio_7,27.2496,-0.6152563095092773
bio_7,27.276,-0.6284666061401367
bio_7,27.3024,-0.6416866779327393
bio_7,27.3288,-0.6549144983291626
bio_7,27.3552,-0.6681511402130127
bio_7,27.3816,-0.6813966035842896
bio_7,27.407999999999998,-0.69465172290802
bio_7,27.4344,-0.7079147100448608
bio_7,27.4608,-0.7211863994598389
bio_7,27.487199999999998,-0.7344670295715332
bio_7,27.5136,-0.7477562427520752
bio_7,27.54,-0.7610553503036499
bio_7,27.566399999999998,-0.7743622064590454
bio_7,27.5928,-0.7876778841018677
bio_7,27.6192,-0.8010022640228271
bio_7,27.645599999999998,-0.8143354654312134
bio_7,27.671999999999997,-0.8276784420013428
bio_7,27.6984,-0.841029167175293
bio_7,27.7248,-0.8543887138366699
bio_7,27.7512,-0.8677569627761841
bio_7,27.7776,-0.881134033203125
bio_7,27.804,-0.8945208787918091
bio_7,27.830399999999997,-0.9079155921936035
bio_7,27.8568,-0.9213190078735352
bio_7,27.8832,-0.934731125831604
bio_7,27.909599999999998,-0.9481520652770996
bio_7,27.936,-0.9615828990936279
bio_7,27.9624,-0.9750213623046875
bio_7,27.988799999999998,-0.9884686470031738
bio_7,28.0152,-1.001924753189087
bio_7,28.0416,-1.0153895616531372
bio_7,28.067999999999998,-1.029531478881836
bio_7,28.0944,-1.0439924001693726
bio_7,28.1208,-1.0584620237350464
bio_7,28.147199999999998,-1.0729405879974365
bio_7,28.1736,-1.0874278545379639
bio_7,28.2,-1.1019248962402344
bio_7,28.226399999999998,-1.1164296865463257
bio_7,28.2528,-1.1309432983398438
