variable,x,y
elev,-187.1,0.0
elev,-182.84959999999998,0.0
elev,-178.5992,0.0
elev,-174.34879999999998,0.0
elev,-170.0984,0.0
elev,-165.84799999999998,0.0
elev,-161.5976,0.0
elev,-157.3472,0.0
elev,-153.0968,0.0
elev,-148.8464,0.0
elev,-144.596,0.0
elev,-140.3456,0.0
elev,-136.0952,0.0
elev,-131.8448,0.0
elev,-127.59440000000001,0.0
elev,-123.344,0.0
elev,-119.0936,0.0
elev,-114.84320000000001,0.0
elev,-110.5928,0.0
elev,-106.3424,0.0
elev,-102.092,0.0
elev,-97.8416,0.0
elev,-93.5912,0.0
elev,-89.3408,0.0
elev,-85.0904,0.0
elev,-80.84,0.0
elev,-76.5896,0.0
elev,-72.3392,0.0
elev,-68.0888,0.0
elev,-63.83840000000001,0.0
elev,-59.58800000000001,0.0
elev,-55.33760000000001,0.0
elev,-51.087199999999996,0.0
elev,-46.83680000000001,0.0
elev,-42.586400000000026,0.0
elev,-38.335999999999984,0.0
elev,-34.0856,0.0
elev,-29.835200000000015,0.0
elev,-25.5848,0.0
elev,-21.334400000000016,0.0
elev,-17.084000000000003,0.0
elev,-12.83359999999999,0.0
elev,-8.583200000000005,-0.010047435760498047
elev,-4.33280000000002,-0.04015970230102539
elev,-0.08240000000000691,-0.07022809982299805
elev,4.167999999999978,-0.10025310516357422
elev,8.418399999999991,-0.1302351951599121
elev,12.668800000000005,-0.1601734161376953
elev,16.91919999999999,-0.19006776809692383
elev,21.169599999999974,-0.21991920471191406
elev,25.419999999999987,-0.2497267723083496
elev,29.6704,-0.27949094772338867
elev,33.920799999999986,-0.30921125411987305
elev,38.1712,-0.33888864517211914
elev,42.421599999999984,-0.36852216720581055
elev,46.67199999999997,-0.3715691566467285
elev,50.92239999999998,-0.35207366943359375
elev,55.172799999999995,-0.3325347900390625
elev,59.42319999999998,-0.31295251846313477
elev,63.67359999999999,-0.29332637786865234
elev,67.92399999999998,-0.27365684509277344
elev,72.17439999999996,-0.25394392013549805
elev,76.42479999999998,-0.23418760299682617
elev,80.67519999999993,-0.2143874168395996
elev,84.9256,-0.19454383850097656
elev,89.17600000000002,-0.17465686798095703
elev,93.42639999999997,-0.15472650527954102
elev,97.67679999999999,-0.1347522735595703
elev,101.92719999999994,-0.11473512649536133
elev,106.17759999999996,-0.09467411041259766
elev,110.42800000000003,-0.0745692253112793
elev,114.67839999999998,-0.054421424865722656
elev,118.9288,-0.03422975540161133
elev,123.17919999999995,-0.013994693756103516
elev,127.42959999999997,0.006283760070800781
elev,131.67999999999998,0.026606082916259766
elev,135.9304,0.04697132110595703
elev,140.1808,0.06738042831420898
elev,144.43119999999996,0.08783340454101562
elev,148.68159999999997,0.10832929611206055
elev,152.932,0.12886905670166016
elev,157.18239999999994,0.14945220947265625
elev,161.43280000000001,0.17007875442504883
elev,165.68319999999997,0.1907486915588379
elev,169.93359999999998,0.21146249771118164
elev,174.18399999999994,0.23221969604492188
elev,178.43439999999995,0.2530202865600586
elev,182.68479999999997,0.2738642692565918
elev,186.93519999999998,0.2947521209716797
elev,191.1856,0.31568336486816406
elev,195.43599999999995,0.3366580009460449
elev,199.68639999999996,0.35767602920532227
elev,203.93679999999998,0.3787379264831543
elev,208.18719999999993,0.3998427391052246
elev,212.4376,0.4209918975830078
elev,216.68799999999996,0.4421839714050293
elev,220.93839999999997,0.46341943740844727
elev,225.1888,0.4846987724304199
elev,229.43919999999994,0.5060214996337891
elev,233.68959999999996,0.5273876190185547
elev,237.93999999999997,0.548797607421875
elev,242.19039999999998,0.5702505111694336
elev,246.4408,0.5917472839355469
elev,250.69119999999995,0.6132879257202148
elev,254.94159999999997,0.6348714828491211
elev,259.1919999999999,0.656498908996582
elev,263.4424,0.6781697273254395
elev,267.69280000000003,0.6998839378356934
elev,271.94319999999993,0.7216415405273438
elev,276.19359999999995,0.7434430122375488
elev,280.44399999999996,0.7652878761291504
elev,284.6944,0.7871761322021484
elev,288.9448,0.809107780456543
elev,293.1952,0.8310832977294922
elev,297.4456,0.8531022071838379
elev,301.6959999999999,0.8751645088195801
elev,305.9463999999999,0.8972702026367188
elev,310.19679999999994,0.9194197654724121
elev,314.44719999999995,0.941612720489502
elev,318.69759999999997,0.9638490676879883
elev,322.948,0.9811091423034668
elev,327.1984,0.9853277206420898
elev,331.4487999999999,0.9886989593505859
elev,335.6991999999999,0.9921131134033203
elev,339.9495999999999,0.9955711364746094
elev,344.19999999999993,0.9990725517272949
elev,348.45039999999983,1.0026178359985352
elev,352.70079999999996,1.0062060356140137
elev,356.9512,1.0098381042480469
elev,361.2016,1.0135135650634766
elev,365.452,1.0172326564788818
elev,369.7023999999999,1.0209951400756836
elev,373.9527999999999,1.0248010158538818
elev,378.2031999999999,1.0286505222320557
elev,382.45359999999994,1.032543659210205
elev,386.70399999999995,1.0364799499511719
elev,390.95439999999985,1.0404601097106934
elev,395.20479999999986,1.0444836616516113
elev,399.4551999999999,1.0485506057739258
elev,403.7056,1.0526611804962158
elev,407.956,1.0568151473999023
elev,412.2063999999999,1.0610127449035645
elev,416.45679999999993,1.065253734588623
elev,420.70719999999994,1.0695383548736572
elev,424.95759999999996,1.073866605758667
elev,429.20799999999997,1.0782380104064941
elev,433.45839999999987,1.082653284072876
elev,437.7087999999999,1.0871117115020752
elev,441.9591999999999,1.09161376953125
elev,446.2095999999999,1.0961594581604004
elev,450.4599999999999,1.1007485389709473
elev,454.71039999999994,1.1053812503814697
elev,458.96079999999995,1.1100573539733887
elev,463.21119999999996,1.1147770881652832
elev,467.4616,1.1195402145385742
elev,471.712,1.1243467330932617
elev,475.9623999999999,1.1291968822479248
elev,480.2127999999999,1.1340906620025635
elev,484.4631999999999,1.1390278339385986
elev,488.71359999999993,1.1440083980560303
elev,492.96399999999994,1.1490325927734375
elev,497.21439999999984,1.1541001796722412
elev,501.46479999999985,1.1592116355895996
elev,505.7152,1.1643662452697754
elev,509.9656,1.1695644855499268
elev,514.2159999999999,1.1748061180114746
elev,518.4663999999999,1.180091381072998
elev,522.7167999999999,1.185420036315918
elev,526.9671999999999,1.1907923221588135
elev,531.2176,1.1962080001831055
elev,535.4679999999998,1.201667308807373
elev,539.7183999999999,1.207170009613037
elev,543.9687999999999,1.2127163410186768
elev,548.2191999999999,1.218306064605713
elev,552.4695999999999,1.2239394187927246
elev,556.7199999999999,1.2296161651611328
elev,560.9703999999999,1.2353365421295166
elev,565.2207999999999,1.2411003112792969
elev,569.4712,1.2469074726104736
elev,573.7216,1.252758502960205
elev,577.9719999999999,1.258652687072754
elev,582.2223999999999,1.2645905017852783
elev,586.4727999999999,1.2705717086791992
elev,590.7231999999999,1.2765967845916748
elev,594.9735999999999,1.2826650142669678
elev,599.2239999999998,1.2887768745422363
elev,603.4743999999998,1.2949323654174805
elev,607.7248,1.301131010055542
elev,611.9752,1.3073735237121582
elev,616.2256,1.313659429550171
elev,620.4759999999999,1.31998872756958
elev,624.7263999999999,1.3263616561889648
elev,628.9767999999999,1.332777976989746
elev,633.2271999999999,1.339237928390503
elev,637.4775999999999,1.3457412719726562
elev,641.7279999999998,1.3522882461547852
elev,645.9783999999999,1.3588786125183105
elev,650.2287999999999,1.3655126094818115
elev,654.4791999999999,1.372189998626709
elev,658.7296,1.378911018371582
elev,662.9799999999999,1.3856754302978516
elev,667.2303999999999,1.3924834728240967
elev,671.4807999999999,1.3993349075317383
elev,675.7312,1.4062299728393555
elev,679.9816,1.4131684303283691
elev,684.2319999999999,1.4201502799987793
elev,688.4823999999999,1.427175760269165
elev,692.7327999999999,1.4342448711395264
elev,696.9831999999999,1.4413573741912842
elev,701.2335999999999,1.4485132694244385
elev,705.4839999999998,1.4557127952575684
elev,709.7343999999999,1.4629559516906738
elev,713.9848,1.4702425003051758
elev,718.2352,1.4775724411010742
elev,722.4856,1.4849460124969482
elev,726.7359999999999,1.4923629760742188
elev,730.9863999999999,1.4998235702514648
elev,735.2367999999999,1.5073277950286865
elev,739.4871999999999,1.5148751735687256
elev,743.7375999999999,1.5224664211273193
elev,747.9879999999998,1.5301008224487305
elev,752.2383999999998,1.5377790927886963
elev,756.4887999999999,1.5455005168914795
elev,760.7392,1.5532658100128174
elev,764.9895999999999,1.5610742568969727
elev,769.2399999999999,1.5689263343811035
elev,773.4903999999999,1.57682204246521
elev,777.7407999999999,1.584761142730713
elev,781.9911999999999,1.5927438735961914
elev,786.2415999999998,1.6007699966430664
elev,790.4919999999998,1.608839750289917
elev,794.7423999999999,1.616952657699585
elev,798.9927999999999,1.6251094341278076
elev,803.2431999999999,1.6333096027374268
elev,807.4935999999998,1.6415534019470215
elev,811.7439999999999,1.6498405933380127
elev,815.9943999999999,1.6581711769104004
elev,820.2447999999999,1.6665453910827637
elev,824.4952,1.6749629974365234
elev,828.7455999999999,1.6834242343902588
elev,832.9959999999999,1.6919291019439697
elev,837.2463999999999,1.7004773616790771
elev,841.4968,1.709069013595581
elev,845.7471999999999,1.7177042961120605
elev,849.9975999999998,1.7263829708099365
elev,854.2479999999999,1.735105276107788
elev,858.4983999999998,1.7438709735870361
elev,862.7487999999997,1.7526803016662598
elev,866.9991999999999,1.7615330219268799
elev,871.2495999999998,1.7704293727874756
elev,875.4999999999999,1.7793691158294678
elev,879.7503999999998,1.7883524894714355
elev,884.0007999999997,1.7973792552947998
elev,888.2512,1.8064496517181396
elev,892.5015999999999,1.815563440322876
elev,896.7520000000001,1.8247206211090088
elev,901.0024,1.8339214324951172
elev,905.2527999999999,1.8431658744812012
elev,909.5032,1.8524537086486816
elev,913.7535999999999,1.8617849349975586
elev,918.004,1.8711600303649902
elev,922.2543999999999,1.8805782794952393
elev,926.5047999999998,1.8900401592254639
elev,930.7552,1.899545431137085
elev,935.0055999999998,1.9090943336486816
elev,939.256,1.9186866283416748
elev,943.5063999999999,1.9283227920532227
elev,947.7567999999998,1.938002109527588
elev,952.0071999999999,1.9477250576019287
elev,956.2575999999998,1.957491397857666
elev,960.5079999999999,1.967301368713379
elev,964.7583999999998,1.9771547317504883
elev,969.0087999999997,1.9870517253875732
elev,973.2591999999999,1.9972364902496338
elev,977.5095999999998,2.0088109970092773
elev,981.7599999999999,2.022036075592041
elev,986.0103999999998,2.035304546356201
elev,990.2607999999999,2.048616886138916
elev,994.5112,2.0619723796844482
elev,998.7615999999999,2.075371503829956
elev,1003.0120000000001,2.0888142585754395
elev,1007.2624,2.1023001670837402
elev,1011.5127999999999,2.1158299446105957
elev,1015.7632,2.1294028759002686
elev,1020.0135999999999,2.143019676208496
elev,1024.2640000000001,2.15667986869812
elev,1028.5144,2.1703834533691406
elev,1032.7648,2.1841304302215576
elev,1037.0152,2.1979215145111084
elev,1041.2656,2.2117555141448975
elev,1045.516,2.225633144378662
elev,1049.7664,2.2395541667938232
elev,1054.0167999999999,2.253519296646118
elev,1058.2672,2.2675273418426514
elev,1062.5176,2.28157901763916
elev,1066.768,2.2956740856170654
elev,1071.0184,2.3098130226135254
elev,1075.2687999999998,2.3239951133728027
elev,1079.5192,2.3382208347320557
elev,1083.7695999999999,2.3524904251098633
elev,1088.02,2.366802930831909
elev,1092.2704,2.3811590671539307
elev,1096.5208,2.3955588340759277
elev,1100.7712000000001,2.4100022315979004
elev,1105.0216,2.4244890213012695
elev,1109.2720000000002,2.439019203186035
elev,1113.5224,2.4535932540893555
elev,1117.7728,2.468210458755493
elev,1122.0232,2.4828710556030273
elev,1126.2736,2.497575283050537
elev,1130.5240000000001,2.5123233795166016
elev,1134.7744,2.5271146297454834
elev,1139.0248,2.541949510574341
elev,1143.2752,2.5568275451660156
elev,1147.5256,2.571749687194824
elev,1151.776,2.58671498298645
elev,1156.0264,2.6017236709594727
elev,1160.2767999999999,2.616776466369629
elev,1164.5272,2.6318721771240234
elev,1168.7776,2.6470115184783936
elev,1173.028,2.66219425201416
elev,1177.2784,2.6774208545684814
elev,1181.5287999999998,2.69269061088562
elev,1185.7792,2.7080039978027344
elev,1190.0295999999998,2.723360776901245
elev,1194.2799999999997,2.7387614250183105
elev,1198.5304,2.7542054653167725
elev,1202.7808,2.7696926593780518
elev,1207.0312000000001,2.785223960876465
elev,1211.2816,2.800798177719116
elev,1215.532,2.816416025161743
elev,1219.7824,2.8320775032043457
elev,1224.0328,2.847782611846924
elev,1228.2832,2.8635311126708984
elev,1232.5336,2.8793230056762695
elev,1236.7839999999999,2.8951587677001953
elev,1241.0344,2.9110376834869385
elev,1245.2848,2.926959991455078
elev,1249.5352,2.9429259300231934
elev,1253.7856,2.9589357376098633
elev,1258.0359999999998,2.9749886989593506
elev,1262.2864,2.9910850524902344
elev,1266.5367999999999,3.0072250366210938
elev,1270.7872,3.0234087705612183
elev,1275.0375999999999,3.0396357774734497
elev,1279.2879999999998,3.0559061765670776
elev,1283.5384,3.07222056388855
elev,1287.7887999999998,3.08857798576355
elev,1292.0392,3.104978919029236
elev,1296.2896,3.121423363685608
elev,1300.54,3.137911796569824
elev,1304.7904,3.1544432640075684
elev,1309.0408,3.1710182428359985
elev,1313.2912000000001,3.187637209892273
elev,1317.5416,3.204299211502075
elev,1321.792,3.2210047245025635
elev,1326.0424,3.2377536296844482
elev,1330.2928,3.254546642303467
elev,1334.5432,3.271382689476013
elev,1338.7936,3.2882622480392456
elev,1343.0439999999999,3.3051851987838745
elev,1347.2944,3.322152256965637
elev,1351.5448,3.339162230491638
elev,1355.7952,3.3562158346176147
elev,1360.0456,3.373313307762146
elev,1364.2959999999998,3.3904539346694946
elev,1368.5464,3.4076379537582397
elev,1372.7967999999998,3.424865484237671
elev,1377.0472,3.442137122154236
elev,1381.2975999999999,3.459451675415039
elev,1385.5479999999998,3.4768097400665283
elev,1389.7984,3.4942113161087036
elev,1394.0487999999998,3.5116569995880127
elev,1398.2992000000002,3.52914559841156
elev,1402.5496,3.5466777086257935
elev,1406.8,3.564253807067871
elev,1411.0504,3.5818729400634766
elev,1415.3008,3.599535584449768
elev,1419.5512,3.6172417402267456
elev,1423.8016,3.6349918842315674
elev,1428.052,3.6527849435806274
elev,1432.3024,3.670621633529663
elev,1436.5528,3.688502311706543
elev,1440.8032,3.7064260244369507
elev,1445.0536,3.724393129348755
elev,1449.3039999999999,3.7424038648605347
elev,1453.5544,3.7604585886001587
elev,1457.8048,3.778556227684021
elev,1462.0552,3.796697497367859
elev,1466.3056,3.8148821592330933
elev,1470.5559999999998,3.8331109285354614
elev,1474.8064,3.851382613182068
elev,1479.0567999999998,3.8696978092193604
elev,1483.3072,3.8880571126937866
elev,1487.5575999999999,3.906459331512451
elev,1491.8079999999998,3.9249050617218018
elev,1496.0584,3.9433943033218384
elev,1500.3087999999998,3.961927652359009
elev,1504.5592000000001,3.9805039167404175
elev,1508.8096,3.999123692512512
elev,1513.06,4.017787516117096
elev,1517.3104,4.036494255065918
elev,1521.5608,4.055244565010071
elev,1525.8112,4.07403838634491
elev,1530.0616,4.092876195907593
elev,1534.312,4.111757040023804
elev,1538.5624,4.130681335926056
elev,1542.8128,4.149649143218994
elev,1547.0632,4.168661057949066
elev,1551.3136,4.1877158880233765
elev,1555.5639999999999,4.206814229488373
elev,1559.8144,4.225956618785858
elev,1564.0647999999999,4.243767857551575
elev,1568.3152,4.259264290332794
elev,1572.5656,4.2748042345047
elev,1576.8159999999998,4.2903881669044495
elev,1581.0664,4.306015133857727
elev,1585.3167999999998,4.321685552597046
elev,1589.5672,4.337400019168854
elev,1593.8175999999999,4.3531575202941895
elev,1598.0679999999998,4.368958473205566
elev,1602.3184,4.384802997112274
elev,1606.5688,4.400691449642181
elev,1610.8192000000001,4.4166229367256165
elev,1615.0696,4.432597994804382
elev,1619.32,4.4486165046691895
elev,1623.5704,4.464679002761841
elev,1627.8208,4.48078453540802
elev,1632.0712,4.496933579444885
elev,1636.3216,4.513126581907272
elev,1640.572,4.52936264872551
elev,1644.8224,4.545642197132111
elev,1649.0728,4.56196528673172
elev,1653.3232,4.578332334756851
elev,1657.5736,4.59474241733551
elev,1661.8239999999998,4.611195981502533
elev,1666.0744,4.627693086862564
elev,1670.3247999999999,4.644234150648117
elev,1674.5752,4.66081827878952
elev,1678.8256,4.677445888519287
elev,1683.0759999999998,4.694117486476898
elev,1687.3264,4.710832118988037
elev,1691.5767999999998,4.72759023308754
elev,1695.8272,4.744391888380051
