Predictor variable,Categorical,Sample average
bio_14,false,98.09413580246914
bio_15,false,11.785835695966082
bio_18,false,373.0316358024691
bio_3,false,39.22009388662884
bio_7,false,31.956790087841153
bio_8,false,11.963181579576064
bio_9,false,11.417952635223859
elev,false,748.0671296296297
