Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
9.5677E-7,0.000095677,0.003524817,1,0,0
9.77788E-7,0.000193456,0.003601972,0.999900537,0,0
1.03051E-6,0.000296506,0.003795437,0.999801074,0,0
1.2268E-6,0.0005344,0.004515128,0.999602148,0,0
1.58074E-6,0.001132297,0.005810222,0.999204297,0,0
2.01588E-6,0.0025784,0.007397806,0.998408594,0,0
2.22371E-6,0.005132049,0.008154253,0.997215039,0,0
2.55981E-6,0.010141371,0.009375182,0.995126318,0,0.055555556
2.9885E-6,0.025247628,0.010928091,0.989755321,0,0.055555556
3.44154E-6,0.05026853,0.0125639,0.982096678,0,0.055555556
4.0321E-6,0.100281932,0.01468816,0.968768649,0,0.055555556
4.82185E-6,0.200228066,0.017514689,0.946290034,0,0.055555556
5.66938E-6,0.300420863,0.02053003,0.927193157,0,0.055555556
6.40042E-6,0.400423558,0.023116074,0.910682315,0,0.055555556
7.118E-6,0.500323126,0.025641269,0.895961806,0,0.055555556
7.79352E-6,0.600709299,0.028006535,0.882633778,0,0.055555556
8.43256E-6,0.700270823,0.030233555,0.870399841,0,0.055555556
8.83015E-6,0.750397591,0.031613992,0.864630993,0,0.055555556
9.1918E-6,0.800891241,0.032866211,0.85906107,0,0.055555556
1.00379E-5,0.90099636,0.035783257,0.848716929,0.018518519,0.055555556
1.08992E-5,1.000141188,0.03873463,0.839267953,0.018518519,0.055555556
1.17781E-5,1.100735626,0.041728057,0.830415755,0.018518519,0.055555556
1.24984E-5,1.201183177,0.044167273,0.822160334,0.018518519,0.055555556
1.33808E-5,1.300867273,0.047138395,0.814501691,0.018518519,0.055555556
1.42927E-5,1.400305588,0.050189721,0.807340362,0.018518519,0.055555556
1.48855E-5,1.50094128,0.052162602,0.800477422,0.018518519,0.055555556
1.70225E-5,1.751606422,0.059207945,0.784861747,0.018518519,0.055555556
1.87056E-5,2.000193883,0.06468351,0.771036403,0.018518519,0.055555556
2.03964E-5,2.250795608,0.070120223,0.758305152,0.037037037,0.055555556
2.19787E-5,2.500837407,0.075151112,0.74656853,0.037037037,0.055555556
2.34412E-5,2.750939152,0.079753007,0.735627611,0.037037037,0.055555556
2.46309E-5,3.000730234,0.083462943,0.725283469,0.037037037,0.055555556
2.58787E-5,3.250405516,0.087321777,0.715436642,0.037037037,0.055555556
2.71893E-5,3.500068279,0.091340046,0.70608713,0.037037037,0.055555556
2.84083E-5,3.750553958,0.095046146,0.697135468,0.037037037,0.055555556
2.94609E-5,4.002577874,0.09822176,0.688482196,0.037037037,0.055555556
3.03083E-5,4.251010285,0.100762355,0.680226775,0.037037037,0.055555556
3.1119E-5,4.502957562,0.103179582,0.672070818,0.037037037,0.055555556
3.19379E-5,4.751892004,0.105608003,0.664213248,0.037037037,0.055555556
3.26977E-5,5.000754999,0.107849507,0.656554605,0.037037037,0.055555556
3.3307E-5,5.251644941,0.109638704,0.648995425,0.037037037,0.055555556
3.40764E-5,5.500960143,0.111888069,0.64163517,0.037037037,0.055555556
3.48081E-5,5.752344009,0.114016608,0.634374378,0.037037037,0.055555556
3.55131E-5,6.002276165,0.116057833,0.627312512,0.037037037,0.055555556
3.61291E-5,6.252738908,0.117833876,0.620350109,0.037037037,0.055555556
3.66517E-5,6.500404005,0.119335013,0.613586632,0.037037037,0.055555556
3.72672E-5,6.751931219,0.121096374,0.606823155,0.037037037,0.055555556
3.79887E-5,7.00031492,0.123152083,0.600258604,0.074074074,0.055555556
3.85421E-5,7.253036241,0.12472218,0.593694052,0.092592593,0.055555556
3.9152E-5,7.50159657,0.126446392,0.587328426,0.092592593,0.055555556
3.97037E-5,7.753924025,0.128000055,0.580962801,0.092592593,0.111111111
4.0234E-5,8.001519652,0.129488284,0.574796101,0.092592593,0.166666667
4.07266E-5,8.252499422,0.130866211,0.568629401,0.092592593,0.166666667
4.13071E-5,8.502751394,0.132484372,0.562562164,0.111111111,0.166666667
4.16957E-5,8.751762857,0.133564227,0.55659439,0.111111111,0.166666667
4.21469E-5,9.003387399,0.134814702,0.550626616,0.111111111,0.166666667
4.26736E-5,9.253637025,0.136269799,0.544758305,0.111111111,0.166666667
4.32384E-5,9.502909639,0.137824836,0.538989457,0.111111111,0.222222222
4.36206E-5,9.750575869,0.138874019,0.533320072,0.12962963,0.222222222
4.42125E-5,10.000980348,0.140493549,0.527650686,0.12962963,0.222222222
4.46372E-5,10.254186661,0.141652034,0.521981301,0.12962963,0.222222222
4.50752E-5,10.501000171,0.142843417,0.516510841,0.12962963,0.222222222
4.5572E-5,10.750235011,0.144190849,0.511040382,0.12962963,0.222222222
4.5976E-5,11.001996381,0.145283296,0.505569922,0.12962963,0.222222222
4.65846E-5,11.251988832,0.146924104,0.500198926,0.12962963,0.222222222
4.7062E-5,11.500217489,0.148206454,0.494927392,0.12962963,0.222222222
