Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
7.70466E-7,0.000077047,0.003020173,1,0,0
8.5639E-7,0.000162686,0.003355856,0.999900537,0,0
8.92001E-7,0.000337736,0.003494917,0.999701611,0,0
9.95148E-7,0.000532613,0.003897478,0.999502685,0,0
1.09628E-6,0.001052117,0.004291858,0.999005371,0,0
1.79218E-6,0.002529728,0.006997207,0.998010742,0,0
2.24264E-6,0.005006394,0.008740558,0.996817187,0,0
2.60656E-6,0.010157622,0.0101445,0.994728466,0,0
3.19236E-6,0.025124485,0.012396155,0.989655858,0.018518519,0
3.65068E-6,0.050188094,0.014150658,0.982395067,0.018518519,0
4.25384E-6,0.100375154,0.01645014,0.969763278,0.018518519,0
5.04777E-6,0.200021133,0.019460602,0.948478218,0.018518519,0
5.70197E-6,0.300058851,0.021927443,0.929978118,0.018518519,0
6.36494E-6,0.400066809,0.024414705,0.913467277,0.018518519,0
7.13301E-6,0.50041317,0.027280483,0.898647305,0.018518519,0
7.93134E-6,0.600039725,0.03024141,0.885418739,0.018518519,0
8.51561E-6,0.70018664,0.032397009,0.873284265,0.018518519,0
8.90888E-6,0.750588393,0.033842524,0.867515417,0.018518519,0
9.28784E-6,0.800467262,0.03523139,0.862044957,0.018518519,0
1.01234E-5,0.900638873,0.038279398,0.851800278,0.018518519,0
1.09194E-5,1.00036337,0.041165752,0.842351303,0.018518519,0
1.1945E-5,1.100470881,0.044858627,0.833598568,0.018518519,0
1.27984E-5,1.200460139,0.047909977,0.825542073,0.018518519,0.055555556
1.38622E-5,1.300429801,0.051686332,0.818082355,0.018518519,0.055555556
1.45944E-5,1.400058661,0.054268253,0.811119952,0.018518519,0.055555556
1.52916E-5,1.500285364,0.056713707,0.804455938,0.018518519,0.055555556
1.72936E-5,1.751584393,0.063665937,0.789138651,0.018518519,0.111111111
1.8669E-5,2.001386059,0.068383449,0.775313308,0.018518519,0.111111111
2.00538E-5,2.251086108,0.073084879,0.762482594,0.018518519,0.111111111
2.15946E-5,2.501211226,0.078261089,0.750547046,0.018518519,0.111111111
2.27338E-5,2.750190022,0.082050714,0.739407201,0.018518519,0.111111111
2.39287E-5,3.00189177,0.085992675,0.728665208,0.018518519,0.111111111
2.56193E-5,3.251862344,0.091512001,0.718619455,0.018518519,0.111111111
2.70857E-5,3.502419287,0.09624596,0.709170479,0.018518519,0.111111111
2.83049E-5,3.751606262,0.100144188,0.700218818,0.018518519,0.111111111
2.92249E-5,4.002354578,0.103063776,0.691565546,0.018518519,0.111111111
3.03273E-5,4.252213188,0.106537221,0.683210662,0.018518519,0.111111111
3.11839E-5,4.501611995,0.109217966,0.675154167,0.018518519,0.111111111
3.21381E-5,4.751857061,0.112184802,0.667296598,0.018518519,0.111111111
3.31237E-5,5.002846905,0.115229025,0.659637955,0.018518519,0.111111111
3.41726E-5,5.252073007,0.118445674,0.6522777,0.018518519,0.111111111
3.51561E-5,5.501686545,0.121440402,0.645116372,0.037037037,0.111111111
3.60026E-5,5.751003689,0.124002107,0.638153969,0.055555556,0.111111111
3.66747E-5,6.00166154,0.126025166,0.631291028,0.055555556,0.111111111
3.73663E-5,6.253455897,0.128097148,0.624527551,0.055555556,0.111111111
3.80499E-5,6.502489525,0.130135802,0.617963,0.055555556,0.111111111
3.87865E-5,6.7523212,0.132321618,0.611497911,0.055555556,0.111111111
3.94109E-5,7.002771772,0.13416607,0.605132286,0.055555556,0.111111111
4.00887E-5,7.253292039,0.136159356,0.598866123,0.055555556,0.111111111
4.07262E-5,7.503870068,0.138025843,0.592699423,0.055555556,0.111111111
4.13213E-5,7.754025051,0.139760653,0.586632186,0.055555556,0.111111111
4.19644E-5,8.003920983,0.141627744,0.580664412,0.055555556,0.111111111
4.25842E-5,8.253260031,0.143419677,0.574796101,0.055555556,0.111111111
4.31624E-5,8.502074866,0.145084254,0.569027253,0.055555556,0.166666667
4.37841E-5,8.754115218,0.146867313,0.563258405,0.055555556,0.166666667
4.42185E-5,9.000519703,0.148108579,0.557688482,0.055555556,0.166666667
4.47508E-5,9.254300478,0.149624722,0.552019097,0.074074074,0.166666667
4.53193E-5,9.50200671,0.151237889,0.546548637,0.074074074,0.166666667
4.58067E-5,9.752375374,0.152616315,0.541078178,0.074074074,0.166666667
4.64119E-5,10.001198684,0.154321643,0.535707181,0.074074074,0.166666667
4.68609E-5,10.253113131,0.155582317,0.530336185,0.074074074,0.166666667
4.74714E-5,10.50322987,0.157290142,0.525064651,0.074074074,0.166666667
4.79732E-5,10.751364683,0.158689055,0.51989258,0.074074074,0.166666667
4.84963E-5,11.002303573,0.160142405,0.514720509,0.074074074,0.166666667
4.89355E-5,11.25080877,0.161358486,0.509647901,0.074074074,0.166666667
4.94661E-5,11.501681812,0.162823238,0.504575293,0.074074074,0.166666667
4.99692E-5,11.750354103,0.164207475,0.499602148,0.074074074,0.166666667
5.05287E-5,12.001608177,0.165741357,0.494629003,0.074074074,0.166666667
5.10391E-5,12.250583046,0.167135589,0.489755321,0.074074074,0.166666667
5.16507E-5,12.502424291,0.16880024,0.484881639,0.074074074,0.222222222
5.21707E-5,12.751742783,0.170210414,0.48010742,0.074074074,0.222222222
5.27962E-5,13.003705559,0.171900492,0.475333201,0.074074074,0.222222222
5.32844E-5,13.25295387,0.173214681,0.470658444,0.074074074,0.222222222
5.39041E-5,13.505010486,0.17487692,0.465983688,0.074074074,0.222222222
5.42791E-5,13.75399147,0.175879438,0.461408395,0.074074074,0.222222222
5.48369E-5,14.005020923,0.17736621,0.456833101,0.074074074,0.222222222
5.54706E-5,14.253198079,0.179048926,0.452357271,0.092592593,0.222222222
5.61517E-5,14.504425247,0.180849898,0.44788144,0.092592593,0.222222222
5.66331E-5,14.752583268,0.182118078,0.443505073,0.092592593,0.222222222
5.71823E-5,15.003008492,0.183559936,0.439128705,0.092592593,0.222222222
5.76297E-5,15.255663765,0.184730894,0.434752337,0.092592593,0.222222222
5.8197E-5,15.504762282,0.186210729,0.430475433,0.092592593,0.222222222
5.87701E-5,15.750398457,0.187700115,0.426297991,0.092592593,0.222222222
5.93718E-5,16.00449819,0.189258079,0.422021086,0.111111111,0.222222222
5.98402E-5,16.254776155,0.190466827,0.417843644,0.111111111,0.222222222
6.03803E-5,16.501186933,0.191856295,0.413765665,0.111111111,0.222222222
6.0793E-5,16.755630607,0.192914585,0.409588224,0.111111111,0.222222222
6.14115E-5,17.000001228,0.194495534,0.405609708,0.111111111,0.222222222
6.20128E-5,17.253045011,0.196026652,0.401531729,0.12962963,0.222222222
6.25289E-5,17.502306704,0.19733594,0.397553213,0.12962963,0.222222222
6.30292E-5,17.753387283,0.198601467,0.393574697,0.12962963,0.222222222
6.36837E-5,18.00040091,0.200250697,0.389695644,0.12962963,0.222222222
6.42464E-5,18.25634661,0.201663124,0.385717128,0.12962963,0.222222222
6.48312E-5,18.501433785,0.203125908,0.381937537,0.12962963,0.222222222
6.5286E-5,18.755276667,0.204259828,0.378058484,0.12962963,0.222222222
6.58195E-5,19.004691311,0.205585877,0.374278894,0.12962963,0.222222222
6.64461E-5,19.256035599,0.2071377,0.370499304,0.12962963,0.222222222
6.71032E-5,19.503155914,0.208758593,0.366819176,0.12962963,0.222222222
6.77597E-5,19.752844125,0.210371222,0.363139049,0.12962963,0.222222222
6.81944E-5,20.004409189,0.211435364,0.359458922,0.12962963,0.222222222
6.87008E-5,20.250839439,0.212671628,0.355878257,0.12962963,0.222222222
6.94741E-5,20.506546034,0.214551951,0.35219813,0.12962963,0.222222222
6.99937E-5,20.750676689,0.215810313,0.348716929,0.12962963,0.222222222
7.07162E-5,21.004145545,0.217553337,0.345136264,0.148148148,0.222222222
7.14116E-5,21.252842966,0.219223542,0.341655063,0.148148148,0.222222222
7.205E-5,21.503746269,0.220750833,0.338173861,0.148148148,0.222222222
7.27481E-5,21.757126777,0.22241393,0.33469266,0.148148148,0.222222222
7.34002E-5,22.005738031,0.223961007,0.331310921,0.148148148,0.222222222
7.436E-5,22.256762312,0.226227045,0.327929182,0.148148148,0.222222222
7.50217E-5,22.503197377,0.227781758,0.324646907,0.148148148,0.222222222
7.55466E-5,22.751792874,0.229010322,0.321364631,0.166666667,0.222222222
7.62871E-5,23.002366789,0.230737158,0.318082355,0.166666667,0.222222222
7.68208E-5,23.255298126,0.231977012,0.31480008,0.166666667,0.222222222
7.74334E-5,23.502252666,0.233395066,0.311617267,0.166666667,0.222222222
7.79095E-5,23.750789255,0.234493571,0.308434454,0.166666667,0.222222222
7.86424E-5,24.00119478,0.236178502,0.305251641,0.166666667,0.222222222
7.92885E-5,24.253898858,0.237657837,0.302068828,0.166666667,0.222222222
8.00179E-5,24.500934371,0.239320728,0.298985478,0.166666667,0.222222222
8.07807E-5,24.750200545,0.241052214,0.295902129,0.166666667,0.222222222
8.15526E-5,25.001752681,0.242796418,0.292818779,0.166666667,0.222222222
8.2166E-5,25.25566393,0.244176726,0.289735429,0.166666667,0.222222222
8.2691E-5,25.503074607,0.245353998,0.286751542,0.166666667,0.222222222
8.34177E-5,25.752066019,0.246977689,0.283767655,0.185185185,0.222222222
8.38316E-5,26.002950239,0.247899514,0.280783768,0.203703704,0.222222222
