x,y,species_4 logistic values
1.0,1.0,0.29856876
2.0,2.0,0.030343989
3.0,3.0,0.03867135
4.0,4.0,0.5825818
5.0,5.0,0.018854516
6.0,6.0,0.03131183
7.0,7.0,0.0022157794
8.0,8.0,0.31150842
9.0,9.0,0.014098848
10.0,10.0,0.03806481
11.0,11.0,0.044449322
12.0,12.0,0.5778661
13.0,13.0,0.050986864
14.0,14.0,0.058462627
15.0,15.0,0.31874248
16.0,16.0,0.03578488
17.0,17.0,0.030604277
18.0,18.0,0.25856
19.0,19.0,0.0067309295
20.0,20.0,0.33332908
21.0,21.0,0.47339365
22.0,22.0,0.016949536
23.0,23.0,0.05999354
24.0,24.0,0.079712085
25.0,25.0,0.021408273
26.0,26.0,0.005437009
27.0,27.0,0.59446394
28.0,28.0,0.07098596
29.0,29.0,0.4235105
30.0,30.0,0.06464467
31.0,31.0,0.036936764
32.0,32.0,0.10862631
33.0,33.0,0.06296972
34.0,34.0,0.08857007
35.0,35.0,0.07430221
36.0,36.0,0.18161723
37.0,37.0,0.12665498
38.0,38.0,0.07071798
39.0,39.0,0.09940868
40.0,40.0,0.16656876
41.0,41.0,0.11981998
42.0,42.0,0.03375694
43.0,43.0,0.025559686
44.0,44.0,0.0058249487
45.0,45.0,0.065951586
46.0,46.0,0.055565227
47.0,47.0,0.025610315
48.0,48.0,0.17500022
49.0,49.0,0.055733737
50.0,50.0,0.015239041
51.0,51.0,0.02991291
52.0,52.0,0.007061536
53.0,53.0,0.059109367
54.0,54.0,0.12591249
55.0,55.0,0.28125086
56.0,56.0,0.055319272
57.0,57.0,0.01724383
58.0,58.0,0.046397865
59.0,59.0,0.09417248
60.0,60.0,0.17222455
61.0,61.0,0.094407424
62.0,62.0,0.041528013
63.0,63.0,0.015841033
64.0,64.0,0.021943506
65.0,65.0,0.123942785
66.0,66.0,0.17089489
67.0,67.0,0.14674313
68.0,68.0,0.45488426
69.0,69.0,0.13162573
70.0,70.0,0.055241633
71.0,71.0,0.017536173
72.0,72.0,0.6156858
73.0,73.0,0.055858884
74.0,74.0,0.02051198
75.0,75.0,0.036849573
76.0,76.0,0.018496301
77.0,77.0,0.007276445
78.0,78.0,0.02838573
79.0,79.0,0.5067221
80.0,80.0,0.1378168
81.0,81.0,0.27712792
82.0,82.0,0.05054435
83.0,83.0,0.0025629727
84.0,84.0,0.20700622
85.0,85.0,0.062503226
86.0,86.0,0.047468007
87.0,87.0,0.527828
88.0,88.0,0.008555341
89.0,89.0,0.029938355
90.0,90.0,0.074681535
91.0,91.0,0.23531963
92.0,92.0,0.10656222
93.0,93.0,0.030850478
94.0,94.0,0.0032054773
95.0,95.0,0.00371602
96.0,96.0,0.028836299
97.0,97.0,0.050628964
98.0,98.0,0.09427969
99.0,99.0,0.23769543
100.0,100.0,0.01729442
101.0,101.0,0.15544584
102.0,102.0,0.43136498
103.0,103.0,0.009933878
104.0,104.0,0.56229794
105.0,105.0,0.057446763
106.0,106.0,0.012929597
107.0,107.0,0.03119783
108.0,108.0,0.3498873
109.0,109.0,0.11087349
110.0,110.0,0.011181466
111.0,111.0,0.0049552093
112.0,112.0,0.4085179
113.0,113.0,0.055051543
114.0,114.0,0.06892394
115.0,115.0,0.031884957
116.0,116.0,0.13328925
117.0,117.0,0.057398446
118.0,118.0,0.4113143
119.0,119.0,0.6488621
120.0,120.0,0.04082405
121.0,121.0,0.012987796
122.0,122.0,0.29487944
123.0,123.0,0.011216828
124.0,124.0,0.022855986
125.0,125.0,0.011758362
126.0,126.0,0.041783854
127.0,127.0,0.014553494
128.0,128.0,0.06745477
129.0,129.0,0.035627063
130.0,130.0,0.025648186
131.0,131.0,0.5253803
132.0,132.0,0.57212055
133.0,133.0,0.011453129
134.0,134.0,0.03487354
135.0,135.0,0.0039288024
136.0,136.0,0.11886387
137.0,137.0,0.0028006064
138.0,138.0,0.03285345
139.0,139.0,0.07284917
140.0,140.0,0.060413223
141.0,141.0,0.007650834
142.0,142.0,0.011947696
143.0,143.0,0.10314789
144.0,144.0,0.06448857
145.0,145.0,0.029063556
146.0,146.0,0.015602104
147.0,147.0,0.0022806348
148.0,148.0,0.08724772
149.0,149.0,0.49751273
150.0,150.0,0.10667285
151.0,151.0,0.28390557
152.0,152.0,0.026446898
153.0,153.0,0.5437159
154.0,154.0,0.14550453
155.0,155.0,0.2505108
156.0,156.0,0.014560248
157.0,157.0,0.020124717
158.0,158.0,0.01572318
159.0,159.0,0.11589816
160.0,160.0,0.007738661
161.0,161.0,0.12218281
162.0,162.0,0.0030335467
163.0,163.0,0.110894285
164.0,164.0,0.57928544
165.0,165.0,0.13112336
166.0,166.0,0.4097615
167.0,167.0,0.39954886
168.0,168.0,0.08703591
169.0,169.0,0.33940446
170.0,170.0,0.05583846
171.0,171.0,0.14772336
172.0,172.0,0.036502685
173.0,173.0,0.04334199
174.0,174.0,0.07296485
175.0,175.0,0.15796721
176.0,176.0,0.20976919
177.0,177.0,0.024882598
178.0,178.0,0.1796113
179.0,179.0,0.3921338
180.0,180.0,0.06716183
181.0,181.0,0.046608392
182.0,182.0,0.24273862
183.0,183.0,0.007326701
184.0,184.0,0.2642574
185.0,185.0,0.1502984
186.0,186.0,0.01332851
187.0,187.0,0.087635614
188.0,188.0,0.18641256
189.0,189.0,0.054330755
190.0,190.0,0.6541692
191.0,191.0,0.44608524
192.0,192.0,0.4777008
193.0,193.0,0.008043351
194.0,194.0,0.12637728
195.0,195.0,0.5263984
196.0,196.0,0.008797439
197.0,197.0,0.14068258
198.0,198.0,0.313492
199.0,199.0,0.33965006
200.0,200.0,0.017656319
201.0,201.0,0.067646556
202.0,202.0,0.263453
203.0,203.0,0.03707763
204.0,204.0,0.13644713
205.0,205.0,0.6215385
206.0,206.0,0.14579591
207.0,207.0,0.07872694
208.0,208.0,0.13666095
209.0,209.0,0.08694301
210.0,210.0,0.2053022
211.0,211.0,0.012284875
212.0,212.0,0.41307995
213.0,213.0,0.15734613
214.0,214.0,0.041563556
215.0,215.0,0.051176164
216.0,216.0,0.19681843
217.0,217.0,0.010129152
218.0,218.0,0.008176044
219.0,219.0,0.003192654
220.0,220.0,0.076629564
221.0,221.0,0.3534741
222.0,222.0,0.06749535
223.0,223.0,0.013137633
224.0,224.0,0.016569167
225.0,225.0,0.104832515
226.0,226.0,0.036898185
227.0,227.0,0.025922233
228.0,228.0,0.30031416
229.0,229.0,0.029971384
230.0,230.0,0.033619963
231.0,231.0,0.011334016
232.0,232.0,0.03463121
233.0,233.0,0.027302116
234.0,234.0,0.0321314
235.0,235.0,0.0056829248
236.0,236.0,0.058040425
237.0,237.0,0.033623878
238.0,238.0,0.43538994
239.0,239.0,0.01000829
240.0,240.0,0.66672665
241.0,241.0,0.03502358
242.0,242.0,0.5868419
243.0,243.0,0.06287252
244.0,244.0,0.05595646
245.0,245.0,0.02944112
246.0,246.0,0.34583545
