x,y,species_1 logistic values
1.0,1.0,0.27246433
2.0,2.0,0.040070575
3.0,3.0,0.039828613
4.0,4.0,0.594405
5.0,5.0,0.01749934
6.0,6.0,0.0339692
7.0,7.0,0.0020998851
8.0,8.0,0.31094813
9.0,9.0,0.012708209
10.0,10.0,0.046471294
11.0,11.0,0.03673371
12.0,12.0,0.5846313
13.0,13.0,0.041308448
14.0,14.0,0.070012264
15.0,15.0,0.33124945
16.0,16.0,0.033499148
17.0,17.0,0.028899271
18.0,18.0,0.26668546
19.0,19.0,0.005383905
20.0,20.0,0.32378843
21.0,21.0,0.47353
22.0,22.0,0.01607676
23.0,23.0,0.05873599
24.0,24.0,0.071144536
25.0,25.0,0.012429135
26.0,26.0,0.003928978
27.0,27.0,0.59115434
28.0,28.0,0.06755742
29.0,29.0,0.42128626
30.0,30.0,0.061815623
31.0,31.0,0.038055077
32.0,32.0,0.119310014
33.0,33.0,0.057822324
34.0,34.0,0.08122188
35.0,35.0,0.07225131
36.0,36.0,0.17078607
37.0,37.0,0.077623695
38.0,38.0,0.07654286
39.0,39.0,0.09958364
40.0,40.0,0.19308011
41.0,41.0,0.111574724
42.0,42.0,0.040044468
43.0,43.0,0.028387906
44.0,44.0,0.005851976
45.0,45.0,0.0735707
46.0,46.0,0.055265788
47.0,47.0,0.028734481
48.0,48.0,0.17848618
49.0,49.0,0.051217124
50.0,50.0,0.016048798
51.0,51.0,0.017461509
52.0,52.0,0.00640631
53.0,53.0,0.054575816
54.0,54.0,0.11636547
55.0,55.0,0.29694077
56.0,56.0,0.060317885
57.0,57.0,0.009710095
58.0,58.0,0.025534427
59.0,59.0,0.0819555
60.0,60.0,0.17221032
61.0,61.0,0.09188366
62.0,62.0,0.036139786
63.0,63.0,0.017779257
64.0,64.0,0.024119364
65.0,65.0,0.15186809
66.0,66.0,0.20789783
67.0,67.0,0.13598341
68.0,68.0,0.40610743
69.0,69.0,0.13632776
70.0,70.0,0.027458135
71.0,71.0,0.017197497
72.0,72.0,0.61706764
73.0,73.0,0.053382248
74.0,74.0,0.022373006
75.0,75.0,0.0475704
76.0,76.0,0.008873824
77.0,77.0,0.0068617435
78.0,78.0,0.036705583
79.0,79.0,0.5063219
80.0,80.0,0.13077398
81.0,81.0,0.28070053
82.0,82.0,0.05542588
83.0,83.0,0.0023931651
84.0,84.0,0.19400437
85.0,85.0,0.057438374
86.0,86.0,0.055934403
87.0,87.0,0.5456408
88.0,88.0,0.008222492
89.0,89.0,0.037760794
90.0,90.0,0.066921115
91.0,91.0,0.25365666
92.0,92.0,0.11460612
93.0,93.0,0.03145146
94.0,94.0,0.0034443412
95.0,95.0,0.003886005
96.0,96.0,0.026474658
97.0,97.0,0.052628458
98.0,98.0,0.083935425
99.0,99.0,0.22566776
100.0,100.0,0.020147936
101.0,101.0,0.16393536
102.0,102.0,0.42709276
103.0,103.0,0.017159682
104.0,104.0,0.56805944
105.0,105.0,0.07283921
106.0,106.0,0.012071017
107.0,107.0,0.040466867
108.0,108.0,0.33386776
109.0,109.0,0.099499494
110.0,110.0,0.010709562
111.0,111.0,0.0044695456
112.0,112.0,0.40337232
113.0,113.0,0.057599235
114.0,114.0,0.04124946
115.0,115.0,0.035106268
116.0,116.0,0.12079755
117.0,117.0,0.056170102
118.0,118.0,0.40159482
119.0,119.0,0.636488
120.0,120.0,0.018625077
121.0,121.0,0.012414691
122.0,122.0,0.30674374
123.0,123.0,0.01191087
124.0,124.0,0.024774145
125.0,125.0,0.01100427
126.0,126.0,0.0417694
127.0,127.0,0.0133582745
128.0,128.0,0.06832991
129.0,129.0,0.03774619
130.0,130.0,0.019635081
131.0,131.0,0.535229
132.0,132.0,0.57826155
133.0,133.0,0.011344519
134.0,134.0,0.0445575
135.0,135.0,0.0043848474
136.0,136.0,0.11772642
137.0,137.0,0.006428412
138.0,138.0,0.031048128
139.0,139.0,0.060494702
140.0,140.0,0.05908808
141.0,141.0,0.0067150183
142.0,142.0,0.011509549
143.0,143.0,0.095242806
144.0,144.0,0.058058843
145.0,145.0,0.027220026
146.0,146.0,0.014114451
147.0,147.0,0.0023446379
148.0,148.0,0.076739535
149.0,149.0,0.4415521
150.0,150.0,0.11928643
151.0,151.0,0.26522958
152.0,152.0,0.028723922
153.0,153.0,0.5613153
154.0,154.0,0.15489618
155.0,155.0,0.23685545
156.0,156.0,0.021898447
157.0,157.0,0.021879543
158.0,158.0,0.019240974
159.0,159.0,0.10403728
160.0,160.0,0.010557271
161.0,161.0,0.15103105
162.0,162.0,0.0032044435
163.0,163.0,0.121616736
164.0,164.0,0.6064438
165.0,165.0,0.12195001
166.0,166.0,0.34987703
167.0,167.0,0.38818154
168.0,168.0,0.07979232
169.0,169.0,0.32584387
170.0,170.0,0.029864646
171.0,171.0,0.101088636
172.0,172.0,0.019348735
173.0,173.0,0.050908446
174.0,174.0,0.06738434
175.0,175.0,0.19614391
176.0,176.0,0.20139503
177.0,177.0,0.023497494
178.0,178.0,0.16906282
179.0,179.0,0.40814018
180.0,180.0,0.06666697
181.0,181.0,0.044073887
182.0,182.0,0.23006433
183.0,183.0,0.01126329
184.0,184.0,0.2749962
185.0,185.0,0.14693032
186.0,186.0,0.01735365
187.0,187.0,0.081528746
188.0,188.0,0.19198091
189.0,189.0,0.05131545
190.0,190.0,0.6753285
191.0,191.0,0.45418078
192.0,192.0,0.4786385
193.0,193.0,0.006642658
194.0,194.0,0.12207635
195.0,195.0,0.5381077
196.0,196.0,0.008594713
197.0,197.0,0.14215833
198.0,198.0,0.28595522
199.0,199.0,0.32466617
200.0,200.0,0.020198103
201.0,201.0,0.03772569
202.0,202.0,0.22717355
203.0,203.0,0.040775992
204.0,204.0,0.1386406
205.0,205.0,0.6333384
206.0,206.0,0.13704868
207.0,207.0,0.07016749
208.0,208.0,0.098619886
209.0,209.0,0.079121776
210.0,210.0,0.20007133
211.0,211.0,0.0076158848
212.0,212.0,0.4041482
213.0,213.0,0.14454989
214.0,214.0,0.038119406
215.0,215.0,0.07434537
216.0,216.0,0.20565288
217.0,217.0,0.014076906
218.0,218.0,0.0053661065
219.0,219.0,0.0029358375
220.0,220.0,0.043711178
221.0,221.0,0.3429695
222.0,222.0,0.1196692
223.0,223.0,0.018064097
224.0,224.0,0.016970322
225.0,225.0,0.058969274
226.0,226.0,0.050210945
227.0,227.0,0.02048998
228.0,228.0,0.3089591
229.0,229.0,0.028548442
230.0,230.0,0.043950237
231.0,231.0,0.010654112
232.0,232.0,0.031588774
233.0,233.0,0.035878252
234.0,234.0,0.028161893
235.0,235.0,0.0056991084
236.0,236.0,0.06043503
237.0,237.0,0.03809429
238.0,238.0,0.4292996
239.0,239.0,0.009685393
240.0,240.0,0.66204715
241.0,241.0,0.052949596
242.0,242.0,0.5903554
243.0,243.0,0.05826367
244.0,244.0,0.053167105
245.0,245.0,0.029462852
246.0,246.0,0.33790815
247.0,247.0,0.051351126
248.0,248.0,0.19937827
249.0,249.0,0.027459819
250.0,250.0,0.04677441
251.0,251.0,0.17811756
252.0,252.0,0.0014455351
253.0,253.0,0.0467444
254.0,254.0,0.59504706
255.0,255.0,0.0129072275
256.0,256.0,0.53570306
257.0,257.0,0.03916278
258.0,258.0,0.07117663
259.0,259.0,0.09410654
260.0,260.0,0.067640506
261.0,261.0,0.054891694
262.0,262.0,0.008147297
263.0,263.0,0.032051608
264.0,264.0,0.048650473
265.0,265.0,0.1011075
266.0,266.0,0.2804889
267.0,267.0,0.09530558
268.0,268.0,0.11751261
269.0,269.0,0.009367472
270.0,270.0,0.013117146
271.0,271.0,0.013742447
272.0,272.0,0.042069804
273.0,273.0,0.051185433
274.0,274.0,0.16672668
275.0,275.0,0.01972426
276.0,276.0,0.11321308
277.0,277.0,0.0045506908
278.0,278.0,0.02239089
279.0,279.0,0.038707107
280.0,280.0,0.0012779922
281.0,281.0,0.03558087
282.0,282.0,0.11776533
283.0,283.0,0.12620968
284.0,284.0,0.06528119
285.0,285.0,0.053705666
286.0,286.0,0.5438439
287.0,287.0,0.02325645
288.0,288.0,0.05350248
289.0,289.0,0.5150424
290.0,290.0,0.048318543
291.0,291.0,0.06219326
292.0,292.0,0.05280244
293.0,293.0,0.040349126
294.0,294.0,0.07489188
295.0,295.0,0.13272157
296.0,296.0,0.042229645
297.0,297.0,0.008486738
298.0,298.0,0.066226624
299.0,299.0,0.07914398
300.0,300.0,0.0056423405
301.0,301.0,0.16976412
302.0,302.0,0.036902767
303.0,303.0,0.04390007
304.0,304.0,0.16460454
305.0,305.0,0.11471018
306.0,306.0,0.037096303
307.0,307.0,0.031131549
308.0,308.0,0.054839216
309.0,309.0,0.03907061
310.0,310.0,0.03841612
311.0,311.0,0.3172414
312.0,312.0,0.08723003
313.0,313.0,0.024664223
314.0,314.0,0.01529713
315.0,315.0,0.04775731
316.0,316.0,0.029191744
317.0,317.0,0.08107933
318.0,318.0,0.12133228
319.0,319.0,0.01043381
320.0,320.0,0.35809276
321.0,321.0,0.21398534
322.0,322.0,0.016759027
323.0,323.0,0.023453243
324.0,324.0,0.08953545
325.0,325.0,0.10870403
326.0,326.0,0.60349125
327.0,327.0,0.0021883696
328.0,328.0,0.27624065
329.0,329.0,0.07078521
330.0,330.0,0.041682325
331.0,331.0,0.004308967
332.0,332.0,0.21363468
333.0,333.0,0.025948295
334.0,334.0,0.029617362
335.0,335.0,0.020990888
336.0,336.0,0.052605286
337.0,337.0,0.06409668
338.0,338.0,0.10339289
339.0,339.0,0.081406064
340.0,340.0,0.034650285
341.0,341.0,0.64563423
342.0,342.0,0.03415458
343.0,343.0,0.0070416555
344.0,344.0,0.23458946
345.0,345.0,0.02753356
346.0,346.0,0.059725218
347.0,347.0,0.01695586
348.0,348.0,0.018157862
349.0,349.0,0.3654898
350.0,350.0,0.60169166
351.0,351.0,0.020066122
352.0,352.0,0.012808922
353.0,353.0,0.0039361212
354.0,354.0,0.058947194
355.0,355.0,0.03584147
356.0,356.0,0.035312902
357.0,357.0,0.048314072
358.0,358.0,0.03785526
359.0,359.0,0.13421206
360.0,360.0,0.01360078
361.0,361.0,0.077982455
362.0,362.0,0.06485376
363.0,363.0,0.039640874
364.0,364.0,0.06290562
365.0,365.0,0.0480587
366.0,366.0,0.18556114
367.0,367.0,0.4145109
368.0,368.0,0.081278965
369.0,369.0,0.069674574
370.0,370.0,0.34280068
371.0,371.0,0.3218617
372.0,372.0,0.052573573
373.0,373.0,0.09267147
374.0,374.0,0.010395684
375.0,375.0,0.015557411
376.0,376.0,0.577945
377.0,377.0,0.029115165
378.0,378.0,0.012495374
379.0,379.0,0.013083953
380.0,380.0,0.06541975
381.0,381.0,0.19253398
382.0,382.0,0.19759744
383.0,383.0,0.083535045
384.0,384.0,0.027537342
385.0,385.0,0.054265004
386.0,386.0,0.2790476
387.0,387.0,0.08014753
388.0,388.0,0.02558772
389.0,389.0,0.0052266885
390.0,390.0,0.024258615
391.0,391.0,0.030498674
392.0,392.0,0.34602377
393.0,393.0,0.24897797
394.0,394.0,0.035882093
395.0,395.0,0.040456634
396.0,396.0,0.021760426
397.0,397.0,0.014887878
398.0,398.0,0.14558399
399.0,399.0,0.12529252
400.0,400.0,0.014384483
401.0,401.0,0.037889656
402.0,402.0,0.5528448
403.0,403.0,0.1223133
404.0,404.0,0.09685802
405.0,405.0,0.008840025
406.0,406.0,0.09684733
407.0,407.0,0.08907459
408.0,408.0,0.045957644
409.0,409.0,0.012992879
410.0,410.0,0.06942541
411.0,411.0,0.04781964
412.0,412.0,0.025945667
413.0,413.0,0.20274572
414.0,414.0,0.011098393
415.0,415.0,0.097642004
416.0,416.0,0.0060779797
417.0,417.0,0.0648156
418.0,418.0,0.02033094
419.0,419.0,0.029082907
420.0,420.0,0.031987917
421.0,421.0,0.017223978
422.0,422.0,0.3605696
423.0,423.0,0.06519069
424.0,424.0,0.031812206
425.0,425.0,0.42839804
426.0,426.0,0.037153564
427.0,427.0,0.050555352
428.0,428.0,0.04235532
429.0,429.0,0.027438784
430.0,430.0,0.05196505
431.0,431.0,0.007742637
432.0,432.0,0.24628589
433.0,433.0,0.041662034
434.0,434.0,0.047946993
435.0,435.0,0.03921611
436.0,436.0,0.20642094
437.0,437.0,0.38172683
438.0,438.0,0.16039847
439.0,439.0,0.008370378
440.0,440.0,0.03709658
441.0,441.0,0.0019863476
442.0,442.0,0.032696873
443.0,443.0,0.46306816
444.0,444.0,0.06440586
445.0,445.0,0.013657674
446.0,446.0,0.029646622
447.0,447.0,0.026995951
448.0,448.0,0.05557251
449.0,449.0,0.03769501
450.0,450.0,0.3768815
451.0,451.0,0.0752733
452.0,452.0,0.02142388
453.0,453.0,0.028236113
454.0,454.0,0.100918904
455.0,455.0,0.09936203
456.0,456.0,0.034021296
457.0,457.0,0.27808776
458.0,458.0,0.0248194
459.0,459.0,0.014375799
