"ID","name","basis","coordinateUncertaintyInMeters","informationWithheld","lat","long","date","year","month","day"
"0ec13998-d538-4fff-a0c9-72f3de1df423","Shortia galacifolia","PreservedSpecimen",NA,NA,35.24,-82.57,2018-02-27,2018,2,27
"734e8345-af9a-44d3-9ae2-ba9bdfa1549c","Shortia galacifolia","PreservedSpecimen",210,NA,35.08,-82.9,1976-06-29,1976,6,29
"f63a40e5-2265-453d-81a5-2da43346478e","Shortia galacifolia","PreservedSpecimen",NA,NA,35.75,-82.06,2012-03-21,2012,3,21
"3499605753","Shortia galacifolia","HUMAN_OBSERVATION",28734,"Coordinate uncertainty increased to 28734m to protect threatened taxon",35.09,-82.98,2022-02-02,2022,2,2
"3743068432","Shortia galacifolia","HUMAN_OBSERVATION",28762,"Coordinate uncertainty increased to 28762m to protect threatened taxon",34.89,-83,2022-02-26,2022,2,26
"3743322439","Shortia galacifolia","HUMAN_OBSERVATION",28734,"Coordinate uncertainty increased to 28734m to protect threatened taxon",35.16,-83,2022-02-16,2022,2,16
"3712563952","Shortia galacifolia","HUMAN_OBSERVATION",28677,"Coordinate uncertainty increased to 28677m to protect threatened taxon",35.43,-82.58,2022-03-08,2022,3,8
"3712717746","Shortia galacifolia","HUMAN_OBSERVATION",28649,"Coordinate uncertainty increased to 28649m to protect threatened taxon",35.63,-82.51,2022-03-06,2022,3,6
"3742985527","Shortia galacifolia","HUMAN_OBSERVATION",28649,"Coordinate uncertainty increased to 28649m to protect threatened taxon",35.78,-82.51,2022-03-11,2022,3,11
"3743109451","Shortia galacifolia","HUMAN_OBSERVATION",28649,"Coordinate uncertainty increased to 28649m to protect threatened taxon",35.65,-82.4,2022-03-06,2022,3,6
"3743115425","Shortia galacifolia","HUMAN_OBSERVATION",28762,"Coordinate uncertainty increased to 28762m to protect threatened taxon",34.94,-82.81,2022-03-05,2022,3,5
"3743153433","Shortia galacifolia","HUMAN_OBSERVATION",28649,"Coordinate uncertainty increased to 28649m to protect threatened taxon",35.67,-82.45,2022-03-16,2022,3,16
"3743184634","Shortia galacifolia","HUMAN_OBSERVATION",28790,"Coordinate uncertainty increased to 28790m to protect threatened taxon",34.65,-82.89,2022-03-11,2022,3,11
"3743222576","Shortia galacifolia","HUMAN_OBSERVATION",28706,"Coordinate uncertainty increased to 28706m to protect threatened taxon",35.29,-82.33,2022-03-11,2022,3,11
"3743260466","Shortia galacifolia","HUMAN_OBSERVATION",28762,"Coordinate uncertainty increased to 28762m to protect threatened taxon",34.9,-82.43,2022-03-10,2022,3,10
"3746986601","Shortia galacifolia","HUMAN_OBSERVATION",28734,"Coordinate uncertainty increased to 28734m to protect threatened taxon",35.05,-82.85,2022-03-18,2022,3,18
"3747013873","Shortia galacifolia","HUMAN_OBSERVATION",28762,"Coordinate uncertainty increased to 28762m to protect threatened taxon",34.8,-82.95,2022-03-22,2022,3,22
