"name","basis","date","institutionID","collectionCode","collectionID","country","county","state","locality","Latitude","Longitude","ID","coordinateUncertaintyInMeters","informationWithheld","habitat","prov","spocc.latitude","spocc.longitude","spocc.prov","spocc.date","spocc.name"
"Pyxidanthera barbulata Michx.","PRESERVED_SPECIMEN","1976-05-14",NA,"IPA",NA,"United States of America",NA,"New Jersey","margem da estrada.",NA,NA,"1077545306",NA,NA,NA,"gbif",NA,NA,"bison",1976-05-14,"Pyxidanthera barbulata"
"Pyxidanthera barbulata Michx.","PRESERVED_SPECIMEN","1976-05-08","http://biocol.org/urn:lsid:biocol.org:col:34871","Botany",NA,"United States of America",NA,"New Jersey","Ocean Co. About 4 miles w. of Tom's River toward Dover Forge, Berkeley Township.",NA,NA,"2235874351",NA,NA,NA,"gbif",NA,NA,"gbif",1976-05-08,"Pyxidanthera barbulata Michx."
"Pyxidanthera barbulata Michx.","PRESERVED_SPECIMEN","1976-05-08","http://biocol.org/urn:lsid:biocol.org:col:34871","Botany",NA,"United States of America",NA,"New Jersey","Ocean Co. About 4 miles w. of Tom's River toward Dover Forge, Berkeley Township.",NA,NA,"2235874351",NA,NA,NA,"gbif",NA,NA,"bison",1976-05-08,"Pyxidanthera barbulata"
"Pyxidanthera barbulata Michx.","UNKNOWN","1976-10-18",NA,"SC-NHP",NA,"United States of America","Chesterfield","South Carolina",NA,NA,NA,"1274094221",NA,NA,NA,"gbif",NA,NA,"gbif",1976-10-18,"Pyxidanthera barbulata Michx."
"Pyxidanthera barbulata Michx.","UNKNOWN","1976-10-18",NA,"SC-NHP",NA,"United States of America","Chesterfield","South Carolina",NA,NA,NA,"1274094221",NA,NA,NA,"gbif",34.63978,-80.158714,"bison",1976-10-18,"Pyxidanthera barbulata"
"Pyxidanthera barbulata var. barbulata","PRESERVED_SPECIMEN","1975-04-05",NA,"Botany","a3883acd-bc7d-40f2-a6e4-372a3435e5d1","United States of America","Chesterfield","South Carolina","0.4 mi S of US Rt 1 on county road 20",NA,NA,"2859383925",NA,NA,"pocosin margin","gbif",NA,NA,"gbif",1975-04-05,"Pyxidanthera barbulata var. barbulata"
"Pyxidanthera barbulata var. barbulata","PRESERVED_SPECIMEN","1975-04-05",NA,"Botany","a3883acd-bc7d-40f2-a6e4-372a3435e5d1","United States of America","Chesterfield","South Carolina","0.4 mi S of US Rt 1 on county road 20",NA,NA,"2859383925",NA,NA,"pocosin margin","gbif",NA,NA,"gbif",1975-04-05,"Pyxidanthera barbulata var. barbulata"
"Pyxidanthera barbulata Michx.","PRESERVED_SPECIMEN","1975-05-17",NA,"CONN",NA,"United States of America","Burlington County","New Jersey","Wharton State Forest, Burlington County",39.71611,-74.79777,"415983479",NA,NA,"Wet, sandy soil","gbif",39.71611,-74.79777,"gbif",1975-05-17,"Pyxidanthera barbulata Michx."
"Pyxidanthera barbulata Michx.","PRESERVED_SPECIMEN","1975-05-17",NA,"CONN",NA,"United States of America","Burlington County","New Jersey","Wharton State Forest, Burlington County",39.71611,-74.79777,"415983479",NA,NA,"Wet, sandy soil","gbif",39.71611,-74.79777,"bison",1975-05-17,"Pyxidanthera barbulata"
"Pyxidanthera barbulata Michx.","PRESERVED_SPECIMEN","1975-08-15",NA,"Botany","a3883acd-bc7d-40f2-a6e4-372a3435e5d1","United States of America","Ocean","New Jersey","5.3 mi SE of state road 72 on state road 539, vicinity of Warren Grove",39.719635,-74.371186,"2859383047","3150",NA,"dwarf forest. dry course sand","gbif",39.719635,-74.371186,"gbif",1975-08-15,"Pyxidanthera barbulata Michx."
