"uuid","occurrenceid","catalognumber","family","genus","scientificname","country","stateprovince","geopoint.lon","geopoint.lat","datecollected","collector","recordset"
"1d2a9a4c-d30f-4215-83eb-1659c9da0951","9b2def61-771d-4677-b160-ce5ea1b3c426","4227608","diapensiaceae","pyxidanthera","pyxidanthera barbulata michx.",NA,NA,NA,NA,NA,NA,"36d35b23-113e-4633-90ec-19d265a3b5f6"
"1d2d732d-6ffc-4dd0-be74-1eae365ff5a8","3c235fee-eaa0-4cae-be0c-010e6ed946de","cm149906","diapensiaceae","galax","galax urceolata","united states","south carolina",-83.019594,34.88037,"1953-04-20T00:00:00+00:00","henry, l.k.; beer, f.h.","db6c3db9-1e6d-4def-af29-33aa0339bfa9"
"1d407b93-69b7-4dee-a363-8b8fc98cfa80","https://data.biodiversitydata.nl/naturalis/specimen/u.1292023","u.1292023","diapensiaceae","galax","galax aphylla l.","united states",NA,NA,NA,"1897-06-10T00:00:00+00:00","biltmore herbarium","fabcdc12-9d29-4bd2-912b-176e71818144"
"1d40b5dd-0a99-48e2-a7ba-2d8392e5ee83","s:vascularplants:s18-41298","s18-41298","diapensiaceae","diapensia","diapensia lapponica l.","sweden","torne lappmark",NA,NA,"1920-06-26","wiger, johan","fc014977-92f7-47fd-92d7-b609c39d8212"
"1d4c4bd4-2fdf-4699-b774-e3fde532302b","http://coldb.mnhn.fr/catalognumber/mnhn/p/p04488208","p04488208","diapensiaceae","diapensia","diapensia obovata (f. schmidt) nakai",NA,NA,NA,NA,NA,NA,"616857b7-f952-44ef-9b6f-576dc1e65b51"
"1d4f5039-691a-46fe-b8df-a115919c9ca6","urn:catalog:trom:v:115523","115523","diapensiaceae","diapensia","diapensia lapponica","sweden","åsele lappmark",NA,NA,"1985-06-23","stefan ericsson","703b5bdc-4581-47e3-b4b6-e6f32d0eec54"
"1d4f6582-b7b2-41ea-8288-e0db8529be99","ups:bot:v-209344","v-209344","diapensiaceae","diapensia","diapensia lapponica","sweden","jämtland",NA,NA,"1910-07-18T00:00:00+00:00","the svedberg","62a36329-6b82-48bc-94d8-1cb9adb91ab5"
"1d5bae67-7eec-47d2-99d2-d05a78dfc8ca","5f0d9869-fdbf-41ae-b929-171460346a30","ga059194","diapensiaceae","galax","galax urceolata","united states","georgia",NA,NA,"1939-04-10T00:00:00+00:00","jones, h","beab5209-9628-4d4d-851e-2bc9bb1a0105"
"1d6071a8-e734-4bdc-81b9-ccd9b0673033","urn:catalog:o:v:532896","532896","diapensiaceae","diapensia","diapensia lapponica","norway","trøndelag",NA,NA,"1915-08-06","ivar jørstad","e6ccc2bd-9451-4802-8a51-8640d9f09793"
"1d60f619-0c48-4081-a3fe-6b1194b90aec","ld:general:1621055","1621055","diapensiaceae","diapensia","diapensia lapponica","sweden",NA,18.26914,68.38809,"1903-08-18","nils sylvén","f778ecc0-8371-49d5-9ab1-9d75f0b76fad"
"1d610e71-9be1-4201-9072-edd396231796","urn:catalog:alta-vp:107453","107453","diapensiaceae","diapensia","diapensia lapponica l.","finland","lappi",NA,NA,"1980-07-26T00:00:00+00:00","huuskonen, a. j.","0ed8a17e-149b-4cbe-8383-7676da92ea1c"
"1d6984cd-10b7-4bf2-beba-f1d43bccb757","http://n2t.net/ark:/65665/3905a8482-560d-44cb-a19f-34bf089ac867","us 279088","diapensiaceae","galax","galax aphylla","united states","tennessee",NA,NA,NA,"a. ruth","a6eee223-cf3b-4079-8bb2-b77dad8cae9d"
"1d7559ca-b702-4165-a2f8-aa51bc80a68e","urn:catalog:trh:v:32193","32193","diapensiaceae","diapensia","diapensia lapponica","norway","trøndelag",10.3546,63.2579,"2011-08-01","eli fremstad","207b6c64-7b58-4d6a-816d-bc759c27eafc"
"1d7bcaa3-ab6b-4f06-95b3-79cad2e07cd7","http://n2t.net/ark:/65665/3c8c53a4d-7259-4724-a850-f3a52d784ef1","us 3107926","diapensiaceae","diapensia","diapensia lapponica","united states","alaska",NA,NA,"1949-07-15","r. sigafoos","a6eee223-cf3b-4079-8bb2-b77dad8cae9d"
"1d80be4e-fb1f-40db-b9f1-396c8be37f51","s:vascularplants:s-hs-12299","s-hs-12299","diapensiaceae","diapensia","diapensia lapponica l.","sweden","torne lappmark",NA,NA,"1907-07-14","hwass, a. t.","fc014977-92f7-47fd-92d7-b609c39d8212"
"1d87e590-d8e4-41b8-8b05-0e2730a903f3","83f858ec-9ece-4859-93c1-812ac3009982","ncu00058514","diapensiaceae","pyxidanthera","pyxidanthera brevifolia","united states","north carolina",NA,NA,"1949-04-10","green, mrs. paul","4e3043a6-d48a-4a35-b5fb-f67d50cbc158"
"1dc6313f-3117-40aa-93e1-36e9a91a675a","urn:catalog:o:v:68784","68784","diapensiaceae","diapensia","diapensia lapponica","norway","troms og finnmark",28.3102,70.2116,"1859-06-07","chr. sommerfelt","e6ccc2bd-9451-4802-8a51-8640d9f09793"
"1dca54d1-4252-47e9-86cb-5493144cf3fc","http://n2t.net/ark:/65665/333516351-2313-4c93-b189-7b598ae7328d","us 1278701","diapensiaceae","diapensia","diapensia purpurea f. rosea","china","yunnan",99.67,26.5,NA,"g. forrest","a6eee223-cf3b-4079-8bb2-b77dad8cae9d"
"1dd3c238-162d-4f88-b0d7-f59162f88171","58c4dc4c-0d08-4557-8082-b0a950d5d6e9","brit797812","diapensiaceae","galax","galax",NA,NA,NA,NA,NA,NA,"70abba3e-5f2a-4276-87f3-261706e24453"
