"uuid","occurrenceid","catalognumber","family","genus","scientificname","country","stateprovince","geopoint.lon","geopoint.lat","datecollected","collector","recordset"
"00047dbe-95b0-42a8-9fb5-74b63e6354e2","bra:pucrs:mpuc:0000007738","7738","asteraceae","solidago","solidago chilensis","brasil","rs",-50.5755555556,-29.4205555556,"1997-04-02",NA,"91f4f1c9-37e3-430b-8020-f8d65af8e422"
"00047e4b-5d15-48c2-ada0-d31e5692f114","http://coldb.mnhn.fr/catalognumber/mnhn/p/p03771720","p03771720","asteraceae","senecio","senecio trichopus (benth.) greenm.","[colombie]",NA,NA,NA,NA,NA,"616857b7-f952-44ef-9b6f-576dc1e65b51"
"00048206-2396-4381-9ea0-dd8cec3154bb","bra:ceplac:cepec:0000128140","128140","asteraceae","piptocarpha","piptocarpha","brasil","bahia",-39.339444,-15.174167,"2010-11-19","daneu, l.","17ff84d1-e3e9-43d1-a746-745ef8d339d0"
"000484fc-72b2-4969-b9e0-f9d9e0a840ea","http://coldb.mnhn.fr/catalognumber/mnhn/p/p02698392","p02698392","asteraceae","artemisia","artemisia canariensis (besser) less.",NA,NA,NA,NA,NA,NA,"616857b7-f952-44ef-9b6f-576dc1e65b51"
"000486cb-e525-4ab9-a393-d000216cd5ae","45f107eb-48b3-4a14-b4d1-99b191446a55",NA,"asteraceae","kanimia","kanimia corymbulosa benth. & hook.","ecuador",NA,-78.1869,-1.4628,NA,"k. t. hartweg","205fa34c-2fcb-4492-b992-972b18560f6f"
"000489d7-723c-4a87-bde0-01ab54d88ec3","http://n2t.net/ark:/65665/379f37e62-f862-4c00-bbc5-e78bacdab9fd","2853442","asteraceae","holocarpha","holocarpha macradenia","united states","california",NA,NA,"1974-10-06","d. powers","a6eee223-cf3b-4079-8bb2-b77dad8cae9d"
"00048e58-c7ac-4a6d-b0d7-0cafeac7678b","http://coldb.mnhn.fr/catalognumber/mnhn/p/p02513781","p02513781","asteraceae","ratibida","ratibida columnaris (pursh) d.don",NA,NA,NA,NA,NA,NA,"616857b7-f952-44ef-9b6f-576dc1e65b51"
"000490d3-f5cc-4f1d-bec9-d57a3f69bcee","bra:mbm:mbm:0000104464","104464","asteraceae","adenostemma","adenostemma brasilianum","brazil","paraná",NA,NA,"1985-01-26","krapovickas, a; cristóbal, cl","bf1fee2d-f760-4068-b8e6-d1db63ce434c"
"0004932a-45b9-44d0-bd07-f2b055c0a9da","393ac6f5-4c4b-4b09-ba55-6093d91ed92b","2053355","asteraceae","cirsium","cirsium subniveum var. subniveum","united states","nevada",NA,NA,"1912-08-11T00:00:00+00:00","a. nelson","36d35b23-113e-4633-90ec-19d265a3b5f6"
"000496d6-8ef1-4e9a-99cc-654338c503b1","b3ffdf81-7915-46bf-99c2-c38ec6c1337a","131331","asteraceae","senecio","senecio hydrophiloides","united states","montana",-114.828751,48.167179,"2005-06-27T00:00:00+00:00","peter lesica","844875a9-9927-48a5-90b4-76c5f227f145"
"00049bbf-4a71-419b-8dde-f26e04100df5","56758d57-3407-4054-9ef9-3af94fbf9e50","mel 0571957a","asteraceae","anthemis","anthemis cotula l.","australia","new south wales",146.9167,-36.0667,"1976-01-01T00:00:00+00:00","mcbarron, e.j.","c55ac6d0-180d-41be-829a-e82898c5ca54"
"00049c75-4279-47be-b1c7-4c4f195ab9e6","http://coldb.mnhn.fr/catalognumber/mnhn/p/p04269315","p04269315","asteraceae","centaurea","centaurea pullata l.",NA,NA,NA,NA,NA,NA,"616857b7-f952-44ef-9b6f-576dc1e65b51"
"00049dfc-5811-4e3a-8e80-57efeffb5f24","bra:uel:fuel:0000038169","38169","asteraceae","stevia","stevia","brasil","paraná",NA,NA,"2005-09-17","estevan, da; et al.","9e89b6af-4bb5-45af-93d8-0112bd20a60d"
"0004a6a4-a308-49cb-b389-f4686b191c02","urn:catalog:cas:bot-bc:355571","355571","asteraceae","oreostemma","oreostemma alpigenum var. andersonii  (a. gray) g.l. nesom","united states","california",NA,NA,"1921-08-08T00:00:00+00:00","head, anna","26f7cbde-fbcb-4500-80a9-a99daa0ead9d"
"0004a81c-ff2b-427f-b7bb-3655f796ca80","a940a95f-6a4d-444a-a685-a9ff7e671f91","ncu00365704","asteraceae","solidago","solidago altissima","united states","north carolina",NA,NA,NA,NA,"4e3043a6-d48a-4a35-b5fb-f67d50cbc158"
"0004a91c-ef1a-40af-b997-d6a8034f391c","http://coldb.mnhn.fr/catalognumber/mnhn/p/p03690487","p03690487","asteraceae","cichorium","cichorium divaricatum schousb.",NA,NA,NA,NA,NA,NA,"616857b7-f952-44ef-9b6f-576dc1e65b51"
"0004ab50-77da-4c12-87fb-e7a7a8df5b3e","s:vascularplants:s-hs-46834","s-hs-46834","asteraceae","hieracium","hieracium campylodon (dahlst. ex zahn) johanss. & sam.","sweden","östergötland",NA,NA,"1922-08-01T00:00:00+00:00","johansson, k.","fc014977-92f7-47fd-92d7-b609c39d8212"
"0004aeb6-cdd7-4ebd-9fa5-a41c596f681e","a6fc699f-f94d-11e2-82ee-4e86b808fbd5","nha-540605","asteraceae","hieracium","hieracium piloselloides","united states","new hampshire",NA,NA,"1951-06-09T00:00:00+00:00","a. r. hodgdon; k. eldredge","7644703a-ce24-4f7b-b800-66ddf8812f86"
"0004b037-c4ed-427c-8701-8abb18a29a8a","http://coldb.mnhn.fr/catalognumber/mnhn/p/p03267892","p03267892","asteraceae","bidens","bidens tripartita l.",NA,NA,NA,NA,NA,NA,"616857b7-f952-44ef-9b6f-576dc1e65b51"
"0004b064-783d-4a24-b501-531fc31bf6fe","66195d92-bbdf-4179-aea4-a4a0382985ca","cm079971","asteraceae","aster","aster cordifolius var. cordifolius","united states","pennsylvania",-79.96742,40.5363,"1921-09-17T00:00:00+00:00","knauz, m.","db6c3db9-1e6d-4def-af29-33aa0339bfa9"
"0004b0e5-aa03-414d-b1ef-21f3437f3080","s:vascularplants:s-sn-9321","s-sn-9321","asteraceae","hieracium","hieracium morulum (dahlst.) dahlst.","sweden","jämtland",NA,NA,"1970-07-06T00:00:00+00:00","evers, erik & nordenstam, sten","fc014977-92f7-47fd-92d7-b609c39d8212"
"0004b513-1dc6-4575-b7cd-c0e4606b5d74","16aec896-b3d1-4314-8e6b-2ade06c04484","brit292183","asteraceae","solidago","solidago gigantea","united states",NA,NA,NA,NA,NA,"72d4c3c7-3413-4588-a803-e1a63e0d7c6c"
"0004b5b3-4830-4b81-ac4c-208f794b3fb2","0a767ce7-f927-4ee8-9fd7-05d1b358e06a","duke10120631","asteraceae","elephantopus","elephantopus tomentosus","united states","north carolina",NA,NA,NA,NA,"6258d160-a7aa-4937-bce3-3538eebd374f"
"0004b808-4818-4a76-a97b-b85488ee13d0","http://n2t.net/ark:/65665/34fd2ec15-15c4-419d-a44b-4fd624407320","1921540","asteraceae","senecio","senecio aronicoides","united states","california",NA,NA,"1944-06-01","a. m. alexander & l. kellogg","a6eee223-cf3b-4079-8bb2-b77dad8cae9d"
"0004b843-aeb2-4ef2-b185-d5cb750c5de0","http://data.biodiversitydata.nl/naturalis/specimen/l.3434573",NA,"asteraceae","eupatorium","eupatorium cannabinum l.","netherlands",NA,NA,NA,"1925-07-28T00:00:00+00:00","kruseman g","fabcdc12-9d29-4bd2-912b-176e71818144"
"0004c16b-8f0f-43e7-bc0f-c7cbe874c9c8","urn:catalog:cas:bot-bc:18760","18760","asteraceae","achillea","achillea millefolium  l.","united states","california",NA,NA,"1916-07-08T00:00:00+00:00","junkans, a.","26f7cbde-fbcb-4500-80a9-a99daa0ead9d"
"0004c1dc-ae20-49c7-90ff-8ed4561ae31f","f57d32f3-c47c-4bd9-a819-6243a709734f","ad 98135153","asteraceae","chrysocephalum","chrysocephalum pterochaetum f.muell.","australia","south australia",140.558333,-31.608333,"1976-04-10T00:00:00+00:00","williams, l.d.","c55ac6d0-180d-41be-829a-e82898c5ca54"
"0004c9ea-4273-4f86-a75b-66a3f45a61f3","http://coldb.mnhn.fr/catalognumber/mnhn/p/p03747916","p03747916","asteraceae","hypochaeris","hypochaeris sp.",NA,NA,NA,NA,NA,NA,"616857b7-f952-44ef-9b6f-576dc1e65b51"
"0004cce0-cf0f-4e7c-b3c2-b10a592c794a","http://data.biodiversitydata.nl/naturalis/specimen/l.3762357",NA,"asteraceae","iva","iva cheiranthifolia kunth","cuba",NA,NA,NA,"1905-01-27T00:00:00+00:00","curtiss ah","fabcdc12-9d29-4bd2-912b-176e71818144"
"0004d098-420b-4a90-8f76-566fcbeda9df","http://coldb.mnhn.fr/catalognumber/mnhn/p/p02561543","p02561543","asteraceae","sonchus","sonchus tenerrimus l.",NA,NA,NA,NA,NA,NA,"616857b7-f952-44ef-9b6f-576dc1e65b51"
"0004d64c-1c2c-46e2-89d8-31bd8292bd65","918dca21-07bf-45d3-bc22-b1c91382c0b1","ph00280070","asteraceae","bidens","bidens polylepis","united states","pennsylvania",NA,NA,"1951-08-26T00:00:00+00:00","edgar t. wherry","65536dcd-7bb2-44e5-af3f-4a13f08e53d0"
"0004d67f-88bc-4f02-b0c0-358ed7c725da","c58aa6ba-d57d-4a3a-90e7-8536e83c3074",NA,"asteraceae","hieracium","hieracium albiflorum","united states","california",-116.9101,34.1831,"2008-07-28T00:00:00+00:00","orlando mistretta","a4e6033a-d1eb-46d3-869d-7c0328f09aa7"
"0004d6e6-bcb3-437b-bb89-a7d115ac248a","http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?sd171581&related=yes","sd171581","asteraceae","pleurocoronis","pleurocoronis pluriseta","united states","california",-116.41306,33.30333,"2005-04-22T00:00:00+00:00","jon p. rebman, norman roberts","0b17c21a-f7e2-4967-bdf8-60cf9b06c721"
"0004d816-940a-4833-9d25-5eac31cb2319","f941122a-304b-4d0b-b474-27cfa5b211d4","309742","asteraceae","symphyotrichum","aster lateriflorus","united states","michigan",NA,NA,"1949-08-27T00:00:00+00:00","dils, r.","05c029de-734c-450a-a41a-56061b7ebb18"
"0004da91-680c-46f2-8b3f-3e3948bf9055","41ecfe58-27a5-11e3-8d47-005056be0003","lsu00063900","asteraceae","bidens","bidens laevis","united states","florida",NA,NA,"1976-11-22T00:00:00+00:00","allen g. shuey","4523e216-ee13-4b15-a3f7-a6fd56431604"
"0004dd11-628c-4d88-a2c5-caf8c08ccea4","19e4d0d5-7aed-401f-aa4d-390b8a8cfaa5","tenn-v-0216333","asteraceae","solidago","solidago arguta var. boottii","united states","tennessee",NA,NA,NA,NA,"d53132e6-7997-4850-8607-4fec5a3f9c3f"
"0004e14c-8bb8-4102-bcce-8cbb78a98f65","10fe743d-11d2-4447-b0f3-5b074455ab95",NA,"asteraceae","layia","layia glandulosa","united states","california",-118.8166667,34.7833333,"2006-05-10T00:00:00+00:00","scott d. white, pam de vries","a4e6033a-d1eb-46d3-869d-7c0328f09aa7"
"0004e9cf-6b31-4ac6-ac7b-709955ae6639","s:vascularplants:s-s-9203","s-s-9203","asteraceae","senecio","senecio viscosus l.","sweden","värmland",NA,NA,"1885-09-08T00:00:00+00:00","ringius, gustaf erland","fc014977-92f7-47fd-92d7-b609c39d8212"
"0004ea0a-d083-4cc3-9806-627f18c9c2a8","7cdf0a82-4284-432a-ba84-71493b774406","1258234","asteraceae","verbesina","verbesina alternifolia","united states","michigan",-83.726329,42.270872,NA,"m.w. harrington","b880344e-22b2-4540-a56a-1de5f5601a20"
"0004ea22-6163-4f5a-b249-e7e142aa84e0","ld:general:1493015","1493015","asteraceae","carlina","carlina vulgaris ssp. vulgaris","sweden",NA,15.6168145,58.4111208,"1908-07-24","per h. johansson","f778ecc0-8371-49d5-9ab1-9d75f0b76fad"
