"locality string","country","state","county","latitude","longitude","correction status","precision","error polygon","multiple results","ID","name","basis"
NA,"united states","north carolina","mcdowell",NA,NA,"","","","","1ccd2202-3bef-460f-b28e-ac0079cfb85a","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","1e63154b-eb5d-4b6f-b11b-3c6d4ac5bc96","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","1e787942-d8fe-4723-a85a-0ac2e8e3aa0b","shortia galacifolia","PreservedSpecimen"
NA,"united states","tennessee","polk",NA,NA,"","","","","1eb79421-026d-4aeb-bdb5-5960e272b144","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","spartanburg",NA,NA,"","","","","1f3ff4cd-e7ff-4cba-97f7-6df9a736d579","shortia galacifolia","PreservedSpecimen"
"Clay County, NC","united states","north carolina","clay county",NA,NA,"","","","","1f4099d9-02e6-4c0f-8583-bd1a462281c1","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","pickens",NA,NA,"","","","","237e54e0-d685-4434-8bb2-ac41306e7757","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","24134cbf-f62f-446b-ae1a-4b6d43fe59a0","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","2483b336-417c-4867-ad97-6bcae91c93b6","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","26c56835-d9f4-4d4f-a36c-2a7f353a2e0a","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina",NA,NA,NA,"","","","","2834ab27-2c52-4af5-ad11-e3888d6aab10","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","298583f2-aeed-4fb5-ae27-7054ee7c7fc8","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","macon",NA,NA,"","","","","29e98f98-8e0f-4b23-9bb6-9381120b9a6f","shortia galacifolia","PreservedSpecimen"
